sku,image,small_image,thumbnail,media_gallery,,image
NEWMOB00203,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,/Micromax-Canvas-HD-Plus-A190-White.jpg;/Micromax-Canvas-HD-Plus-A190-White-right.jpg;/Micromax-Canvas-HD-Plus-A190-White-left.jpg,,+/Micromax-Canvas-HD-Plus-A190-White.jpg
NEWNBK00016,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,/Micromax-Canvas-Lapbook-L1160.jpg;/Micromax-Canvas-Lapbook-L1160-right.jpg;/Micromax-Canvas-Lapbook-L1160-left.jpg,,+/Micromax-Canvas-Lapbook-L1160.jpg
OPMBNTF0086,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,/Micromax-Canvas-Mega-4G-Blue-16GB.jpg;/Micromax-Canvas-Mega-4G-Blue-16GB-right.jpg;/Micromax-Canvas-Mega-4G-Blue-16GB-left.jpg,,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg
NEWMOB00205,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,/Micromax-Canvas-Nitro-A311-White.jpg;/Micromax-Canvas-Nitro-A311-White-right.jpg;/Micromax-Canvas-Nitro-A311-White-left.jpg,,+/Micromax-Canvas-Nitro-A311-White.jpg
NEWMOB00206,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg;/Micromax-Canvas-Pulse-4G-Grey-16GB-right.jpg;/Micromax-Canvas-Pulse-4G-Grey-16GB-left.jpg,,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg
OPMBNTF0031,+/Micromax-CG666-Grey.jpg,+/Micromax-CG666-Grey.jpg,+/Micromax-CG666-Grey.jpg,/Micromax-CG666-Grey.jpg;/Micromax-CG666-Grey-right.jpg;/Micromax-CG666-Grey-left.jpg,,+/Micromax-CG666-Grey.jpg
QCMBB000070,+/Microsoft-Lumia-640.jpg,+/Microsoft-Lumia-640.jpg,+/Microsoft-Lumia-640.jpg,/Microsoft-Lumia-640.jpg;/Microsoft-Lumia-640-right.jpg;/Microsoft-Lumia-640-left.jpg,,+/Microsoft-Lumia-640.jpg
OPMBNTF0027,+/OPPO-F1s-A1601-Rose-Gold.jpg,+/OPPO-F1s-A1601-Rose-Gold.jpg,+/OPPO-F1s-A1601-Rose-Gold.jpg,/OPPO-F1s-A1601-Rose-Gold.jpg;/OPPO-F1s-A1601-Rose-Gold-right.jpg;/OPPO-F1s-A1601-Rose-Gold-left.jpg,,+/OPPO-F1s-A1601-Rose-Gold.jpg
NEWMOB00384,+/Oppo-F3-Plus- -Gold.jpg,+/Oppo-F3-Plus- -Gold.jpg,+/Oppo-F3-Plus- -Gold.jpg,/Oppo-F3-Plus- -Gold.jpg;/Oppo-F3-Plus- -Gold-right.jpg;/Oppo-F3-Plus- -Gold-left.jpg,,+/Oppo-F3-Plus- -Gold.jpg
NEWMOB00387,+/Oppo-F5-Black.jpg,+/Oppo-F5-Black.jpg,+/Oppo-F5-Black.jpg,/Oppo-F5-Black.jpg;/Oppo-F5-Black-right.jpg;/Oppo-F5-Black-left.jpg,,+/Oppo-F5-Black.jpg
NEWMOB00386,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,/Oppo-F5-Gold.jpg;/Oppo-F5-Gold-right.jpg;/Oppo-F5-Gold-left.jpg,,+/Oppo-F5-Gold.jpg
