=CONCATENATE(,image,small_image,thumbnail,media_gallery
NEWMOB00203,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg,+/Micromax-Canvas-HD-Plus-A190-White.jpg;+/Micromax-Canvas-HD-Plus-A190-White.jpg-left.jpg;+/Micromax-Canvas-HD-Plus-A190-White.jpg-right.jpg
NEWNBK00016,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg,+/Micromax-Canvas-Lapbook-L1160.jpg;+/Micromax-Canvas-Lapbook-L1160.jpg-left.jpg;+/Micromax-Canvas-Lapbook-L1160.jpg-right.jpg
OPMBNTF0086,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg,+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg;+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg-left.jpg;+/Micromax-Canvas-Mega-4G-Blue-16GB.jpg-right.jpg
NEWMOB00205,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg,+/Micromax-Canvas-Nitro-A311-White.jpg;+/Micromax-Canvas-Nitro-A311-White.jpg-left.jpg;+/Micromax-Canvas-Nitro-A311-White.jpg-right.jpg
NEWMOB00206,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg,+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg;+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg-left.jpg;+/Micromax-Canvas-Pulse-4G-Grey-16GB.jpg-right.jpg
OPMBNTF0031,+/Micromax-CG666-Grey.jpg,+/Micromax-CG666-Grey.jpg,+/Micromax-CG666-Grey.jpg,+/Micromax-CG666-Grey.jpg;+/Micromax-CG666-Grey.jpg-left.jpg;+/Micromax-CG666-Grey.jpg-right.jpg
QCMBB000070,+/Microsoft-Lumia-640.jpg,+/Microsoft-Lumia-640.jpg,+/Microsoft-Lumia-640.jpg,+/Microsoft-Lumia-640.jpg;+/Microsoft-Lumia-640.jpg-left.jpg;+/Microsoft-Lumia-640.jpg-right.jpg
OPMBNTF0027,+/OPPO-F1s-A1601-Rose-Gold.jpg,+/OPPO-F1s-A1601-Rose-Gold.jpg,+/OPPO-F1s-A1601-Rose-Gold.jpg,+/OPPO-F1s-A1601-Rose-Gold.jpg;+/OPPO-F1s-A1601-Rose-Gold.jpg-left.jpg;+/OPPO-F1s-A1601-Rose-Gold.jpg-right.jpg
NEWMOB00384,+/Oppo-F3-Plus- -Gold.jpg,+/Oppo-F3-Plus- -Gold.jpg,+/Oppo-F3-Plus- -Gold.jpg,+/Oppo-F3-Plus- -Gold.jpg;+/Oppo-F3-Plus- -Gold.jpg-left.jpg;+/Oppo-F3-Plus- -Gold.jpg-right.jpg
NEWMOB00387,+/Oppo-F5-Black.jpg,+/Oppo-F5-Black.jpg,+/Oppo-F5-Black.jpg,+/Oppo-F5-Black.jpg;+/Oppo-F5-Black.jpg-left.jpg;+/Oppo-F5-Black.jpg-right.jpg
NEWMOB00386,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg,+/Oppo-F5-Gold.jpg;+/Oppo-F5-Gold.jpg-left.jpg;+/Oppo-F5-Gold.jpg-right.jpg
