"There is no defined renderer for <b>%s</b> option type.","There is no defined renderer for <b>%s</b> option type."
"Free gift <b>%s</b> was added to your shopping cart","Free gift <b>%s</b> was added to your shopping cart"
"We apologise, but products of type <b>%s</b> are not supported","We apologise, but products of type <b>%s</b> are not supported"
"We apologise, but your free gift is not available at the moment","We apologise, but your free gift is not available at the moment"
"Auto add promo items with products","Auto add promo items with products"
"Auto add promo items for the whole cart","Auto add promo items for the whole cart"
"Auto add the same product","Auto add the same product"
"Type","Type"
"All SKUs below","All SKUs below"
"One of the SKUs below","One of the SKUs below"
"Promo Items","Promo Items"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
"We apologise, but there is an error while adding free items to the cart: %s","We apologise, but there is an error while adding free items to the cart: %s"
"Discount","Discount"
"Custom Options","Custom Options"
"Add to cart","Add to cart"
"Choose an Option...","Choose an Option..."
"Free Items","Free Items"
