"separate by comma ","","separate by comma ",""
"Admin name","Admin name"
"Allow Everything","Allow Everything"
"Disabled","Disabled"
"Email template","Email template"
"Enable","Enable"
"Enabled","Enabled"
"From","From"
"General Settings","General Settings"
"Giant New Review Notification","Giant New Review Notification"
"Magegiant Extensions","Magegiant Extensions"
"New Review Notification","New Review Notification"
"New review notification","New review notification"
"New review notify","New review notify"
"Notify to email(s)","Notify to email(s)"
"Select notification email template","Select notification email template"
