"Extension Enabled","Moduł Włączony"
"Enable in One Page Checkout","Włącz w One Page Checkout"
"Enable in User's Sales History","Włącz w Historii Zamówień Klientów"
"Social Media Buttons Style","Styl Przycisków"
"Icon set 1","Zestaw ikon 1"
"Icon set 2","Zestaw ikon 2"
"Enable lightbox in Order Confirmation Page","Włącz Okienko na Stronie Potwierdzenia Zamówienia"
"Facebook Enabled","Facebook Włączony"
"Use Template","Użyj Szablonu"
"Link Title","Tytuł Linku"
"Caption Text","Podpis"
"Template for Description Text","Szablon dla Opisu"
"Limit Items Numbers","Limit Przedmiotów"
"Post Image","Obraz w Poście"
"Product Image","Zdjęcie Produktu"
"Shop Logo","Logo Sklepu"
"Upload Image","Wgraj zdjęcie"
"User Image","Obraz Użytkownika"
"Finded by Facebook","Znalezione przez Facebooka"
"Facebook - Aggregate Purchase","Facebook - Całe Zamówienie"
"Facebook - One Product Purchase","Facebook - Zamówiony Produkt"
"Show Product Name","Pokazuj Nazwę Produktu"
"Show Product Price","Pokazuj Cenę Produktu"
"Facebook (One Product Purchase) Enabled","Facebook (Zamówiony Produkt) - Włączony"
"Twitter Enabled","Twitter Włączony"
"Twitter - Aggregate Purchase","Twitter - Całe Zamówienie"
"Twitter - One Product Purchase","Twitter - Zamówiony Produkt"
"Pinterest - Aggregate Purchase","Pinterest - Całe Zamówienie"
"Pinterest - One Product Purchase","Pinterest - Zamówiony Produkt"
"Twitter (One Product) Enabled","Twitter (Zamówiony Produkt) Włączony"
"Pinterest Enabled","Pinterest Włączony"
"Pinterest (One Product) Enabled","Pinterest (Zamówiony Produkt) Włączony"
"Button Type","Typ Przycisku"
"One Image","Jeden Obraz"
"Any Image","Dowolny Obraz"
"Provider","Dostawca"
"Shared At","Data"

