entity_id,asm_id
30269,195
31751,17
22157,17
40685,17
31553,17
30210,17
39759,195
17776,17
39888,195
29016,17
29017,17
30511,17
35753,17
33663,17
32783,17
29980,17
40341,195
39747,195
30965,17
40622,17
40058,17
32647,17
33337,17
40577,195
4909,17
35079,17
20347,195
21081,195
27542,195
22668,17
23057,17
27462,195
31151,17
21227,17
23938,17
28288,17
16520,17
31491,17
19238,17
32493,17
19863,195
23659,195
18166,17
27363,17
18042,17
30249,17
23383,195
29758,17
22605,17
27786,17
20348,195
27217,195
23858,195
28671,17
30285,195
36183,17
20228,17
11771,195
11628,195
7375,195
36423,17
33361,17
11767,195
11624,195
22365,17
11774,195
21165,17
33691,17
18770,195
11105,195
30292,195
28045,17
21943,17
7618,195
7986,195
7992,195
7978,195
16833,195
12478,195
27703,17
3799,17
26646,195
21271,17
22849,17
21229,195
5445,195
23017,195
14192,195
27171,17
7612,195
22791,195
32201,17
21950,17
22969,17
31219,17
28054,17
27876,17
29585,17
23077,195
11096,195
31185,17
3185,17
36715,17
13165,17
12058,17
32749,17
11101,195
33567,17
29413,17
33181,17
29076,17
5444,17
20814,17
27196,17
29414,17
13792,195
26728,195
27496,17
23725,195
33961,195
30841,195
19412,195
22946,17
33897,195
27221,195
27027,17
31951,17
30136,17
1077,17
10389,195
10382,195
29034,17
16904,17
32469,195
22822,195
5173,17
7926,17
15998,17
19398,17
28479,195
24176,17
11106,195
4995,17
16168,17
31805,17
27396,195
17734,17
33767,195
18558,195
19331,195
36599,17
32467,195
27029,17
34955,17
19380,195
27202,17
30101,17
36819,195
19387,17
22616,195
29514,17
32687,17
27464,17
30134,17
29617,195
23063,17
28433,17
27356,195
11775,195
26707,195
19896,195
24046,195
32671,195
30951,17
23944,17
4913,17
16169,17
2575,17
23723,17
20597,195
22307,17
7372,195
20843,17
26879,17
3464,17
20886,17
18816,195
7997,195
22025,195
20357,195
26889,17
27724,17
26870,195
10388,195
21622,17
3114,17
23067,17
18994,195
13714,17
24085,17
16657,17
26773,195
22262,17
31067,17
23951,195
20352,17
19137,17
33775,195
2871,17
12810,195
19577,17
30273,195
33773,195
20730,17
15854,17
22511,17
34287,17
6447,17
24299,195
24171,17
22940,17
18673,195
33643,17
12815,195
18680,195
31757,17
19472,195
22778,195
22629,17
33029,17
23048,195
19905,195
20288,17
19238,17
11768,195
11625,195
2956,17
3327,17
20332,195
2827,17
2923,17
21225,17
31215,17
4007,17
32529,195
33005,17
21261,17
31885,17
33013,17
27419,195
33777,195
36573,17
27092,17
33573,17
19832,195
129,17
27404,17
20956,17
27890,17
20343,17
22621,195
22925,17
16771,17
18685,195
10766,17
7925,17
29587,17
19562,195
20349,17
26865,195
11630,195
11773,195
33627,17
5905,17
8007,17
22977,17
20650,195
34243,17
20101,17
21482,17
30373,195
23464,17
20548,195
31205,17
22840,17
18855,195
29628,17
24030,17
29432,17
4009,17
20588,17
24216,17
35407,195
27222,195
11301,195
7979,195
34257,195
26746,195
19106,17
23926,195
21221,17
12809,195
21756,195
11071,195
32803,195
27666,17
30268,195
29123,17
5442,17
30209,17
22072,17
9786,17
4989,17
9788,17
21992,195
16061,17
19938,195
21760,195
23019,195
3168,195
21326,17
27164,17
3462,17
18935,17
21643,17
19389,195
17614,17
4910,17
34103,17
35025,195
28439,17
27321,17
33017,17
30126,17
20669,195
9222,17
20131,17
10381,195
12813,195
17756,17
14269,195
19788,17
19980,17
19058,17
33867,17
28862,17
23945,195
22937,17
27333,195
27460,195
5172,17
7373,195
22057,17
8004,17
20568,195
16146,17
4990,17
27458,17
18580,17
32255,17
16573,17
27437,195
19490,17
18276,17
31507,17
19502,17
27340,195
23713,195
17816,17
21844,195
21120,195
5877,17
31523,17
20180,195
21365,195
27452,195
21230,17
21578,195
19270,195
2925,17
10294,195
23644,195
10288,195
15079,17
3275,17
19491,195
33011,17
20062,195
21513,195
23904,195
29033,17
19464,195
23694,17
32217,195
3074,17
33333,17
18990,195
5178,17
20229,195
27405,17
10295,195
3800,17
17885,17
4635,17
15798,17
3071,17
3465,17
5907,17
35205,17
21834,195
21334,195
22075,195
6125,17
21615,17
18784,17
3466,17
4996,17
18660,195
14373,195
35717,195
435,17
18768,195
28034,17
3139,195
3712,17
34973,17
22979,17
18050,17
17703,17
22458,17
4914,17
20096,17
14298,195
14300,195
5523,17
5443,17
22463,17
15242,195
19515,195
6070,17
10387,195
11300,195
32667,195
35559,17
4842,17
4843,17
24231,17
19292,195
20003,17
18774,17
11941,17
8002,17
15163,195
18771,195
7615,195
35745,195
18692,195
11070,195
18215,17
32531,195
7987,195
29559,195
18688,195
5183,17
20927,17
11095,195
39669,195
39670,195
39704,195
39753,195
28987,17
26924,17
18755,17
28623,195
30771,195
3272,195
32455,195
3163,17
6123,17
13883,195
5185,17
3802,17
18348,17
15224,17
18615,17
4856,195
14200,195
7377,195
14164,195
11098,195
8000,195
27768,17
15159,17
16152,17
4907,17
12057,17
5177,17
18754,17
21392,195
11943,195
7985,195
19496,17
12055,17
8012,195
2661,17
5526,17
11244,17
28198,17
19209,17
33557,17
18104,17
10141,195
11293,195
7983,195
21211,17
35969,17
7378,195
16306,17
19840,195
4010,17
26658,195
20620,17
2920,17
20142,195
19566,195
22239,195
27408,17
23218,17
21228,195
29192,17
28460,17
21343,17
16212,195
19373,195
20289,17
3167,195
19282,17
27929,195
17872,17
26730,17
22061,17
21380,195
22816,195
5180,17
34281,17
21249,17
20344,195
14588,17
3711,17
15433,195
20071,195
28735,17
20826,17
31935,17
20001,17
18769,195
21931,17
30033,17
27515,17
22923,17
19296,195
21852,195
24323,195
32621,195
20036,195
16375,17
7982,195
20836,195
32549,195
29488,17
4637,17
20899,195
18851,195
16297,17
27824,17
7927,17
3274,17
29629,195
29531,17
33049,17
20912,17
17832,17
29736,17
20722,195
27893,17
21612,17
6121,17
11776,195
26783,195
14169,195
21654,17
24182,17
22626,195
17186,17
30093,17
26863,17
22270,17
2579,17
7980,195
19508,195
34001,17
32219,195
5525,17
28883,17
29856,17
7994,195
21413,195
26836,17
35105,17
20842,195
32253,17
23700,195
16444,17
27038,17
27336,17
19394,195
6122,17
23930,195
20093,195
3510,195
23242,17
31255,17
20963,17
21492,17
16,17
12819,195
20224,195
24300,195
7613,195
11627,195
3137,195
16374,17
22360,17
16159,17
21552,195
21286,195
20099,17
23267,17
23241,17
23230,17
5673,17
23180,17
19734,17
5671,17
23174,17
17773,17
12817,195
19693,17
12816,195
12818,195
19985,17
23195,17
23149,17
19716,17
19709,17
5670,17
23206,17
19747,17
27268,17
3279,195
14087,195
35651,195
10384,195
20049,195
15383,195
18665,17
32677,195
20835,17
35245,195
20089,195
7990,195
11297,195
18332,17
20258,195
7617,195
13821,195
28061,17
14109,195
2870,17
13803,195
20680,195
29839,17
4033,17
21741,195
7984,195
35031,195
27732,195
7998,195
7981,195
21341,17
13129,17
16577,17
3801,17
20104,195
20832,195
29525,195
3509,195
21748,195
7381,195
22603,195
4182,17
6124,17
22597,195
5250,195
18696,195
20674,195
2569,17
21750,195
20362,195
31941,17
30312,195
16459,17
26647,195
30014,17
33763,195
33271,17
2573,17
3719,17
35225,195
20935,195
11295,195
24139,195
4413,17
16208,195
19876,195
22226,195
33921,195
27295,195
14171,195
14041,195
11243,17
19887,195
21201,195
20665,195
22623,195
29445,17
4912,17
27347,17
13791,195
14001,195
20655,195
23661,195
14301,195
30283,195
18393,17
30471,195
37259,195
19031,195
21300,17
2952,17
4410,17
23013,17
35627,195
22086,195
20703,17
27327,17
16308,17
17990,17
17982,17
29529,195
22773,195
27093,195
33825,195
11626,195
11769,195
13353,17
14345,195
10385,195
23451,195
3073,17
7610,195
30026,17
35699,195
18892,195
10293,195
34601,195
2883,17
11100,195
20526,195
27359,195
29291,17
15039,17
12814,195
20951,195
17526,195
35103,195
19505,195
17890,17
17891,17
3326,17
7733,195
11099,195
16766,17
3113,17
30313,195
30086,17
5174,17
20823,195
15136,195
21843,195
4997,17
3165,195
35639,195
35593,195
357,17
464,17
200,17
636,17
18666,17
28891,17
35129,195
36799,195
19835,195
7924,17
19040,195
15809,17
21506,17
2572,17
35175,195
15364,195
14080,195
31387,17
6069,17
14477,17
9785,17
35837,17
4847,17
17973,17
17972,17
14335,17
2818,17
4854,195
11245,17
11940,17
21775,17
15462,17
27517,17
20862,17
22663,17
32395,195
23719,17
20356,195
3164,195
9787,17
27106,17
3463,17
23005,17
23711,17
4844,17
3225,17
19732,17
24075,195
18207,17
18656,195
11247,17
4032,17
3803,17
22235,195
23964,195
11303,195
11296,195
4035,17
29513,195
3619,17
11292,195
21863,195
35693,195
7609,195
6120,17
21363,195
10289,195
18161,17
36483,17
19504,195
32121,17
30271,195
34021,17
18535,17
11772,195
11629,195
12811,195
22113,17
19016,195
21977,195
18843,195
7374,195
32673,195
18817,195
21860,195
18783,195
13891,195
12033,17
4991,17
19869,195
15156,17
19124,17
20342,195
20535,195
10391,195
27544,195
19401,195
18545,195
10291,195
18658,195
30288,195
33837,195
22209,195
3307,17
23403,17
13098,17
8010,17
4911,17
19318,195
16255,17
4845,17
3306,17
21847,195
20810,17
21082,195
30363,195
30479,195
23575,195
11094,195
13128,17
20658,195
22756,195
4030,17
36995,17
19340,17
14478,17
20939,195
6071,17
20335,195
36561,17
20354,195
24326,195
18355,17
11299,195
21407,195
19266,195
18781,195
35111,17
30369,195
5175,17
7376,195
20682,195
31933,17
31939,17
2578,17
5186,17
28741,17
32471,195
22620,17
10292,195
27024,17
9344,17
27562,17
27698,17
9033,17
27263,195
22046,17
4846,17
4998,17
26657,195
6126,17
21069,195
10290,195
31521,17
20231,195
26817,195
20358,17
21114,195
26163,17
33507,17
12477,17
8011,195
20382,195
5000,17
15325,17
30030,17
30379,17
2817,17
29623,17
24173,17
22268,17
22652,17
5251,195
28204,17
19413,17
6072,17
18241,17
23967,195
27332,195
3718,17
2794,17
18409,17
18101,17
35057,195
21422,17
15576,195
23899,195
27011,195
33865,195
12052,17
10144,195
5181,17
5182,17
3068,17
19364,195
14910,17
4322,17
4277,17
15339,195
563,17
13496,17
38727,195
38988,195
39073,17
39134,195
39140,17
39366,17
39601,17
39603,17
39664,195
39668,195
39678,195
39679,195
39684,195
39743,195
39751,195
39756,195
39768,195
39863,195
40052,195
40319,195
40328,195
40335,195
40338,195
40451,17
40482,195
40485,195
40525,195
40533,195
40558,195
40603,195
40637,195
40652,195
40658,17
40659,17
40683,195
40691,17
31277,17
28546,17
28706,17
16108,17
29382,17
40594,195
28931,17
30993,17
22194,17
40636,195
35575,195
36801,195
30366,195
32781,17
28319,17
28533,17
40324,192
18723,8
9093,21
32093,190
36768,192
40255,190
37206,8
40347,192
31881,8
21150,21
36977,21
19156,190
17426,21
22265,190
29050,190
18033,190
18557,21
5371,21
15587,21
22180,190
35005,190
24240,21
6208,21
23973,21
31697,190
4074,190
20056,190
18469,190
36289,21
28308,21
33217,190
22512,190
17502,21
21074,21
21067,21
36321,21
21181,21
21162,21
29156,21
28381,190
29542,190
20831,21
36814,21
10898,190
19078,21
10212,21
17821,190
10887,190
6212,21
19055,21
7427,21
4521,190
12366,21
15146,21
28307,21
22879,190
12373,21
10403,190
5373,21
16000,190
4232,21
20024,21
12368,21
24313,21
10979,190
37126,190
31133,21
34439,190
9707,21
4241,190
15681,21
15151,21
3957,190
7429,21
7424,21
219,190
4929,190
21070,21
14462,21
30297,21
15153,21
29966,190
22389,190
20000,21
7419,21
6211,21
