"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","warrenty","model_no","cpu_speed","ram_type","hdd_type","card_reader","series_name","laptop_optical_drive","laptop_colour","laptop_screen_type","laptop_adapter","laptop_battery","gr_ean","laptop_battery_backup","laptop_remark","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","ebizmarts_mark_visited","brands","remove_compare_link","cash_on_delivery","free_home_delivery","hard_disk_drive_storage","graphic_card_memory","screen_details","cpu","storage_capacity","graphic_card_type","webcam","screen_size","segment","laptop_warranty_summary","laptop_ram","laptop_operating_system","laptop_graphic_card_model","laptop_freebag","laptop_touchscreen","is_superdeal","laptop_processor","mapped_status","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","gr_valid_through","description","short_description","meta_keyword","custom_layout_update","mapped_details","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","product_type","magebuzz_featured_product"
"admin","base","Laptops","simple","3,60","Openbox1013","0","Lenovo Laptop 59-436783 APU Quad Core A8/4 GB/500 GB/Integrated Graphics/Win 8.1/Touch/Black","","","/l/e/lenovo-a8-6410-w8-59-436783-black1.jpg","/l/e/lenovo-a8-6410-w8-59-436783-black1.jpg","/l/e/lenovo-a8-6410-w8-59-436783-black1.jpg","","lenovo-laptop-59-436783-apu-quad-core-a8-4-gb-500-gb-integrated-graphics-win-8-1-touch-black","lenovo-laptop-59-436783-apu-quad-core-a8-4-gb-500-gb-integrated-graphics-win-8-1-touch-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","59-436783","1.5 GHz","DDR3 1600 MHz","SATA (5400RPM)","2-in-1 Card Reader","Flex","","Black","HD LED Multi-touch Flat Slim White LED Display","45 W AC Adapter","4 cell","","","","17033.9000","","2.4000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","500 GB","","","35.0 cm (13.8 inches)","","6 Months Warranty.","4 GB","Windows 8.1","Integrated","No","No","No","","Yes","","","","","","","","<ul><li>APU Quad Core A8</li><li>4 GB</li><li>500 GB</li><li>Integrated Graphics</li><li>Win 8.1</li></ul>","<ul><li>APU Quad Core A8</li><li>4 GB</li><li>500 GB</li><li>Integrated Graphics</li><li>Win 8.1</li></ul>","","","2017-12-03 08:55:25: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAwADEAMw==9;7377375390;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","Lenovo Laptop 59-436783 APU Quad Core A8/4 GB/500 GB/Integrated Graphics/Win 8.1/Touch/Black","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1065","0","Lenovo G50-30 80G001VNIN Intel Pentium N3540 2.16GHz/4 GB/500 GB/DOS","","","/l/e/lenovo-g50-notebook-80g001vnln-black1.jpg","/l/e/lenovo-g50-notebook-80g001vnln-black1.jpg","/l/e/lenovo-g50-notebook-80g001vnln-black1.jpg","/Lenovo-G50-30-Notebook-80G001VNIN-Black2.jpg,/Lenovo-G50-30-Notebook-80G001VNIN-Black3.jpg,/Lenovo-G50-30-Notebook-80G001VNIN-Black4.jpg","lenovo-g50-30-80g001vnin-intel-pentium-n3540-2-16ghz-4-gb-500-gb-dos-black","lenovo-g50-30-80g001vnin-intel-pentium-n3540-2-16ghz-4-gb-500-gb-dos-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","80G001VNIN","","","","","G50-30","Yes","Black","","","","","","","13382.2000","","0.0000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","500 GB","","Yes","","","6 Months Warranty.","4 GB","DOS","","No","No","No","","Yes","","","","","","","","<ul><li>Intel Pentium N3540 2.16GHz</li><li>4 GB</li><li>500 GB</li><li>DOS</li></ul>","<ul><li>Intel Pentium N3540 2.16GHz</li><li>4 GB</li><li>500 GB</li><li>DOS</li></ul>","","","2017-12-03 08:54:50: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAwADYANQ==9;7377337100;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","Lenovo G50-30 80G001VNIN Intel Pentium N3540 2.16GHz/4 GB/500 GB/DOS","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1168","0","HP Laptop 15-AC101TU Intel Core i3 5th Gen/4 GB/1 TB/DOS","","","/h/p/hp-laptop-15-ac101tu-turbo-silver1_2.jpg","/h/p/hp-laptop-15-ac101tu-turbo-silver1_2.jpg","/h/p/hp-laptop-15-ac101tu-turbo-silver1_2.jpg","/HP-Laptop-15-r250TU-Sparkling-Black2.jpg,/HP-Laptop-15-r250TU-Sparkling-Black3.jpg","hp-laptop-15-ac101tu-intel-core-i3-5th-gen-4-gb-1-tb-dos-turbo-silver","hp-laptop-15-ac101tu-intel-core-i3-5th-gen-4-gb-1-tb-dos-turbo-silver","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","15-AC101TU","","","","","HP 15","","Turbo SIlver","","","","","","","20389.8300","","0.0000","","Disabled","No","Catalog, Search","GST18","No","HP","Yes","Yes","Yes","","","","","1 TB","","","","","6 Months Warranty.","4 GB","DOS","","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","","","2017-12-03 08:54:23: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADYAOA==9;7377306330;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","HP Laptop 15-AC101TU Intel Core i3 5th Gen/4 GB/1 TB/DOS","0","simple","","","","0"
"admin","base","Laptops","simple","3,60","Openbox1173","0","Lenovo Laptop G50-80 80L000HMIN Intel Core i3 4th Gen/4 GB/1 TB/2 GB Graphics/DOS/Silver","","","/l/e/lenovo-g50-80-80l000hmln-silver1.jpg","/l/e/lenovo-g50-80-80l000hmln-silver1.jpg","/l/e/lenovo-g50-80-80l000hmln-silver1.jpg","/Lenovo-G50-80-Notebook-80E501LRIN-Black2.jpg,/Lenovo-G50-80-Notebook-80E501LRIN-Black3.jpg","lenovo-laptop-g50-80-80l000hmin-intel-core-i3-4th-gen-4-gb-1-tb-2-gb-graphics-win-8-1-silver","lenovo-laptop-g50-80-80l000hmin-intel-core-i3-4th-gen-4-gb-1-tb-2-gb-graphics-win-8-1-silver","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","80L000HMIN","1.9 GHz","DDR3 1600 MHz","SATA (5400RPM)","2-in-1 Card Reader","G50-80","SuperMulti DVD Tray-in Drive","Silver","HD WLED Backlit Glare Flat eDP Display","45 W AC Adapter","4 cell","","","","15509.3200","","2.5000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","1 TB","","","","","6 Months Warranty.","4 GB","DOS","Dedicated 2 GB","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 4th Gen</li><li>4 GB</li><li>1 TB</li><li>Dedicated 2 GB</li><li>DOS</li></ul>","<ul><li>Intel Core i3 4th Gen</li><li>4 GB</li><li>1 TB</li><li>Dedicated 2 GB</li><li>DOS</li></ul>","","","2017-12-03 08:54:23: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADcAMw==9;7377305910;","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Lenovo Laptop G50-80 80L000HMIN Intel Core i3 4th Gen/4 GB/1 TB/2 GB Graphics/DOS/Silver","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1174","0","Lenovo Laptop G50-80 80L000HRIN Intel Core i3 4005U/4 GB/1 TB/Integrated Graphics/DOS/Black","","","/l/e/lenovo-laptop-g50-80-80l000hrln-black1_2.jpg","/l/e/lenovo-laptop-g50-80-80l000hrln-black1_2.jpg","/l/e/lenovo-laptop-g50-80-80l000hrln-black1_2.jpg","/Lenovo-Laptop-G50-80-80E501FUIN-Black2.jpg,/Lenovo-Laptop-G50-80-80E501FUIN-Black3.jpg","lenovo-laptop-g50-80-80l000hrin-intel-core-i3-4005u-4-gb-1-tb-integrated-graphics-dos-black","lenovo-laptop-g50-80-80l000hrin-intel-core-i3-4005u-4-gb-1-tb-integrated-graphics-dos-black-6529","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","80L000HRIN","1.7 GHz","DDR3","SATA (5400RPM)","Yes","G50-80","","Black","","","","","","","19318.6400","","2.5000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","1 TB","","","","","6 Months Warranty.","4 GB","DOS","Integrated","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 4005U</li><li>4 GB</li><li>1 TB</li><li>Integrated</li><li>DOS</li></ul>","<ul><li>Intel Core i3 4005U</li><li>4 GB</li><li>1 TB</li><li>Integrated</li><li>DOS</li></ul>","","","2017-12-03 08:54:23: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADcANA==9;7377305490;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","Lenovo Laptop G50-80 80L000HRIN Intel Core i3 4005U/4 GB/1 TB/Integrated Graphics/DOS/Black","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1175","0","HP Laptop 15-AC045TU Intel Core i5 5th Gen/4 GB/1 TB/DOS/Jack Black","","","/h/p/hp-15-ac045tu-black1.jpg","/h/p/hp-15-ac045tu-black1.jpg","/h/p/hp-15-ac045tu-black1.jpg","","hp-laptop-15-ac045tu-intel-core-i5-5th-gen-4-gb-1-tb-dos-jack-black","hp-laptop-15-ac045tu-intel-core-i5-5th-gen-4-gb-1-tb-dos-jack-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","15-AC045TU","","","","","","Yes","Jack Black","","Yes","","","","","22880.5100","","2.1400","","Disabled","No","Catalog, Search","GST18","No","HP","Yes","Yes","Yes","","","","","1 TB","","Yes","","","6 Months Warranty.","4 GB","DOS","","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i5 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","<ul><li>Intel Core i5 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","","","2017-12-03 08:54:22: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADcANQ==9;7377305080;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","HP Laptop 15-AC045TU Intel Core i5 5th Gen/4 GB/1 TB/DOS/Jack Black","0","simple","","","","0"
"admin","base","Laptops","simple","3,60","Openbox1177","0","HP Laptop 15-ac054TU Intel Celeron Dual Core/2 GB/500 GB/Integrated Graphics/DOS/Jack Black","","","/h/p/hp-15-ac054tu-black1.jpg","/h/p/hp-15-ac054tu-black1.jpg","/h/p/hp-15-ac054tu-black1.jpg","","hp-laptop-15-ac054tu-intel-celeron-dual-core-2-gb-500-gb-integrated-graphics-win-8-1-jack-black","hp-laptop-15-ac054tu-intel-celeron-dual-core-2-gb-500-gb-integrated-graphics-win-8-1-jack-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","15-ac054TU","","","","","","","Jack Black","","","","","","","14967.8000","","0.0000","","Disabled","No","Catalog, Search","GST18","No","HP","Yes","Yes","Yes","","","","","500 GB","","","","","6 Months Warranty.","2 GB","DOS","Integrated","No","No","No","","Yes","","","","","","","","<ul><li>Intel Celeron Dual Core</li><li>2 GB</li><li>500 GB</li><li>Integrated Graphics</li><li>DOS</li></ul>","<ul><li>Intel Celeron Dual Core</li><li>2 GB</li><li>500 GB</li><li>Integrated Graphics</li><li>DOS</li></ul>","","","2017-12-03 08:54:22: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADcANw==9;7377304660;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","HP Laptop 15-ac054TU Intel Celeron Dual Core/2 GB/500 GB/Integrated Graphics/DOS/Jack Black","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1178","0","HP Laptop 15-AC125TU Intel Core i3 5th Gen/4 GB/1 TB/Integrated Graphics/DOS/White Silver","","","/h/p/hp-15-ac125tu-white-silver1.jpg","/h/p/hp-15-ac125tu-white-silver1.jpg","/h/p/hp-15-ac125tu-white-silver1.jpg","","hp-laptop-15-ac125tu-intel-core-i3-5th-gen-4-gb-1-tb-integrated-graphics-dos-white-silver","hp-laptop-15-ac125tu-intel-core-i3-5th-gen-4-gb-1-tb-integrated-graphics-dos-white-silver","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","15-AC125TU","","","","","","","White Silver","","","","","","","18566.9500","","0.0000","","Disabled","No","Catalog, Search","GST18","No","HP","Yes","Yes","Yes","","","","","1 TB","","","","","6 Months Warranty.","4 GB","DOS","Integrated","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>Integrated Graphics</li><li>DOS</li></ul>","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>Integrated Graphics</li><li>DOS</li></ul>","","","2017-12-03 08:54:22: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAxADcAOA==9;7377304240;","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","HP Laptop 15-AC125TU Intel Core i3 5th Gen/4 GB/1 TB/Integrated Graphics/DOS/White Silver","0","simple","","","",""
"admin","base","Laptops","simple","3,60","Openbox1310","0","Lenovo G50-80 80E503G1IN 15.6-inch Laptop (Core i3-5005U/8GB/500GB/Windows 10 Home/Integrated Graphics), Black","","","/l/e/lenovo-laptop-g50-80-80e5039cih-black1.jpg","/l/e/lenovo-laptop-g50-80-80e5039cih-black1.jpg","/l/e/lenovo-laptop-g50-80-80e5039cih-black1.jpg","/Lenovo-G50-80-Notebook-80E501LRIN-Black2.jpg,/Lenovo-G50-80-Notebook-80E501LRIN-Black3.jpg","lenovo-laptop-g50-80-80e5039cih-intel-core-i3-5th-gen-4-gb-1-tb-dos-black","lenovo-laptop-g50-80-80e5039cih-intel-core-i3-5th-gen-4-gb-1-tb-dos-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","1 Year Warranty","80E5039CIH","","","","","","","","","","","","","","21461.8600","","0.0000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","500 GB","","","","","1 Year Warranty","8 GB","","","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>WIN 10</li></ul>","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>WIN 10</li></ul>","","","2017-12-03 08:54:07: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAzADEAMA==9;7377289710;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","1","0","1","1","0.0000","1","0","0","1","1","Lenovo G50-80 80E503G1IN 15.6-inch Laptop (Core i3-5005U/8GB/500GB/Windows 10 Home/Integrated Graphics), Black","0","simple","","","","0"
"admin","base","Laptops","simple","3,60","Openbox1311","0","Lenovo Laptop G50-80 G Series Ideapad 80E5038EIH Intel Core i3 5th Gen/4 GB/1 TB/DOS/Black","","","/l/e/lenovo-laptop-g50-80-g-series-ideapad-80e5038eih-black1.jpg","/l/e/lenovo-laptop-g50-80-g-series-ideapad-80e5038eih-black1.jpg","/l/e/lenovo-laptop-g50-80-g-series-ideapad-80e5038eih-black1.jpg","/Lenovo-G50-80-Notebook-80E501LRIN-Black2.jpg,/Lenovo-G50-80-Notebook-80E501LRIN-Black3.jpg","lenovo-laptop-g50-80-g-series-ideapad-80e5038eih-intel-core-i3-5th-gen-4-gb-1-tb-dos-black","lenovo-laptop-g50-80-g-series-ideapad-80e5038eih-intel-core-i3-5th-gen-4-gb-1-tb-dos-black","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6 Mothnts Warranty.","80E5038EIH","","","","","","Yes","Black","","","","","","","16493.2200","","0.0000","","Disabled","No","Catalog, Search","GST18","No","Lenovo","Yes","Yes","Yes","","","","","1 TB","","Yes","","","6 Months Warranty.","4 GB","DOS","","No","No","No","","Yes","","","","","","","","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","<ul><li>Intel Core i3 5th Gen</li><li>4 GB</li><li>1 TB</li><li>DOS</li></ul>","","","2017-12-03 08:54:07: Mapped with key : 40;GwAAAAJ7/08AUABFAE4AQgBPAFgAMQAzADEAMQ==9;7377289300;","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2017-10-16 11:41:34","","1","0","1","1","1","0.0000","1","0","0","1","1","Lenovo Laptop G50-80 G Series Ideapad 80E5038EIH Intel Core i3 5th Gen/4 GB/1 TB/DOS/Black","0","simple","","","",""
