SKU,"PRODUCT NAME",CATEGORY,"PRICE (INR)"
OPMBNTFB0625," Asus Zenfone 2 Laser  (Black 16 GB) (B Grade)","Open Box Mobile Grade B",6800
OPMBNTFB0661," Redmi Note 4 4GB - Black 64GB (B Grade)","Open Box Mobile Grade B",8550
OPMBNTFB0003,"Apple iPhone 5s (Space Grey, 16GB)","Open Box Mobile Grade B",9225
OPMBNTFB0001,"Apple iPhone 6 (Space Grey, 16 GB) (B Grade)","Open Box Mobile Grade B",14600
OPMBNTFB0560,"Apple iPhone 6 Plus (Space Grey, 16 GB) (B Grade)","Open Box Mobile Grade B",22800
OPMBNTFB0714,"Apple iPhone 6S (Silver, 64 GB) (B Grade)","Open Box Mobile Grade B",43200
OPMBNTFB0272,"Apple iPhone 6S (Space Grey, 64 GB) (B Grade)","Open Box Mobile Grade B",24300
OPMBNTFB0015,"Apple iPhone 7 (Jet Black, 128 GB)(B Grade)","Open Box Mobile Grade B",33750
OPMBNTFB0087,"Asus Zenfone 2 Laser ZE550ML (Black, 16 GB) (B Grade)","Open Box Mobile Grade B",5400
OPMBNTFB0619,"Asus Zenfone 2 ZE551ML (Silver, 16 GB)(B Grade)","Open Box Mobile Grade B",6750
OPMBNTFB0606,"Asus Zenfone 3 (Black, 64 GB) (4 GB RAM)(B Grade)","Open Box Mobile Grade B",13300
OPMBNTFB0626,"Asus Zenfone Selfie 2G (16GB, Silver) (B Grade)","Open Box Mobile Grade B",6100
OPMBNTFB0204,"Blackberry Passport  (Black, 32 GB) (B Grade)","Open Box Mobile Grade B",12700
OPMBNTFB0353,"Coolpad Note 3 Plus Gold (B Grade)","Open Box Mobile Grade B",7200
OPMBNTFB0081,"Creo Mark 1 CM0101B (Gun Metal Black, 32 GB)(B Grade)","Open Box Mobile Grade B",6000
OPMBNTFB0206,"Honor 4C (WHITE, 8 GB) (B Grade)","Open Box Mobile Grade B",4300
OPMBNTFB0635,"Honor 5C (Grey )(B Grade)","Open Box Mobile Grade B",5670
OPMBNTFB0367,"Honor 6 (Black, 16 GB)(B Grade)","Open Box Mobile Grade B",7900
OPMBNTFB0185,"Honor 6X BLN-L22 4GB  (64GB Gold)(B Grade)","Open Box Mobile Grade B",11400
OPMBNTFB0636,"Honor 8 (PEARL WHITE 32GB)(B Grade)","Open Box Mobile Grade B",11700
OPMBNTFB0123,"Honor Y541-U02 1GB  (8GB Black)(B Grade)","Open Box Mobile Grade B",2300
OPMBNTFB0186,"Honor Y541-U02 1GB (8GB Black White)","Open Box Mobile Grade B",2250
OPMBNTFB0034,"HTC Desire 10 Lifestyle (Polor White 32GB)(B Grade)","Open Box Mobile Grade B",6300
OPMBNTFB0562,"HTC Desire 826 (White , 16 GB) (B Grade)","Open Box Mobile Grade B",9000
OPMBNTFB0128,"HTC One M8Eye 2Gb (16GB Grey) (B Grade)","Open Box Mobile Grade B",9000
OPMBNTFB0401,"Karbonn Bahubali Black (B Grade)","Open Box Mobile Grade B",2100
OPMBNTFB0244,"KARBONN SMART A11 (BLACK) (B Grade)","Open Box Mobile Grade B",2300
OPMBNTFB0405,"Karbonn Smart A12 (White & Gold, 4GB)(B Grade)","Open Box Mobile Grade B",2700
OPMBNTFB0118,"Karbonn Smart A12 Star (Black & Silver) (B Grade)","Open Box Mobile Grade B",2200
OPMBNTFB0287,"Karbonn Smart A50S (Black)(B Grade)","Open Box Mobile Grade B",1600
OPMBNTFB0411,"Karbonn Titanium S8 (Black & Red)(B Grade)","Open Box Mobile Grade B",2900
