"PRODUCT NAME",CATEGORY,QTY,PRICE
"ACER (ATOM N2600 1.6GHZ/1GB/320GB/10.0"") LUSGA0801223614F7D7614","Pre-Owned Laptops",1,4900
"ACER Aspire 5742G (Core I3 M380 2.53GHz/3GB/500GB 15.6"") LXRB901011102008A21601","Pre-Owned Laptops",1,12500
"ACER ASPIRE 5742G (CORE I5-430M,2.27GHZ/3GB/500GB 15.6"")LXR53021020387EFD51601","Pre-Owned Laptops",1,12700
"ACER Aspire E1-571 (Core I3 2348M 2.30GHz/4GB/500GB 15.6"") NXM09SI030323071F13400","Pre-Owned Laptops",1,12500
"Acer E1-571 (Core I3 2348M 2.30GHz/2GB/500GB 15.6"") NXM09SI031306252CC1601","Pre-Owned Laptops",1,11500
"ACER Travelmate 4750 (Core I3 2330M 2.20GHz/2GB/320GB 14"") LXV42010141380E2BC2000","Pre-Owned Laptops",1,11800
"Acer-Aspire 4738G(Core I5 M460 2.53GHz/4GB/320GB) LXR5W02006034213842500","Pre-Owned Laptops",1,12700
"Acer-Aspire 5745(Core I5 2.27GHz/2GB/320GB) LXPTW0100503000B4B2500","Pre-Owned Laptops",1,12500
"APPLE IPHONE 4S (64GB)","Pre-Owned Mobiles",1,5600
"APPLE IPHONE 6 PLUS (128GB)","Pre-Owned Mobiles",1,25000
"Apple iPhone 6S (16 GB)","Pre-Owned Mobiles",20,17000
"Apple:iPhone 5s (16GB)","Pre-Owned Mobiles",6,7100
"Asus TX201L (Core I7 4500U 1.80GHZ/4GB/500GB AND TABLET 11"") E2N0CY1159607A","Pre-Owned Laptops",1,17000
"Asus-X201E(Core I3 3217U 1.80GHz/4GB/500GB 11.1"")DBN0CX49778146A","Pre-Owned Laptops",1,11500
"DELL -N4010(Core I5 M480 2.67GHz/3GB/500GB 14.0""Inch) 7MYKXP1","Pre-Owned Laptops",1,13700
"DELL E-6220 (Core i5-2520M @ 2.50GHz/4GB/160GB) 6P9K9T1","Pre-Owned Laptops",1,12500
"Dell Insp 3420 (Core I3 2370M 2.40GHz/4GB/500GB 14"") 2337WS1","Pre-Owned Laptops",1,12500
"Dell Insp 3520 (Core I3 2320M 2.20GHz/2GB/500GB 15.6"") HCY6MV1","Pre-Owned Laptops",1,12000
"DELL Insp 5420 (Core I5 3210M 2.50GHz/4GB/500GB 14.1"") CJCJVS1","Pre-Owned Laptops",1,13700
"Dell INSP N 4010(CORE I5-M450 / 2.40GHZ / 2GB / 320GB/ 14'')69NW5BS","Pre-Owned Laptops",1,13400
"Dell Insp N4010 (Core I3 370M 2.40GHz/4GB/500GB 14"") 9PHZ7BS","Pre-Owned Laptops",1,12500
"Dell Insp N4010 (Core I3 M380 2.53GHz/4GB/500GB 14"") JN42CQ1","Pre-Owned Laptops",1,12500
"Dell Insp N4050 (Core I3 2330M 2.20GHz/2GB/320GB 14"") D8R6PP1","Pre-Owned Laptops",1,11800
"Dell Insp N5010 (Core I3 M330 2.13GHz/4GB/500GB 15.6"") 3PTT5BS","Pre-Owned Laptops",1,12500
"DELL Insp N5010 (Core I3 M350 2.27GHz/3GB/320GB 15.6"") 45FTQR1","Pre-Owned Laptops",1,12000
"Dell Insp N5010 (Core I3 M350 2.27GHz/3GB/500GB 15.6"") BB7Q5BS","Pre-Owned Laptops",1,12500
"Dell Insp N5010 (Core I3 M380 2.53GHz/3GB/500GB 15.6"") DRKV7BS","Pre-Owned Laptops",1,12500
"Dell Insp N5010 (Core I3 M380 2.53GHz/4GB/500GB 15.6"") 67WVTQ1","Pre-Owned Laptops",1,12500
"Dell Insp N5110 (Core I5 2410M 2.30GHz/4GB/640GB 15.6"") FCGKVQ1","Pre-Owned Laptops",1,14700
"Dell Insp N5110 (Core I5 2410M CPU 2.30GHz/2GB/500GB 15"") 41ZGVQ1","Pre-Owned Laptops",1,13000
"DELL INSPIRON 15 3542/4TH GEN CI5/4GB/1TB/INT/WIN8/15.6-INCH","Brand Refurbished Laptops",1,24000
"Dell INSPIRON N5010 (Core I3 M370 2.40GHz/4GB/500GB 15.6"") 63XL1N1","Pre-Owned Laptops",1,12500
"DELL INSPRION 4110 (CORE I5 2410M 2.30GHZ/4GB/640GB 14"")FWX1WQ1","Pre-Owned Laptops",1,13200
"DELL LATITUDE E6320 (CORE I5-2520M 2.50GHZ/4GB/320GB 14"") FCF2QV1","Pre-Owned Laptops",1,14000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") 1064NV1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") 7064NV1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") 8064NV1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") B9879W1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") GN9XMV1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") H6579W1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") HH81NV1","Pre-Owned Laptops",1,18000
"Dell Latitude E6430 (Core I7 3720M 2.60GHz/4GB/320GB 14"") JJ81NV1","Pre-Owned Laptops",1,18000
"Dell N5110 (Core I5 2450M 2.50GHz/4GB/500GB 15.6"") F05VQR1","Pre-Owned Laptops",1,13000
"DELL REFURBISHED ALIENWARE 13 R2/ 6th Gen Ci5-6200U/ 8GB/ 500GB/ 2GB/ WIN 10/ 13.3-Inch","Brand Refurbished Laptops",1,58800
"DELL REFURBISHED ALIENWARE 13 R2/ 6th Gen Ci7-6500U/ 16GB/ 500GB/ 4GB/ WIN 10/ 13.3-Inch QHD Touch","Brand Refurbished Laptops",1,66700
"DELL REFURBISHED ALIENWARE 15 R2/ 6th Gen Ci5-6300HQ/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",1,59300
"DELL REFURBISHED ALIENWARE 15 R2/ 6th Gen Ci7-6700HQ/ 16GB/ 256GB SSD+1TB/ 8GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",2,78400
"DELL REFURBISHED ALIENWARE 15 R3/ 7th Gen Ci7-7700HQ/ 16GB/ 512GB SSD+1TB/ 8GB/ WIN 10/ 15.6-Inch FHD","Brand Refurbished Laptops",1,130400
"DELL REFURBISHED ALIENWARE 17 R3/ 6th Gen Ci7-6700HQ/ 16GB/ 1TB/ 4GB/ WIN 10/ 17.3-Inch FHD","Brand Refurbished Laptops",1,91200
"DELL REFURBISHED ALIENWARE 17 R3/ 6th Gen Ci7-6700HQ/ 16GB/ 1TB/ 8GB/ WIN 10/ 17.3-Inch FHD","Brand Refurbished Laptops",2,96000
"DELL REFURBISHED INSPIRON 11 3137/ Celeron 2955U/ 2GB/ 500GB/ INT/ WIN 10/ 11.6-Inch Touch","Brand Refurbished Laptops",3,18600
"DELL REFURBISHED INSPIRON 11 3137/ Celeron 2955U/ 2GB/ 500GB/ INT/ WIN 8.1/ 11.6-Inch Touch","Brand Refurbished Laptops",2,16000
"DELL REFURBISHED INSPIRON 11 3147/ PQC N3540/ 4GB/ 500GB/ INT/ WIN 8.1/ 11.6-Inch Touch","Brand Refurbished Laptops",2,18200
"DELL REFURBISHED INSPIRON 11 3148/ 4th Gen Ci3-4010U/ 4GB/ 500GB/ INT/ WIN 8.1/ 11.6-Inch Touch","Brand Refurbished Laptops",1,30100
"DELL REFURBISHED INSPIRON 11 3148/ 4th Gen Ci3-4030U/ 4GB/ 500GB/ INT/ NO OS/ 11.6-Inch Touch","Brand Refurbished Laptops",1,18700
"DELL REFURBISHED INSPIRON 11 3148/ 4th Gen Ci3-4030U/ 4GB/ 500GB/ INT/ WIN 10/ 11.6-Inch Touch","Brand Refurbished Laptops",6,22000
"DELL REFURBISHED INSPIRON 11 3158/ 6th Gen Ci3-6100U/ 4GB/ 500GB/ INT/ NO OS/ 11.6-Inch Touch","Brand Refurbished Laptops",2,24500
"DELL REFURBISHED INSPIRON 11 3179 (7th Gen M3-7Y30/ 4GB/ 1TB/ INT/ WIN 10/ 11.6-INCH  Touch)","Brand Refurbished Laptops",1,29900
"DELL REFURBISHED INSPIRON 13 5368/ 6th Gen Ci3-6100U/ 4GB/ 1TB/ INT/ WIN 10/ 13.3-Inch FHD Touch","Brand Refurbished Laptops",3,36200
"DELL REFURBISHED INSPIRON 13 5368/ 6th Gen Ci7-6500U/ 8GB/ 1TB/ INT/ WIN 10/ 13.3-Inch FHD Touch","Brand Refurbished Laptops",4,44600
"DELL REFURBISHED INSPIRON 13 7348/ 5th Gen Ci5-5200U/ 8GB/ 500GB/ INT/ WIN 10/ 13.3-INCH FHD Touch","Brand Refurbished Laptops",1,46300
"DELL REFURBISHED INSPIRON 13 7348/ 5TH GEN CI7-5500U/ 8GB/ 256GB SSD/ INT/ WIN 10/ 13.3-INCH FHD TOUCH","Brand Refurbished Laptops",1,53000
