ID,SKU,"PRODUCT NAME",CATEGORY,QTY,PRICE
20073,OPMBNTFB0625," Asus Zenfone 2 Laser  (Black 16 GB) (B Grade)","Open Box Mobile Grade B ",1.0000,6800
19948,NEWTAB00025," Dell Venue 8 (Black, 32 GB)","Brand New Tablets",2.0000,8000
7298,OPMBNTF0467," Moto Turbo (Black, 64 GB)","Open Box Mobiles",220.0000,7500
20022,OPMBNTFB0467," Moto Turbo (Black, 64 GB)(B Grade)","Open Box Mobile Grade B ",18.0000,6900
17115,QCNBB000660,"ACER (ATOM N2600 1.6GHZ/1GB/320GB/10.0"") LUSGA0801223614F7D7614","Pre-Owned Laptops",1.0000,4900
18798,QCNBB001196,"Acer Aspire 5733 (Core I3 M370/4GB/320GB 15.6"") LXRN5020741401D8E91601","Pre-Owned Laptops",1.0000,11500
19157,QCNBB001317,"ACER Aspire 5742G (Core I3 M380 2.53GHz/3GB/500GB 15.6"") LXRB901011102008A21601","Pre-Owned Laptops",1.0000,12500
17108,QCNBB000809,"ACER ASPIRE 5742G (CORE I5-430M,2.27GHZ/3GB/500GB 15.6"")LXR53021020387EFD51601","Pre-Owned Laptops",1.0000,12700
18795,QCNBB001193,"Acer Aspire 5755G (Core I3-2350M /2.30GHz/2GB/500GB 15.6"") NXRV3SI0012110D5583400","Pre-Owned Laptops",1.0000,12000
16231,OPNBNTF0003,"Acer Aspire E1-470P NX.MF8SI.001 Laptop (3rd Gen Core i3-3217U/4GB/500GB/Intel HD Graphics/Win 8/14.1"")","Open Box Laptops",1.0000,17000
16233,OPNBNTF0007,"Acer Aspire E5-573G-380S NX.MVMSI.035 Laptop (5th Gen Core i3-5005U/4GB/1TB/2GB Graphics/Win 10/15.6"")","Open Box Laptops",1.0000,23000
17773,QCNBB001027,"Acer Aspire one 725-C7CBB (AMD DC C70 1.3 GHZ/2GB/500GB 13"") NUSGQSI00930209B1B7600","Pre-Owned Laptops",1.0000,9000
18797,QCNBB001195,"Acer E1-571 (Core I3 2348M 2.30GHz/2GB/500GB 15.6"") NXM09SI031306252CC1601","Pre-Owned Laptops",1.0000,11500
19557,QCNBB001339,"ACER EMACHINES-E732(CORE I3 M380 2.53GHZ/2GB/320GB 15.6"") LXNCA0C040108012172500","Pre-Owned Laptops",1.0000,11000
19094,QCNBB001254,"ACER Travelmate 4750 (Core I3 2330M 2.20GHz/2GB/320GB 14"") LXV42010141380E2BC2000","Pre-Owned Laptops",1.0000,11800
6595,OPMBNTF0143,"Acer Z630S (Black& Gold, 32GB )","Open Box Mobiles",1.0000,5500
16074,QCNBB000437,"Acer-Aspire 3830TG(Core I5 2410M 2.30GHz/4GB/640GB) LXRFQ0210513112C1A1601","Pre-Owned Laptops",1.0000,12500
15870,QCNBB000205,"Acer-Aspire 4738G(Core I5 M460 2.53GHz/4GB/320GB) LXR5W02006034213842500","Pre-Owned Laptops",1.0000,12700
16071,QCNBB000434,"Acer-Aspire 5745(Core I5 2.27GHz/2GB/320GB) LXPTW0100503000B4B2500","Pre-Owned Laptops",1.0000,12500
6067,GF-UC-3-GOLD,"Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Gold)","USB Cables",299.0000,100
6066,GF-UC-3-ROSEGOLD,"Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Rose Gold)","USB Cables",3.0000,150
7272,GF-UC-3-SILVER,"Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Silver)","USB Cables",566.0000,100
6065,GF-UC-31-BLACK,"Albright GF-UC-31 Silk Braided Metal Cable for iPhone 5 & 6 (Black)","USB Cables",786.0000,100
7271,GF-UC-31-BLUE,"Albright GF-UC-31 Silk Braided Metal Cable for iPhone 5 & 6 (Blue)","USB Cables",546.0000,90
7270,GF-UC-31-WHITE,"Albright GF-UC-31 Silk Braided Metal Cable for iPhone 5 & 6 (White)","USB Cables",555.0000,100
7083,LK-B060-BLACK,"Albright LK-B060 Bluetooth Speaker (Black)","Bluetooth Speakers",60.0000,300
7084,LK-B060-WHITE,"Albright LK-B060 Bluetooth Speaker (White)","Bluetooth Speakers",19.0000,300
