sku,qty,is_in_stock,status
OPMBNTF0018,824,1,1
OPMBNTF0019,827,1,1
OPMBNTF0020,522,1,1
OPMBNTF0035,191,1,1
OPMBNTF0557,36,1,1
OPMBNTF0604,8,1,1
OPMBNTFB0018,115,1,1
OPMBNTFB0019,15,1,1
OPMBNTFB0020,13,1,1
OPMBNTFB0035,4,1,1
OPMBNTF0017,411,1,1
OPMBNTF0021,266,1,1
OPMBNTF0023,377,1,1
OPMBNTF0026,16,1,1
OPMBNTF0028,326,1,1
OPMBNTF0029,173,1,1
OPMBNTF0037,92,1,1
OPMBNTF0038,287,1,1
OPMBNTFB0017,725,1,1
OPMBNTFB0021,248,1,1
OPMBNTFB0023,468,1,1
OPMBNTFB0026,67,1,1
OPMBNTFB0028,97,1,1
OPMBNTFB0029,0,1,1
OPMBNTFB0037,14,1,1
OPMBNTFB0038,1,1,1
