sku,status
OPMBNTF0008,2
OPMBNTF0112,2
OPMBNTF0115,2
OPMBNTF0116,2
OPMBNTF0125,2
OPMBNTF0197,2
OPMBNTF0203,2
OPMBNTF0224,2
OPMBNTF0225,2
OPMBNTF0301,2
OPMBNTF0325,2
OPMBNTF0391,2
OPMBNTF0393,2
OPMBNTF0394,2
OPMBNTF0398,2
OPMBNTF0400,2
OPMBNTF0402,2
OPMBNTF0403,2
OPMBNTF0429,2
OPMBNTF0445,2
OPMBNTF0452,2
OPMBNTF0453,2
OPMBNTF0454,2
OPMBNTF0456,2
OPMBNTF0519,2
OPMBNTF0521,2
OPMBNTF0534,2
OPMBNTF0543,2
OPMBNTF0545,2
OPMBNTF0546,2
OPMBNTF0548,2
OPMBNTF0554,2
OPMBNTF0560,2
OPMBNTF0583,2
OPMBNTF0614,2
OPMBNTF0622,2
OPMBNTF0629,2
OPMBNTF0646,2
OPMBNTF0701,2
OPMBNTF0721,2
OPMBNTFB0007,2
OPMBNTFB0008,2
OPMBNTFB0010,2
OPMBNTFB0014,2
OPMBNTFB0053,2
OPMBNTFB0059,2
OPMBNTFB0064,2
OPMBNTFB0077,2
OPMBNTFB0295,2
OPMBNTFB0326,2
OPMBNTFB0438,2
