sku,status
REFMOB0010,2
OPMBNTFB0695,2
NEWMOB00001,2
NEWMOB00002,2
OPMBNTF0597,2
OPMBNTF0175,2
OPMBNTF0005,2
OPMBNTF0067,2
OPMBNTF0451,2
OPMBNTF0171,2
NEWMOB00367,2
NEWMOB00001,2
NEWMOB00002,2
OPNBNTF0058,2
OPMBNTF0433,2
OPMBNTF0710,2
OPMBNTF0174,2
OPMBNTF0645,2
OPMBNTF0645,2
OPMBNTF0156,2
OPMBNTF0156,2
NEWMOB00002,2
NEWMOB00138,2
NEWMOB00138,2
NEWMOB00043,2
NEWMOB00331,2
OPMBNTF0172,2
NEWMOB00331,2
NEWMOB00021,2
NEWMOB00020,2
NEWMOB00020,2
NEWMOB00331,2
NEWMOB00378,2
NEWMOB00331,2
NEWMOB00331,2
OPMBNTF0320,2
NEWMOB00020,2
OPMBNTF0726,2
opmbntf0026,2
REFDE00085,2
OPMBNTF0436,2
QCNBB000718,2
NEWMOB00004,2
