sku,status
OPMBNTF0007,1
OPMBNTF0018,1
OPMBNTF0022,1
OPMBNTF0025,1
OPMBNTF0027,1
OPMBNTF0032,1
OPMBNTF0034,1
OPMBNTF0039,1
OPMBNTF0040,1
OPMBNTF0041,1
OPMBNTF0043,1
OPMBNTF0044,1
OPMBNTF0045,1
OPMBNTF0046,1
OPMBNTF0047,1
OPMBNTF0050,1
OPMBNTF0051,1
OPMBNTF0058,1
OPMBNTF0060,1
OPMBNTF0062,1
OPMBNTF0063,1
OPMBNTF0065,1
OPMBNTF0071,1
OPMBNTF0081,1
OPMBNTF0082,1
OPMBNTF0085,1
OPMBNTF0086,1
OPMBNTF0087,1
OPMBNTF0088,1
OPMBNTF0093,1
OPMBNTF0107,1
OPMBNTF0113,1
OPMBNTF0118,1
OPMBNTF0119,1
OPMBNTF0120,1
OPMBNTF0123,1
OPMBNTF0129,1
OPMBNTF0130,1
OPMBNTF0132,1
OPMBNTF0137,1
OPMBNTF0138,1
OPMBNTF0139,1
OPMBNTF0140,1
OPMBNTF0142,1
OPMBNTF0144,1
OPMBNTF0145,1
OPMBNTF0146,1
OPMBNTF0149,1
OPMBNTF0150,1
OPMBNTF0151,1
OPMBNTF0152,1
OPMBNTF0153,1
OPMBNTF0155,1
OPMBNTF0156,1
OPMBNTF0159,1
OPMBNTF0161,1
OPMBNTF0162,1
OPMBNTF0164,1
OPMBNTF0166,1
OPMBNTF0168,1
OPMBNTF0169,1
OPMBNTF0170,1
OPMBNTF0172,1
OPMBNTF0174,1
OPMBNTF0175,1
OPMBNTF0176,1
OPMBNTF0177,1
OPMBNTF0182,1
OPMBNTF0184,1
OPMBNTF0185,1
OPMBNTF0187,1
OPMBNTF0188,1
OPMBNTF0191,1
OPMBNTF0193,1
OPMBNTF0196,1
OPMBNTF0199,1
OPMBNTF0201,1
OPMBNTF0204,1
OPMBNTF0206,1
OPMBNTF0207,1
OPMBNTF0209,1
OPMBNTF0210,1
OPMBNTF0211,1
OPMBNTF0212,1
OPMBNTF0213,1
OPMBNTF0215,1
OPMBNTF0218,1
OPMBNTF0220,1
OPMBNTF0226,1
OPMBNTF0228,1
OPMBNTF0232,1
OPMBNTF0236,1
OPMBNTF0237,1
OPMBNTF0238,1
OPMBNTF0240,1
OPMBNTF0241,1
OPMBNTF0244,1
OPMBNTF0246,1
OPMBNTF0248,1
OPMBNTF0249,1
OPMBNTF0252,1
OPMBNTF0254,1
OPMBNTF0255,1
OPMBNTF0256,1
OPMBNTF0257,1
OPMBNTF0259,1
OPMBNTF0260,1
OPMBNTF0263,1
OPMBNTF0264,1
OPMBNTF0265,1
OPMBNTF0268,1
OPMBNTF0269,1
OPMBNTF0277,1
OPMBNTF0279,1
OPMBNTF0281,1
OPMBNTF0282,1
OPMBNTF0285,1
OPMBNTF0289,1
OPMBNTF0290,1
OPMBNTF0291,1
OPMBNTF0292,1
OPMBNTF0293,1
OPMBNTF0296,1
OPMBNTF0302,1
OPMBNTF0303,1
OPMBNTF0304,1
OPMBNTF0306,1
OPMBNTF0309,1
OPMBNTF0310,1
OPMBNTF0311,1
OPMBNTF0313,1
OPMBNTF0315,1
OPMBNTF0316,1
OPMBNTF0320,1
OPMBNTF0321,1
OPMBNTF0322,1
OPMBNTF0324,1
OPMBNTF0327,1
OPMBNTF0328,1
OPMBNTF0331,1
OPMBNTF0352,1
OPMBNTF0354,1
OPMBNTF0355,1
OPMBNTF0367,1
OPMBNTF0368,1
OPMBNTF0371,1
OPMBNTF0375,1
OPMBNTF0376,1
OPMBNTF0377,1
OPMBNTF0379,1
OPMBNTF0382,1
OPMBNTF0383,1
OPMBNTF0384,1
OPMBNTF0385,1
OPMBNTF0389,1
OPMBNTF0390,1
OPMBNTF0392,1
OPMBNTF0395,1
OPMBNTF0396,1
OPMBNTF0407,1
OPMBNTF0408,1
OPMBNTF0409,1
OPMBNTF0410,1
OPMBNTF0411,1
OPMBNTF0413,1
OPMBNTF0414,1
OPMBNTF0415,1
OPMBNTF0420,1
OPMBNTF0422,1
OPMBNTF0423,1
OPMBNTF0424,1
OPMBNTF0425,1
OPMBNTF0426,1
OPMBNTF0440,1
OPMBNTF0442,1
OPMBNTF0447,1
OPMBNTF0449,1
OPMBNTF0451,1
OPMBNTF0458,1
OPMBNTF0459,1
OPMBNTF0460,1
OPMBNTF0461,1
OPMBNTF0462,1
OPMBNTF0463,1
OPMBNTF0464,1
OPMBNTF0466,1
OPMBNTF0467,1
OPMBNTF0469,1
OPMBNTF0472,1
OPMBNTF0475,1
OPMBNTF0476,1
OPMBNTF0478,1
OPMBNTF0481,1
OPMBNTF0485,1
OPMBNTF0494,1
OPMBNTF0495,1
OPMBNTF0500,1
OPMBNTF0503,1
OPMBNTF0504,1
OPMBNTF0506,1
OPMBNTF0507,1
OPMBNTF0511,1
OPMBNTF0512,1
OPMBNTF0515,1
OPMBNTF0522,1
OPMBNTF0535,1
OPMBNTF0557,1
OPMBNTF0561,1
OPMBNTF0563,1
OPMBNTF0565,1
OPMBNTF0568,1
OPMBNTF0571,1
OPMBNTF0586,1
OPMBNTF0587,1
OPMBNTF0589,1
OPMBNTF0590,1
OPMBNTF0591,1
OPMBNTF0595,1
OPMBNTF0597,1
OPMBNTF0598,1
OPMBNTF0600,1
OPMBNTF0602,1
OPMBNTF0603,1
OPMBNTF0604,1
OPMBNTF0605,1
OPMBNTF0606,1
OPMBNTF0608,1
OPMBNTF0611,1
OPMBNTF0617,1
OPMBNTF0618,1
OPMBNTF0619,1
OPMBNTF0623,1
OPMBNTF0626,1
OPMBNTF0627,1
OPMBNTF0628,1
OPMBNTF0632,1
OPMBNTF0635,1
OPMBNTF0636,1
OPMBNTF0640,1
OPMBNTF0642,1
OPMBNTF0643,1
OPMBNTF0644,1
OPMBNTF0645,1
OPMBNTF0648,1
OPMBNTF0649,1
OPMBNTF0650,1
OPMBNTF0652,1
OPMBNTF0653,1
OPMBNTF0656,1
OPMBNTF0657,1
OPMBNTF0663,1
OPMBNTF0667,1
OPMBNTF0668,1
OPMBNTF0669,1
OPMBNTF0671,1
OPMBNTF0677,1
OPMBNTF0678,1
OPMBNTF0682,1
OPMBNTF0684,1
OPMBNTF0685,1
OPMBNTF0700,1
OPMBNTF0703,1
OPMBNTF0710,1
OPMBNTF0711,1
OPMBNTF0712,1
OPMBNTF0714,1
OPMBNTF0715,1
OPMBNTF0719,1
OPMBNTF0720,1
OPMBNTF0724,1
OPMBNTF0725,1
OPMBNTF0726,1
OPMBNTF0727,1
OPMBNTFB0001,1
OPMBNTFB0002,1
OPMBNTFB0003,1
OPMBNTFB0004,1
OPMBNTFB0005,1
OPMBNTFB0009,1
OPMBNTFB0011,1
OPMBNTFB0015,1
OPMBNTFB0017,1
OPMBNTFB0018,1
OPMBNTFB0019,1
OPMBNTFB0020,1
OPMBNTFB0021,1
OPMBNTFB0022,1
OPMBNTFB0023,1
OPMBNTFB0024,1
OPMBNTFB0025,1
OPMBNTFB0026,1
OPMBNTFB0027,1
OPMBNTFB0028,1
OPMBNTFB0029,1
OPMBNTFB0030,1
OPMBNTFB0031,1
OPMBNTFB0033,1
OPMBNTFB0035,1
OPMBNTFB0036,1
OPMBNTFB0037,1
OPMBNTFB0038,1
OPMBNTFB0039,1
OPMBNTFB0040,1
OPMBNTFB0042,1
OPMBNTFB0045,1
OPMBNTFB0046,1
OPMBNTFB0047,1
OPMBNTFB0055,1
OPMBNTFB0057,1
OPMBNTFB0058,1
OPMBNTFB0061,1
OPMBNTFB0062,1
OPMBNTFB0065,1
OPMBNTFB0066,1
OPMBNTFB0069,1
OPMBNTFB0075,1
OPMBNTFB0078,1
OPMBNTFB0080,1
OPMBNTFB0084,1
OPMBNTFB0087,1
OPMBNTFB0093,1
OPMBNTFB0096,1
OPMBNTFB0098,1
OPMBNTFB0099,1
OPMBNTFB0101,1
OPMBNTFB0104,1
OPMBNTFB0106,1
OPMBNTFB0107,1
OPMBNTFB0113,1
OPMBNTFB0115,1
OPMBNTFB0119,1
OPMBNTFB0120,1
OPMBNTFB0126,1
OPMBNTFB0132,1
OPMBNTFB0133,1
OPMBNTFB0140,1
OPMBNTFB0142,1
OPMBNTFB0151,1
OPMBNTFB0154,1
OPMBNTFB0165,1
OPMBNTFB0167,1
OPMBNTFB0182,1
OPMBNTFB0189,1
OPMBNTFB0192,1
OPMBNTFB0194,1
OPMBNTFB0204,1
OPMBNTFB0216,1
OPMBNTFB0218,1
OPMBNTFB0219,1
OPMBNTFB0229,1
OPMBNTFB0238,1
OPMBNTFB0239,1
