sku,status
REFDE00255,1
REFDE00257,1
REFDE00287,1
REFDE00324,1
REFDE00325,1
REFDE00326,1
REFDE00327,1
REFDE00328,1
REFDE00329,1
REFDE00330,1
REFDE00331,1
REFDE00332,1
REFDE00333,1
REFDE00334,1
REFDE00335,1
REFDE00336,1
REFDE00289,1
REFDE00290,1
REFDE00291,1
REFDE00292,1
REFDE00299,1
REFDE00302,1
REFDE00303,1
REFDE00307,1
REFDE00312,1
REFDE00313,1
REFDE00001,1
REFDE00002,1
REFDE00003,1
REFDE00004,1
REFDE00005,1
REFDE00006,1
REFDE00007,1
REFDE00008,1
REFDE00011,1
REFDE00013,1
REFDE00014,1
REFDE00015,1
REFDE00017,1
REFDE00025,1
REFDE00027,1
REFDE00028,1
REFDE00029,1
REFDE00030,1
REFDE00032,1
REFDE00033,1
REFDE00034,1
REFDE00036,1
REFDE00040,1
REFDE00042,1
REFDE00043,1
REFDE00048,1
REFDE00051,1
REFDE00052,1
REFDE00055,1
REFDE00056,1
REFDE00059,1
REFDE00067,1
REFDE00073,1
REFDE00077,1
REFDE00086,1
REFDE00090,1
REFDE00091,1
REFDE00092,1
REFDE00093,1
REFDE00096,1
REFDE00097,1
REFDE00098,1
REFDE00099,1
REFDE00100,1
REFDE00101,1
REFDE00105,1
REFDE00106,1
REFDE00108,1
REFDE00109,1
REFDE00110,1
REFDE00111,1
REFDE00113,1
REFDE00114,1
REFDE00116,1
REFDE00117,1
REFDE00118,1
REFDE00119,1
REFDE00121,1
REFDE00122,1
REFDE00124,1
REFDE00125,1
REFDE00126,1
REFDE00127,1
REFDE00128,1
REFDE00129,1
REFDE00137,1
REFDE00139,1
REFDE00141,1
REFDE00142,1
REFDE00143,1
REFDE00146,1
REFDE00147,1
REFDE00148,1
REFDE00150,1
REFDE00151,1
REFDE00152,1
REFDE00155,1
REFDE00157,1
REFDE00159,1
REFDE00161,1
REFDE00162,1
REFDE00166,1
REFDE00168,1
REFDE00170,1
REFDE00174,1
REFDE00175,1
REFDE00182,1
REFDE00187,1
REFDE00192,1
REFDE00194,1
REFDE00196,1
REFDE00197,1
REFDE00198,1
REFDE00199,1
REFDE00200,1
REFDE00201,1
REFDE00202,1
REFDE00203,1
REFDE00204,1
REFDE00205,1
REFDE00206,1
REFDE00208,1
REFDE00209,1
REFDE00210,1
REFDE00211,1
REFDE00212,1
REFDE00213,1
REFDE00215,1
REFDE00216,1
REFDE00217,1
REFDE00218,1
REFDE00219,1
REFDE00221,1
REFDE00222,1
REFDE00223,1
REFDE00225,1
REFDE00226,1
REFDE00227,1
REFDE00228,1
REFDE00229,1
REFDE00230,1
REFDE00232,1
REFDE00234,1
REFDE00235,1
REFDE00237,1
REFDE00238,1
REFDE00245,1
REFDE00246,1
REFDE00248,1
REFDE00254,1
REFDE00258,1
REFDE00261,1
REFDE00262,1
REFDE00263,1
REFDE00265,1
REFDE00268,1
REFDE00273,1
REFDE00274,1
REFDE00275,1
REFDE00276,1
REFDE00282,1
REFDE00286,1
REFDE00288,1
REFDE00301,1
REFDE00304,1
REFDE00309,1
REFDE00310,1
REFDE00320,1
REFDE00321,1
REFDE00337,1
REFDE00338,1
REFDE00340,1
REFDE00342,1
REFDE00343,1
REFDE00345,1
REFDE00346,1
REFDE00009,1
REFDE00020,1
REFDE00041,1
REFDE00044,1
REFDE00047,1
REFDE00053,1
REFDE00058,1
REFDE00062,1
REFDE00066,1
REFDE00069,1
REFDE00075,1
REFDE00079,1
REFDE00080,1
REFDE00083,1
REFDE00084,1
REFDE00095,1
REFDE00104,1
REFDE00115,1
REFDE00140,1
REFDE00177,1
REFDE00179,1
REFDE00184,1
REFDE00186,1
REFDE00193,1
REFDE00214,1
REFDE00249,1
REFDE00251,1
REFDE00256,1
REFDE00270,1
REFDE00271,1
REFDE00272,1
REFDE00277,1
REFDE00285,1
REFDE00308,1
REFDE00316,1
