sku,status
OPMBNTFB0001,2
OPMBNTFB0002,2
OPMBNTFB0003,2
OPMBNTFB0004,2
OPMBNTFB0005,2
OPMBNTFB0007,2
OPMBNTFB0008,2
OPMBNTFB0009,2
OPMBNTFB0010,2
OPMBNTFB0011,2
OPMBNTFB0013,2
OPMBNTFB0014,2
OPMBNTFB0015,2
OPMBNTFB0016,2
OPMBNTFB0017,2
OPMBNTFB0018,2
OPMBNTFB0019,2
OPMBNTFB0020,2
OPMBNTFB0021,2
OPMBNTFB0022,2
OPMBNTFB0023,2
OPMBNTFB0024,2
OPMBNTFB0025,2
OPMBNTFB0026,2
OPMBNTFB0027,2
OPMBNTFB0028,2
OPMBNTFB0029,2
OPMBNTFB0030,2
OPMBNTFB0031,2
OPMBNTFB0032,2
OPMBNTFB0033,2
OPMBNTFB0034,2
OPMBNTFB0035,2
OPMBNTFB0036,2
OPMBNTFB0037,2
OPMBNTFB0038,2
OPMBNTFB0039,2
OPMBNTFB0042,2
OPMBNTFB0045,2
OPMBNTFB0046,2
OPMBNTFB0047,2
OPMBNTFB0048,2
OPMBNTFB0050,2
OPMBNTFB0051,2
OPMBNTFB0052,2
OPMBNTFB0053,2
OPMBNTFB0055,2
OPMBNTFB0057,2
OPMBNTFB0058,2
OPMBNTFB0059,2
OPMBNTFB0061,2
OPMBNTFB0062,2
OPMBNTFB0063,2
OPMBNTFB0064,2
OPMBNTFB0065,2
OPMBNTFB0066,2
OPMBNTFB0067,2
OPMBNTFB0068,2
OPMBNTFB0069,2
OPMBNTFB0073,2
OPMBNTFB0074,2
OPMBNTFB0075,2
OPMBNTFB0077,2
OPMBNTFB0078,2
OPMBNTFB0080,2
OPMBNTFB0081,2
OPMBNTFB0083,2
OPMBNTFB0084,2
OPMBNTFB0086,2
OPMBNTFB0087,2
OPMBNTFB0088,2
OPMBNTFB0089,2
OPMBNTFB0093,2
OPMBNTFB0094,2
OPMBNTFB0096,2
OPMBNTFB0097,2
OPMBNTFB0098,2
OPMBNTFB0099,2
OPMBNTFB0103,2
OPMBNTFB0104,2
OPMBNTFB0106,2
OPMBNTFB0107,2
OPMBNTFB0113,2
OPMBNTFB0115,2
OPMBNTFB0118,2
OPMBNTFB0119,2
OPMBNTFB0120,2
OPMBNTFB0121,2
OPMBNTFB0123,2
OPMBNTFB0124,2
OPMBNTFB0125,2
OPMBNTFB0126,2
OPMBNTFB0127,2
OPMBNTFB0128,2
OPMBNTFB0130,2
OPMBNTFB0132,2
OPMBNTFB0133,2
OPMBNTFB0140,2
OPMBNTFB0142,2
OPMBNTFB0146,2
OPMBNTFB0151,2
OPMBNTFB0154,2
OPMBNTFB0155,2
OPMBNTFB0164,2
OPMBNTFB0165,2
OPMBNTFB0167,2
OPMBNTFB0168,2
OPMBNTFB0181,2
OPMBNTFB0182,2
OPMBNTFB0183,2
OPMBNTFB0185,2
OPMBNTFB0186,2
OPMBNTFB0187,2
OPMBNTFB0188,2
OPMBNTFB0189,2
OPMBNTFB0192,2
OPMBNTFB0194,2
OPMBNTFB0196,2
OPMBNTFB0202,2
OPMBNTFB0204,2
OPMBNTFB0206,2
OPMBNTFB0214,2
OPMBNTFB0216,2
OPMBNTFB0218,2
OPMBNTFB0219,2
OPMBNTFB0222,2
OPMBNTFB0229,2
OPMBNTFB0238,2
OPMBNTFB0239,2
OPMBNTFB0240,2
OPMBNTFB0241,2
OPMBNTFB0244,2
OPMBNTFB0245,2
OPMBNTFB0246,2
OPMBNTFB0247,2
OPMBNTFB0248,2
OPMBNTFB0249,2
OPMBNTFB0250,2
OPMBNTFB0252,2
OPMBNTFB0253,2
OPMBNTFB0256,2
OPMBNTFB0257,2
OPMBNTFB0262,2
OPMBNTFB0265,2
OPMBNTFB0266,2
OPMBNTFB0268,2
OPMBNTFB0269,2
OPMBNTFB0270,2
OPMBNTFB0282,2
OPMBNTFB0283,2
OPMBNTFB0287,2
OPMBNTFB0290,2
OPMBNTFB0294,2
OPMBNTFB0295,2
OPMBNTFB0297,2
OPMBNTFB0298,2
OPMBNTFB0301,2
OPMBNTFB0302,2
OPMBNTFB0304,2
OPMBNTFB0305,2
OPMBNTFB0306,2
OPMBNTFB0307,2
OPMBNTFB0308,2
OPMBNTFB0310,2
OPMBNTFB0311,2
OPMBNTFB0319,2
OPMBNTFB0322,2
OPMBNTFB0323,2
OPMBNTFB0327,2
OPMBNTFB0328,2
OPMBNTFB0352,2
OPMBNTFB0353,2
OPMBNTFB0363,2
OPMBNTFB0365,2
OPMBNTFB0367,2
OPMBNTFB0401,2
OPMBNTFB0405,2
OPMBNTFB0411,2
OPMBNTFB0417,2
OPMBNTFB0419,2
OPMBNTFB0428,2
OPMBNTFB0430,2
OPMBNTFB0432,2
OPMBNTFB0433,2
OPMBNTFB0434,2
OPMBNTFB0435,2
OPMBNTFB0436,2
OPMBNTFB0438,2
OPMBNTFB0446,2
OPMBNTFB0462,2
OPMBNTFB0463,2
OPMBNTFB0465,2
OPMBNTFB0466,2
OPMBNTFB0467,2
OPMBNTFB0468,2
OPMBNTFB0469,2
OPMBNTFB0470,2
OPMBNTFB0471,2
OPMBNTFB0472,2
OPMBNTFB0473,2
OPMBNTFB0474,2
OPMBNTFB0482,2
OPMBNTFB0488,2
OPMBNTFB0489,2
OPMBNTFB0493,2
OPMBNTFB0495,2
OPMBNTFB0496,2
OPMBNTFB0497,2
OPMBNTFB0498,2
OPMBNTFB0499,2
OPMBNTFB0500,2
OPMBNTFB0504,2
OPMBNTFB0511,2
OPMBNTFB0512,2
OPMBNTFB0516,2
OPMBNTFB0521,2
OPMBNTFB0536,2
OPMBNTFB0540,2
OPMBNTFB0551,2
OPMBNTFB0553,2
OPMBNTFB0554,2
OPMBNTFB0555,2
OPMBNTFB0556,2
OPMBNTFB0557,2
OPMBNTFB0562,2
OPMBNTFB0565,2
OPMBNTFB0566,2
OPMBNTFB0567,2
OPMBNTFB0572,2
OPMBNTFB0578,2
OPMBNTFB0583,2
OPMBNTFB0587,2
OPMBNTFB0594,2
OPMBNTFB0596,2
OPMBNTFB0598,2
OPMBNTFB0599,2
OPMBNTFB0602,2
OPMBNTFB0603,2
OPMBNTFB0604,2
OPMBNTFB0605,2
OPMBNTFB0606,2
OPMBNTFB0608,2
OPMBNTFB0609,2
OPMBNTFB0610,2
OPMBNTFB0613,2
OPMBNTFB0619,2
OPMBNTFB0622,2
OPMBNTFB0625,2
OPMBNTFB0626,2
OPMBNTFB0630,2
OPMBNTFB0632,2
OPMBNTFB0635,2
OPMBNTFB0636,2
OPMBNTFB0643,2
OPMBNTFB0646,2
OPMBNTFB0647,2
OPMBNTFB0648,2
OPMBNTFB0649,2
OPMBNTFB0650,2
OPMBNTFB0652,2
OPMBNTFB0660,2
OPMBNTFB0661,2
OPMBNTFB0662,2
OPMBNTFB0669,2
OPMBNTFB0670,2
OPMBNTFB0671,2
OPMBNTFB0675,2
OPMBNTFB0678,2
OPMBNTFB0681,2
OPMBNTFB0688,2
OPMBNTFB0692,2
OPMBNTFB0693,2
OPMBNTFB0694,2
OPMBNTFB0698,2
OPMBNTFB0699,2
OPMBNTFB0704,2
OPMBNTFB0714,2
OPMBNTFB0040,2
OPMBNTFB0101,2
OPMBNTFB0326,2
OPMBNTFB0564,2
OPMBNTFB0574,2
OPMBNTFB0576,2
OPMBNTFB0577,2
OPMBNTFB0641,2
