sku,new_launch
MOBBBQ10BK,0
MOBBBZ3PK,0
NEWMOB00087,0
Mobile1002,0
NEWMOB00351,0
NEWMOB00249,0
NEWMOB00287,0
NEWMOB00282,0
NEWMOB00277,0
NEWMOB00278,0
NEWMOB00280,0
NEWMOB00279,0
NEWMOB00281,0
NEWMOB00267,0
NEWMOB00266,0
NEWMOB00276,0
NEWMOB00275,0
NEWMOB00286,0
NEWMOB00294,0
NEWMOB00293,0
NEWMOB00128,0
NEWMOB00135,0
NEWMOB00137,0
NEWMOB00157,0
NEWMOB00159,0
NEWMOB00156,0
NEWMOB00216,0
NEWMOB00217,0
NEWMOB00221,0
NEWMOB00220,0
NEWMOB00225,0
NEWMOB00224,0
NEWMOB00218,0
NEWMOB00187,0
NEWMOB00186,0
NEWMOB00189,0
NEWMOB00188,0
NEWMOB00324,0
NEWMOB00211,0
NEWMOB00201,0
NEWMOB00203,0
NEWMOB00235,0
NEWMOB00101,0
NEWMOB00098,0
NEWMOB00100,0
NEWMOB00092,0
NEWMOB00094,0
NEWMOB00095,0
NEWMOB00096,0
NEWMOB00175,0
NEWMOB00174,0
NEWMOB00171,0
NEWMOB00170,0
NEWMOB00172,0
NEWMOB00179,0
NEWMOB00165,0
NEWMOB00356,0
NEWMOB00197,0
NEWMOB00129,0
NEWMOB00102,0
NEWMOB00136,0
NEWMOB00241,0
NEWMOB00248,0
NEWMOB00347,0
NEWMOB00243,0
NEWMOB00292,0
NEWMOB00219,0
NEWMOB00123,0
NEWMOB00125,0
NEWMOB00247,0
NEWMOB00222,0
NEWMOB00169,0
NEWMOB00209,0
NEWMOB00210,0
NEWMOB00133,0
NEWMOB00284,0
NEWMOB00068,0
OPMBNTF0562,0
NEWMOB00162,0
NEWMOB00289,0
NEWMOB00176,0
MINIX-S1-WHITE,0
MINIX-S4-WHITE,0
OPMBNTF0346,0
NEWMOB00234,0
OPMBNTF0276,0
NEWMOB00252,0
NEWMOB00250,0
NEWMOB00254,0
NEWMOB00147,0
NEWMOB00151,0
OPMBNTF0383,0
PNY-BE520-WHITE,0
NEWMOB00196,0
NEWMOB00148,0
CATZ-PB-10400-GOLD,0
NEWMOB00149,0
GF-UC-31-BLACK,0
GF-UC-3-ROSEGOLD,0
GF-UC-3-GOLD,0
GF-UC-32-BLACK,0
ROCKMAN-GREEN,0
ROCKMAN-ORANGE,0
ROCKMAN-YELLOW,0
X-STANDER-BLUE,0
CARCHARGER-WHITE,0
MICROUSB-BLACK,0
OPMBNTF0343,0
NEWMOB00163,0
OPMBNTF0625,0
OPMBNTF0619,0
ICLMOB00003,0
OPMBNTF0634,0
OPMBNTF0367,0
OPMBNTF0294,0
OPMBNTF0298,0
OPMBNTF0295,0
OPMBNTF0247,0
OPMBNTF0119,0
OPMBNTF0166,0
OPMBNTF0434,0
OPMBNTF0132,0
OPMBNTF0536,0
OPMBNTF0229,0
OPMBNTF0157,0
OPMBNTF0207,0
OPMBNTF0143,0
OPMBNTF0250,0
NEWMOB00236,0
NEWMOB00237,0
OPMBNTF0273,0
OPMBNTF0087,0
OPMBNTF0182,0
OPMBNTF0085,0
OPMBNTF0325,0
OPMBNTF0192,0
OPMBNTF0104,0
OPMBNTF0676,0
OPMBNTF0125,0
OPMBNTF0111,0
OPMBNTF0214,0
OPMBNTF0154,0
OPMBNTF0592,0
OPMBNTF0113,0
OPMBNTF0112,0
OPMBNTF0126,0
OPMBNTF0218,0
OPMBNTF0469,0
OPMBNTF0672,0
OPMBNTF0083,0
OPMBNTF0089,0
OPMBNTF0052,0
OPMBNTF0500,0
OPMBNTF0654,0
OPMBNTF0313,0
OPMBNTF0487,0
OPMBNTF0317,0
OPMBNTF0156,0
OPMBNTF0318,0
OPMBNTF0197,0
OPMBNTF0670,0
OPMBNTF0264,0
OPMBNTF0221,0
OPMBNTF0489,0
OPMBNTF0496,0
OPMBNTF0497,0
NEWMOB00256,0
OPMBNTF0173,0
OPMBNTF0121,0
OPMBNTF0521,0
OPMBNTF0225,0
OPMBNTF0594,0
OPMBNTF0698,0
OPMBNTF0499,0
OPMBNTF0451,0
OPMBNTF0678,0
OPMBNTF0263,0
OPMBNTF0198,0
ICLMOB00002,0
OPMBNTF0053,0
NEWMOB00146,0
OPMBNTF0124,0
QCMBB000286,0
OPMBNTF0321,0
OPMBNTF0301,0
GF-UC-4-SILVER,0
OPMBNTF0205,0
OPMBNTF0468,0
NEWMOB00080,0
OPMBNTF0304,0
OPMBNTF0283,0
OPMBNTF0108,0
OPMBNTF0209,0
OPMBNTF0289,0
OPMBNTF0239,0
OPMBNTF0365,0
NEWMOB00214,0
OPMBNTF0296,0
OPMBNTF0137,0
OPMBNTF0123,0
OPMBNTF0640,0
OPMBNTF0635,0
OPMBNTF0279,0
OPMBNTF0206,0
LK-BZ014-RED,0
LK-BZ014-YELLOW,0
LK-B060-BLACK,0
LK-B060-WHITE,0
BT002-BLACK&BROWN,0
BT002-BLACKGREEN,0
AB003-WHITE,0
L4-WHITEGREEN,0
L4-GREYORANGE,0
OPMBNTF0322,0
NEWMOB00318,0
OPMBNTF0241,0
OPMBNTF0223,0
OPMBNTF0530,0
GF-UC-31-WHITE,0
GF-UC-31-BLUE,0
GF-UC-3-SILVER,0
OPMBNTF0297,0
OPMBNTF0093,0
OPMBNTF0101,0
OPMBNTF0668,0
OPMBNTF0523,0
OPMBNTF0195,0
OPMBNTF0643,0
OPMBNTF0467,0
OPMBNTF0064,0
OPMBNTF0512,0
OPMBNTF0585,0
OPMBNTF0539,0
OPMBNTF0664,0
OPMBNTF0046,0
OPMBNTF0061,0
OPMBNTF0326,0
OPMBNTF0100,0
OPMBNTF0216,0
NEWMOB00239,0
NEWMOB00238,0
OPMBNTF0462,0
OPMBNTF0674,0
opmbntf0556,0
OPMBNTF0582,0
OPMBNTF0194,0
OPMBNTF0482,0
OPMBNTF0345,0
NEWMOB00317,0
OPMBNTF0177,0
OPMBNTF0222,0
NEWMOB00226,0
OPMBNTF0147,0
OPMBNTF0098,0
OPMBNTF0373,0
OPMBNTF0120,0
OPMBNTF0305,0
OPMBNTF0094,0
OPMBNTF0158,0
OPMBNTF0078,0
OPMBNTF0605,0
NEWMOB00145,0
OPMBNTF0472,0
OPMBNTF0577,0
NEWMOB00021,0
NEWMOB00020,0
NEWMOB00019,0
NEWMOB00023,0
NEWMOB00304,0
OPMBNTF0082,0
OPMBNTF0567,0
OPMBNTF0433,0
OPMBNTF0084,0
OPMBNTF0187,0
NEWMOB00208,0
NEWMOB00018,0
NEWMOB00017,0
QCMBB000091,0
QCMBB000142,0
QCMBB000093,0
OPMBNTF0025,0
QCMBB000074,0
ASMBA000032,0
QCMBB000105,0
QCMBB000112,0
QCMBB000138,0
QCMBB000004,0
QCMBB000177,0
QCMBB000007,0
QCMBB000006,0
QCMBB000140,0
QCMBB000144,0
QCMBB000076,0
QCMBB000149,0
QCMBB000005,0
ASMBA000004,0
QCMBB000100,0
QCMBB000188,0
QCMBB000101,0
QCMBB000117,0
QCMBB000011,0
QCMBB000146,0
QCMBB000184,0
QCMBB000050,0
QCMBA000036,0
QCMBB000106,0
QCMBB000127,0
QCMBB000147,0
QCMBB000191,0
NEWMOB00263,0
QCMBB000192,0
OPMBNTF0266,0
QCMBB000086,0
QCMBB000143,0
QCMBB000312,0
QCMBA000034,0
QCMBB000116,0
QCMBB000003,0
ASMBA000024,0
NEWMOB00309,0
QCMBB000170,0
QCMBB000070,0
QCMBB000224,0
QCMBB000245,0
QCMBB000008,0
QCMBB000039,0
QCMBB000261,0
QCMBB000279,0
QCMBB000045,0
QCMBB000210,0
QCMBB000054,0
QCMBB000237,0
QCMBB000072,0
QCMBB000078,0
QCMBB000095,0
QCMBB000002,0
QCMBB000128,0
QCMBB000152,0
QCMBB000153,0
QCMBB000083,0
QCMBB000194,0
QCMBB000199,0
QCMBB000202,0
QCMBB000196,0
QCMBA000046,0
QCMBB000009,0
QCMBB000030,0
QCMBB000252,0
QCMBB000037,0
QCMBB000038,0
QCMBB000051,0
QCMBB000263,0
QCMBB000124,0
QCMBB000114,0
QCMBB000148,0
QCMBB000179,0
QCMBB000048,0
QCMBB000052,0
QCMBB000053,0
QCMBB000081,0
QCMBB000119,0
QCMBB000176,0
QCMBB000190,0
QCMBB000028,0
