store,websites,attribute_set,type,category_ids,sku,name,msrp_enabled,msrp_display_actual_price_type,gift_message_available,warrenty,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,laptop_remark,price,special_price,weight,msrp,status,visibility,tax_class_id,brands,processor,display_size,storage_capacity,android,expandable_storage_capacity,sim_type,camera,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,is_superdeal,disable_cod,magebuzz_featured_product,mapped_status,qty_update_flag,product_category_type,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,gr_valid_through,description,short_description,meta_keyword,custom_layout_update,searchindex_weight,,,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id
admin,base,Mobiles,simple,"4,94",OPMBNTF0269,Alcatel One Touch Idol X+ Bluish Black,Use config,Use config,No,6 Months Warranty.,,0.132,Dual Sim,2 Megapixel,,,,,,,,,,,3.5 mm,,,,Yes,,Yes,,,,,140.40 x 69.10 x 8.10,Bluish Black,,,2 GB,,,,,,0,,,,2,"Catalog, Search",GST12,Alcatel,,,,,,Dual Sim,,,16 Gb,,,,,,,,,,,OPENMOBNTF,,,,,,,,"2GHz Octa Core processor
The Full HD 5 ""1080p display covers almost the entire front and the 8.1mm slim design
13.1 megapixel main camera and 2 megapixel front camera
clear and detailed hi-fi sound",,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Alcatel One Touch Idol X+ Bluish Black,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0493,Samsung Galaxy A8 (A800I) 32Gb Black,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Samsung Galaxy A8 (A800I) 32Gb Black,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0626,Asus Zenfone Selfie 2G 16Gb  Silver,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Asus Zenfone Selfie 2G 16Gb  Silver,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0488,Samsung Galaxy A3 Midnight Black,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Samsung Galaxy A3 Midnight Black,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0353,Coolpad Note 3 Plus Gold,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coolpad,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Coolpad Note 3 Plus Gold,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0352,Coolpad Note 3 Lite Champagne White,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coolpad,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Coolpad Note 3 Lite Champagne White,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0596,Sony Xperia E1 D2 105 White,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sony,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Sony Xperia E1 D2 105 White,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0516,Samsung Galaxy Tab A (T355Y) 16Gb Sandy White,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Samsung Galaxy Tab A (T355Y) 16Gb Sandy White,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0128,HTC One M8Eye 2Gb  16Gb Grey,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTC,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,HTC One M8Eye 2Gb  16Gb Grey,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0282,HTC Desire 620G Dual Sim 1Gb  8Gb White,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTC,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,HTC Desire 620G Dual Sim 1Gb  8Gb White,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0474,Nokia Lumia 625 8Gb Black,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nokia,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Nokia Lumia 625 8Gb Black,simple
admin,base,Mobiles,simple,"4,94",OPMBNTF0470,Motorola X Style- 1572 16Gb Black,Use config,Use config,No,6 Months Warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motorola,,,,,,,,,,,,,,,,,,,,OPENMOBNTF,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,1,1,Motorola X Style- 1572 16Gb Black,simple
