sku,qty
QCNBB000049,1
QCNBB000122,1
QCNBB000209,1
QCNBB000213,1
QCNBB000225,1
QCNBB000261,1
QCNBB000263,1
QCNBB000271,1
QCNBB000298,1
QCNBB000309,1
QCNBB000314,1
QCNBB000315,1
QCNBB000322,1
QCNBB000328,1
QCNBB000336,1
QCNBB000337,1
QCNBB000345,1
QCNBB000371,1
QCNBB000394,1
QCNBB000415,1
QCNBB000427,1
QCNBB000502,1
QCNBB000515,1
QCNBB000528,1
QCNBB000538,1
QCNBB000551,1
QCNBB000555,1
QCNBB000560,1
QCNBB000561,1
QCNBB000564,1
QCNBB000570,1
QCNBB000577,1
QCNBB000583,1
QCNBB000596,1
QCNBB000617,1
QCNBB000634,1
QCNBB000643,1
QCNBB000650,1
QCNBB000658,1
QCNBB000659,1
QCNBB000661,1
QCNBB000665,1
QCNBB000666,1
QCNBB000711,1
QCNBB000727,1
QCNBB000731,1
QCNBB000732,1
QCNBB000740,1
QCNBB000760,1
QCNBB000765,1
QCNBB000783,1
QCNBB000805,1
QCNBB000808,1
QCNBB000816,1
QCNBB000949,1
QCNBB001072,1
QCNBB001074,1
QCNBB001110,1
QCNBB001122,1
QCNBB001123,1
QCNBB001124,1
QCNBB001139,1
QCNBB001156,1
QCNBB001193,1
QCNBB001194,1
QCNBB001195,1
QCNBB001196,1
QCNBB001229,1
QCNBB001235,1
QCNBB001238,1
QCNBB001239,1
QCNBB001240,1
QCNBB001241,1
QCNBB001242,1
QCNBB001243,1
QCNBB001244,1
QCNBB001245,1
QCNBB001246,1
QCNBB001247,1
QCNBB001248,1
QCNBB001249,1
QCNBB001250,1
QCNBB001251,1
QCNBB001252,1
QCNBB001253,1
QCNBB001254,1
QCNBB001255,1
QCNBB001256,1
QCNBB001257,1
QCNBB001258,1
QCNBB001259,1
QCNBB001260,1
QCNBB001261,1
QCNBB001262,1
QCNBB001263,1
QCNBB001264,1
QCNBB001265,1
QCNBB001266,1
QCNBB001267,1
QCNBB001268,1
QCNBB001269,1
QCNBB001270,1
QCNBB001271,1
QCNBB001272,1
QCNBB001273,1
QCNBB001274,1
QCNBB001275,1
QCNBB001276,1
QCNBB001277,1
QCNBB001278,1
QCNBB001279,1
QCNBB001280,1
QCNBB001281,1
QCNBB001282,1
QCNBB001283,1
QCNBB001284,1
QCNBB001285,1
QCNBB001286,1
QCNBB001287,1
QCNBB001288,1
QCNBB001289,1
QCNBB001290,1
QCNBB001291,1
QCNBB001292,1
QCNBB001293,1
QCNBB001294,1
QCNBB001295,1
QCNBB001296,1
QCNBB001297,1
QCNBB001298,1
QCNBB001299,1
QCNBB001300,1
QCNBB001301,1
QCNBB001302,1
QCNBB001303,1
QCNBB001304,1
QCNBB001305,1
QCNBB001306,1
QCNBB001307,1
QCNBB001308,1
QCNBB001309,1
QCNBB001310,1
QCNBB001311,1
QCNBB001312,1
QCNBB001313,1
QCNBB001314,1
QCNBB001315,1
QCNBB001316,1
QCNBB001317,1
QCNBB001318,1
QCNBB001319,1
QCNBB001320,1
QCNBB001321,1
QCNBB001322,1
QCNBB001323,1
QCNBB001324,1
QCNBB001325,1
QCNBB001326,1
QCNBB001327,1
QCNBB001328,1
QCNBB001329,1
QCNBB001330,1
QCNBB001331,1
QCNBB001332,1
QCNBB001333,1
QCNBB001334,1
QCNBB001335,1
QCNBB001336,1
QCNBB001337,1
QCNBB001340,1
QCNBB001342,1
QCNBB001344,1
QCNBB001347,1
QCNBB001348,1
QCNBB001351,1
QCNBB001352,1
QCNBB001353,1
QCNBB001356,1
QCNBB001358,1
QCNBB001359,1
QCNBB001361,1
QCNBB001362,1
QCNBB001367,1
QCNBB001370,1
QCNBB001371,1
QCNBB001372,1
QCNBB001374,1
QCNBB001378,1
QCNBB001395,1
QCNBB001396,1
QCNBB001397,1
QCNBB001398,1
QCNBB001399,1
QCNBB001400,1
QCNBB001401,1
QCNBB001402,1
QCNBB001403,1
QCNBB001404,1
QCNBB001405,1
QCNBB001406,1
QCNBB001407,1
QCNBB001408,1
QCNBB001409,1
QCNBB001410,1
QCNBB001411,1
QCNBB001412,1
QCNBB001413,1
QCNBB001414,1
QCNBB001415,1
QCNBB001416,1
QCNBB001417,1
QCNBB001418,1
QCNBB001419,1
QCNBB001420,1
QCNBB001421,1
QCNBB001422,1
QCNBB001423,1
QCNBB001424,1
QCNBB001425,1
QCNBB001426,1
QCNBB001427,1
QCNBB001428,1
QCNBB001429,1
QCNBB001430,1
QCNBB001431,1
QCNBB001433,1
QCNBB001434,1
QCNBB001435,1
QCNBB001436,1
QCNBB001437,1
QCNBB001438,1
QCNBB001439,1
QCNBB001440,1
QCNBB001441,1
QCNBB001442,1
QCNBB001443,1
QCNBB001444,1
QCNBB001445,1
QCNBB001446,1
QCNBB001447,1
QCNBB001448,1
QCNBB001449,1
QCNBB001450,1
QCNBB001451,1
QCNBB001452,1
QCNBB001484,1
QCNBB001506,1
SYGNBQB0019,1
SYGNBQB0034,1
SYGNBQB0055,1
SYGNBQB0060,1
SYGNBQB0072,1
SYGNBQB0118,1
SYGNBQB0119,1
SYGNBQB0129,1
SYGNBQB0147,1
SYGNBQB0148,1
SYGNBQB0149,1
SYGNBQB0150,1
SYGNBQB0151,1
SYGNBQB0152,1
SYGNBQB0153,1
SYGNBQB0154,1
SYGNBQB0155,1
SYGNBQB0156,1
SYGNBQB0157,1
SYGNBQB0158,1
SYGNBQB0159,1
SYGNBQB0160,1
SYGNBQB0161,1
SYGNBQB0162,1
SYGNBQB0163,1
SYGNBQB0164,1
SYGNBQB0165,1
SYGNBQB0166,1
SYGNBQB0167,1
SYGNBQB0168,1
SYGNBQB0169,1
SYGNBQB0171,1
SYGNBQB0172,1
SYGNBQB0173,1
SYGNBQB0174,1
SYGNBQB0175,1
SYGNBQB0176,1
SYGNBQB0177,1
SYGNBQB0178,1
SYGNBQB0179,1
SYGNBQB0180,1
SYGNBQB0181,1
SYGNBQB0182,1
SYGNBQB0183,1
SYGNBQB0184,1
SYGNBQB0185,1
SYGNBQB0186,1
SYGNBQB0187,1
SYGNBQB0188,1
SYGNBQB0189,1
SYGNBQB0190,1
SYGNBQB0191,1
SYGNBQB0192,1
SYGNBQB0193,1
SYGNBQB0194,1
SYGNBQB0195,1
SYGNBQB0196,1
SYGNBQB0197,1
SYGNBQB0198,1
SYGNBQB0199,1
SYGNBQB0200,1
SYGNBQB0201,1
SYGNBQB0202,1
SYGNBQB0203,1
SYGNBQB0204,1
SYGNBQB0205,1
SYGNBQB0206,1
SYGNBQB0207,1
SYGNBQB0208,1
SYGNBQB0209,1
SYGNBQB0210,1
