store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,url_key,battery_power,display_resolution,warrenty,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,mobile_4g,laptop_remark,weight,status,visibility,tax_class_id,ebizmarts_mark_visited,brands,processor,display_size,storage_capacity,sim_type,camera,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,mapped_status,product_category_type,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,product_name,product_type_id,price
admin,base,Mobiles,simple,"4,144",OPMBNTFB0562,"HTC Desire 826 (White , 16 GB) (B Grade)",/h/t/htc_desire_826_dual_16gb_white.png,/h/t/htc_desire_826_dual_16gb_white.png,/h/t/htc_desire_826_dual_16gb_white.png,"/HTC-Desire-826-White2.jpg,/HTC-Desire-826-White3.jpg,/HTC-Desire-826-White4.jpg",htc-desire-826-white-16-gb-b-grade,,1920 x 1080 Pixels ,6 Months Warranty.,Desire 826,0.2,Nano SIM,13 Megapixel,"Yes, Full HD",,Yes,,,Email,Yes,Yes,Yes,,3.5 mm,Android,,No,"Yes, 802.11 a/b/g/n",,Yes,"21 hrs (2G), 18 hrs (3G)","21 hrs (2G), 18 hrs (3G)","GSM - 850, 900, 1800, 1900; WCDMA - 2100; 4G: LTE (FDD) - Band 1, Band 3, Band 7, Band 8, LTE (TDD) - Band 38, Band 39, Band 40, Band 41","Handset, Battery, AC Adapter, USB Sync Cable, Headset, Safety and Regulatory Guide, Quick Start Guide, Limited Warranty Statement, Customer Care Card",77.5 x 158 x 7.99 mm,White,"Yes, v4.1","Magnetic Sensor, Accelerometer, Proximity Sensor, Compass Sensor, Ambient Light Sensor",2 GB,2600 mAh,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,HTC,1.7 GHz + 1 GHz Qualcomm Snapdragon 615 Octa Core Processor,13.97 cm (5.5 Inches),,"Dual, GSM + GSM",,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, GSM + GSM</li><li>13 Megapixel</li><li>5.5 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, GSM + GSM</li><li>13 Megapixel</li><li>5.5 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, GSM + GSM</li><li>13 Megapixel</li><li>5.5 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,"HTC Desire 826 (White , 16 GB) (B Grade)",simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0625, Asus Zenfone 2 Laser  (Black 16 GB) (B Grade),/a/s/asus-zenfone-2-laser-ze550kl-red1.jpg,/a/s/asus-zenfone-2-laser-ze550kl-red1.jpg,/a/s/asus-zenfone-2-laser-ze550kl-red1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",asus-zenfone-2-laser-black-16-gb-b-grade,,,6 Months Warranty., Zenfone 2 Laser ZE550KL,0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,Black,Yes,"Accelerometer, eCompass, Proximity Sensor, Ambient Light Sensor, Hall Sensor",2 GB,3000 mAh,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Asus,"1.2 GHz, Quad Core",13.97 cm (5.5 Inches),,"Dual, LTE + LTE",,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.5 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.5 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0, Asus Zenfone 2 Laser  (Black 16 GB) (B Grade),simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0298,LENOVO A2010 8GB (White) (B Grade),/l/e/lenovo-a2010-white1.jpg,/l/e/lenovo-a2010-white1.jpg,/l/e/lenovo-a2010-white1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",lenovo-a2010-8gb-white-b-grade,,,6 Months Warranty.,A2010,0.2,Micro Sim,2.0 Megapixel,Yes,,Yes,,16 M,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,White,Yes,Gravitation Sensor,1 GB,2000 mAh,Yes,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Lenovo,"1 GHz,Â Quad Core",11.43 cm (4.5 Inches),,,,5.0 Megapixel,8 GB,Smartphone,FWVGA,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, GSM + LTE</li><li>5.0 Megapixel</li><li>2.0 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>","<ul><li>Dual, GSM + LTE</li><li>5.0 Megapixel</li><li>2.0 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>","<ul><li>Dual, GSM + LTE</li><li>5.0 Megapixel</li><li>2.0 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,LENOVO A2010 8GB (White) (B Grade),simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0250,MOTOROLA Turbo Edition (XT 1557) 16GB Black (B Grade),/m/o/moto-g-turbo-edition-white-16gb-1.jpg,/m/o/moto-g-turbo-edition-white-16gb-1.jpg,/m/o/moto-g-turbo-edition-white-16gb-1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",motorola-turbo-edition-xt-1557-16gb-black-b-grade,,,6 Months Warranty.,Moto G Turbo Edition,0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,White,Yes,,2 GB,2470 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,"1.5 Ghz, Octa Core",12.7 cm (5.0 Inches),,,,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,MOTOROLA Turbo Edition (XT 1557) 16GB Black (B Grade),simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0087,"Asus Zenfone 2 Laser ZE550ML (Black, 16 GB) (B Grade)",/a/s/asus-zenfone-2-ze551ml-32gb-black1.jpg,/a/s/asus-zenfone-2-ze551ml-32gb-black1.jpg,/a/s/asus-zenfone-2-ze551ml-32gb-black1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",asus-zenfone-2-ze551ml-black-16-gb-b-grade,,,6 Months Warranty.,Zenfone 2 ZE550ML,0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Black,Yes,,2 GB,3000 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Asus,"1.8, Quad Core",13.97 cm (5.5 Inches),,"Dual, GSM + LTE",,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,"Asus Zenfone 2 Laser ZE550ML (Black, 16 GB) (B Grade)",simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0192,"Moto X Play  (White, 16 GB) (B Grade)",/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",moto-x-play-white-16-gb-b-grade,,,6 Months Warranty.,Moto X Play(With Turbo Charger),0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,White,Yes,,2 GB,3630 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,"1.7 GHz, Octa Core",13.97 cm (5.5 Inches),,,,2 Megapixel,32 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,"Moto X Play  (White, 16 GB) (B Grade)",simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0154,MOTO G (3RD GENERATION) XT1550 (Black 16GB) (B Grade),/m/o/moto-g-3rd-generation-black-16gb-1_4.jpg,/m/o/moto-g-3rd-generation-black-16gb-1_4.jpg,/m/o/moto-g-3rd-generation-black-16gb-1_4.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",moto-g-3rd-generation-xt1550-black-16gb-b-grade,,,6 Months Warranty.,Moto G (3rd Generation),0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Black,Yes,,,2470 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,"1.4 GHz, Quad Core",12.7 cm (5.0 Inches),,,,13 Megapixel,,Smartphone,,6 Months Warranty.,Dual sim,,Yes,OPENMOBNTF,"<ul><li>Dual, GSM + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li></ul>","<ul><li>Dual, GSM + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li></ul>","<ul><li>Dual, GSM + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li></ul>",0,0,1,0,0,1,1,1,0,1,0,MOTO G (3RD GENERATION) XT1550 (Black 16GB) (B Grade),simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0113,MOTOROLA G (XT 1068)(2nd Gen) 16GB Black (B Grade),/m/o/moto-g-2nd-generation-black-16gb-1.jpg,/m/o/moto-g-2nd-generation-black-16gb-1.jpg,/m/o/moto-g-2nd-generation-black-16gb-1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",motorola-g-xt-1068-2nd-gen-16gb-black-b-grade,,,6 Months Warranty.,Moto G (2nd Generation),0.2,,2.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Black,Yes,,1 GB,2470 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,1.2 MHz,12.7 cm (5.0 Inches),,,,8 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,MOTOROLA G (XT 1068)(2nd Gen) 16GB Black (B Grade),simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0218,"Moto X Play (Black, 16 GB) (B Grade)",/m/o/moto-x-play-black-32gb-1_3.jpg,/m/o/moto-x-play-black-32gb-1_3.jpg,/m/o/moto-x-play-black-32gb-1_3.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",moto-x-play-black-16-gb-b-grade,,,6 Months Warranty.,Moto X Play,0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Black,Yes,,2 GB,3630 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,"1.7 GHz, Octa Core",13.97 cm (5.5 Inches),,,,21 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, LTE + LTE</li><li>21 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>21 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>21 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>16 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,"Moto X Play (Black, 16 GB) (B Grade)",simple,0
admin,base,Mobiles,simple,"4,144",OPMBNTFB0469,"Moto X Play (White, 32 GB) (B Grade)",/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",moto-x-play-white-32-gb-b-grade,,,6 Months Warranty.,Moto X Play(With Turbo Charger),0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,White,Yes,,2 GB,3630 mAh,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,0.2,Disabled,"Catalog, Search",GST12,No,Motorola,"1.7 GHz, Octa Core",13.97 cm (5.5 Inches),,,,21 Megapixel,32 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),Yes,OPENMOBNTF,"<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,"Moto X Play (White, 32 GB) (B Grade)",simple,0
