sku,product_category_type
OPMBNTFB0083,OPMOBNTF-B
OPMBNTFB0086,OPMOBNTF-B
OPMBNTFB0113,OPMOBNTF-B
OPMBNTFB0123,OPMOBNTF-B
OPMBNTFB0130,OPMOBNTF-B
OPMBNTFB0146,OPMOBNTF-B
OPMBNTFB0154,OPMOBNTF-B
OPMBNTFB0173,OPMOBNTF-B
OPMBNTFB0196,OPMOBNTF-B
OPMBNTFB0204,OPMOBNTF-B
OPMBNTFB0216,OPMOBNTF-B
OPMBNTFB0221,OPMOBNTF-B
OPMBNTFB0245,OPMOBNTF-B
OPMBNTFB0246,OPMOBNTF-B
OPMBNTFB0250,OPMOBNTF-B
OPMBNTFB0257,OPMOBNTF-B
OPMBNTFB0265,OPMOBNTF-B
OPMBNTFB0269,OPMOBNTF-B
OPMBNTFB0306,OPMOBNTF-B
OPMBNTFB0311,OPMOBNTF-B
OPMBNTFB0322,OPMOBNTF-B
OPMBNTFB0363,OPMOBNTF-B
OPMBNTFB0365,OPMOBNTF-B
OPMBNTFB0419,OPMOBNTF-B
OPMBNTFB0428,OPMOBNTF-B
OPMBNTFB0438,OPMOBNTF-B
OPMBNTFB0466,OPMOBNTF-B
OPMBNTFB0468,OPMOBNTF-B
OPMBNTFB0472,OPMOBNTF-B
OPMBNTFB0482,OPMOBNTF-B
OPMBNTFB0489,OPMOBNTF-B
OPMBNTFB0496,OPMOBNTF-B
OPMBNTFB0497,OPMOBNTF-B
OPMBNTFB0499,OPMOBNTF-B
OPMBNTFB0500,OPMOBNTF-B
OPMBNTFB0504,OPMOBNTF-B
OPMBNTFB0566,OPMOBNTF-B
OPMBNTFB0594,OPMOBNTF-B
OPMBNTFB0598,OPMOBNTF-B
OPMBNTFB0613,OPMOBNTF-B
OPMBNTFB0625,OPMOBNTF-B
OPMBNTFB0632,OPMOBNTF-B
OPMBNTFB0643,OPMOBNTF-B
OPMBNTFB0650,OPMOBNTF-B
OPMBNTFB0654,OPMOBNTF-B
OPMBNTFB0670,OPMOBNTF-B
OPMBNTFB0671,OPMOBNTF-B
OPMBNTFB0677,OPMOBNTF-B
OPMBNTFB0678,OPMOBNTF-B
OPMBNTFB0688,OPMOBNTF-B
OPMBNTFB0692,OPMOBNTF-B
OPMBNTFB0693,OPMOBNTF-B
OPMBNTFB0694,OPMOBNTF-B
OPMBNTFB0698,OPMOBNTF-B
OPMBNTFB0704,OPMOBNTF-B
OPMBNTFB0462,OPMOBNTF-B
OPMBNTFB0562,OPMOBNTF-B
OPMBNTFB0124,OPMOBNTF-B
OPMBNTFB0218,OPMOBNTF-B
OPMBNTFB0469,OPMOBNTF-B
OPMBNTFB0194,OPMOBNTF-B
OPMBNTFB0155,OPMOBNTF-B
OPMBNTFB0120,OPMOBNTF-B
OPMBNTFB0073,OPMOBNTF-B
OPMBNTFB0107,OPMOBNTF-B
OPMBNTFB0266,OPMOBNTF-B
OPMBNTFB0493,OPMOBNTF-B
OPMBNTFB0310,OPMOBNTF-B
OPMBNTFB0626,OPMOBNTF-B
OPMBNTFB0488,OPMOBNTF-B
OPMBNTFB0353,OPMOBNTF-B
OPMBNTFB0302,OPMOBNTF-B
OPMBNTFB0319,OPMOBNTF-B
OPMBNTFB0249,OPMOBNTF-B
OPMBNTFB0352,OPMOBNTF-B
OPMBNTFB0256,OPMOBNTF-B
OPMBNTFB0596,OPMOBNTF-B
OPMBNTFB0096,OPMOBNTF-B
OPMBNTFB0087,OPMOBNTF-B
OPMBNTFB0298,OPMOBNTF-B
OPMBNTFB0516,OPMOBNTF-B
OPMBNTFB0089,OPMOBNTF-B
OPMBNTFB0219,OPMOBNTF-B
OPMBNTFB0608,OPMOBNTF-B
OPMBNTFB0622,OPMOBNTF-B
OPMBNTFB0304,OPMOBNTF-B
OPMBNTFB0164,OPMOBNTF-B
OPMBNTFB0187,OPMOBNTF-B
OPMBNTFB0140,OPMOBNTF-B
OPMBNTFB0192,OPMOBNTF-B
OPMBNTFB0063,OPMOBNTF-B
OPMBNTFB0604,OPMOBNTF-B
OPMBNTFB0121,OPMOBNTF-B
OPMBNTFB0327,OPMOBNTF-B
OPMBNTFB0128,OPMOBNTF-B
OPMBNTFB0168,OPMOBNTF-B
OPMBNTFB0282,OPMOBNTF-B
OPMBNTFB0474,OPMOBNTF-B
OPMBNTFB0240,OPMOBNTF-B
OPMBNTFB0470,OPMOBNTF-B
OPMBNTFB0127,OPMOBNTF-B
OPMBNTFB0241,OPMOBNTF-B
OPMBNTFB0446,OPMOBNTF-B
OPMBNTFB0301,OPMOBNTF-B
OPMBNTFB0328,OPMOBNTF-B
OPMBNTFB0283,OPMOBNTF-B
OPMBNTFB0401,OPMOBNTF-B
OPMBNTFB0417,OPMOBNTF-B
OPMBNTFB0188,OPMOBNTF-B
OPMBNTFB0290,OPMOBNTF-B
