sku,status
OPMBNTFB0083,2
OPMBNTFB0086,2
OPMBNTFB0113,2
OPMBNTFB0123,2
OPMBNTFB0130,2
OPMBNTFB0146,2
OPMBNTFB0154,2
OPMBNTFB0173,2
OPMBNTFB0196,2
OPMBNTFB0204,2
OPMBNTFB0216,2
OPMBNTFB0221,2
OPMBNTFB0245,2
OPMBNTFB0246,2
OPMBNTFB0250,2
OPMBNTFB0257,2
OPMBNTFB0265,2
OPMBNTFB0269,2
OPMBNTFB0306,2
OPMBNTFB0311,2
OPMBNTFB0322,2
OPMBNTFB0363,2
OPMBNTFB0365,2
OPMBNTFB0419,2
OPMBNTFB0428,2
OPMBNTFB0438,2
OPMBNTFB0466,2
OPMBNTFB0468,2
OPMBNTFB0472,2
OPMBNTFB0482,2
OPMBNTFB0489,2
OPMBNTFB0496,2
OPMBNTFB0497,2
OPMBNTFB0499,2
OPMBNTFB0500,2
OPMBNTFB0504,2
OPMBNTFB0566,2
OPMBNTFB0594,2
OPMBNTFB0598,2
OPMBNTFB0613,2
OPMBNTFB0625,2
OPMBNTFB0632,2
OPMBNTFB0643,2
OPMBNTFB0650,2
OPMBNTFB0654,2
OPMBNTFB0670,2
OPMBNTFB0671,2
OPMBNTFB0677,2
OPMBNTFB0678,2
OPMBNTFB0688,2
OPMBNTFB0692,2
OPMBNTFB0693,2
OPMBNTFB0694,2
OPMBNTFB0698,2
OPMBNTFB0704,2
OPMBNTFB0462,2
OPMBNTFB0562,2
OPMBNTFB0124,2
OPMBNTFB0218,2
OPMBNTFB0469,2
OPMBNTFB0194,2
OPMBNTFB0155,2
OPMBNTFB0120,2
OPMBNTFB0073,2
OPMBNTFB0107,2
OPMBNTFB0266,2
OPMBNTFB0493,2
OPMBNTFB0310,2
OPMBNTFB0626,2
OPMBNTFB0488,2
OPMBNTFB0353,2
OPMBNTFB0302,2
OPMBNTFB0319,2
OPMBNTFB0249,2
OPMBNTFB0352,2
OPMBNTFB0256,2
OPMBNTFB0596,2
OPMBNTFB0096,2
OPMBNTFB0087,2
OPMBNTFB0298,2
OPMBNTFB0516,2
OPMBNTFB0089,2
OPMBNTFB0219,2
OPMBNTFB0608,2
OPMBNTFB0622,2
OPMBNTFB0304,2
OPMBNTFB0164,2
OPMBNTFB0187,2
OPMBNTFB0140,2
OPMBNTFB0192,2
OPMBNTFB0063,2
OPMBNTFB0604,2
OPMBNTFB0121,2
OPMBNTFB0327,2
OPMBNTFB0128,2
OPMBNTFB0168,2
OPMBNTFB0282,2
OPMBNTFB0474,2
OPMBNTFB0240,2
OPMBNTFB0470,2
OPMBNTFB0127,2
OPMBNTFB0241,2
OPMBNTFB0446,2
OPMBNTFB0301,2
OPMBNTFB0328,2
OPMBNTFB0283,2
OPMBNTFB0401,2
OPMBNTFB0417,2
OPMBNTFB0188,2
OPMBNTFB0290,2
