sku,status
OPMBNTF0130,2
OPMBNTF0198,2
OPMBNTF0240,2
OPMBNTF0242,2
OPMBNTF0243,2
OPMBNTF0244,2
OPMBNTF0246,2
OPMBNTF0249,2
OPMBNTF0265,2
OPMBNTF0266,2
OPMBNTF0281,2
OPMBNTF0282,2
OPMBNTF0284,2
OPMBNTF0286,2
OPMBNTF0291,2
OPMBNTF0292,2
OPMBNTF0302,2
OPMBNTF0307,2
OPMBNTF0309,2
OPMBNTF0315,2
OPMBNTF0324,2
OPMBNTF0327,2
OPMBNTF0331,2
OPMBNTF0347,2
OPMBNTF0348,2
OPMBNTF0362,2
OPMBNTF0376,2
OPMBNTF0377,2
OPMBNTF0407,2
OPMBNTF0410,2
OPMBNTF0420,2
OPMBNTF0423,2
OPMBNTF0440,2
OPMBNTF0442,2
OPMBNTF0466,2
OPMBNTF0476,2
OPMBNTF0478,2
OPMBNTF0485,2
OPMBNTF0486,2
OPMBNTF0511,2
OPMBNTF0532,2
OPMBNTF0535,2
OPMBNTF0545,2
OPMBNTF0552,2
OPMBNTF0564,2
OPMBNTF0571,2
OPMBNTF0584,2
OPMBNTF0588,2
OPMBNTF0595,2
OPMBNTF0600,2
OPMBNTF0606,2
OPMBNTF0608,2
OPMBNTF0610,2
OPMBNTF0611,2
OPMBNTF0616,2
OPMBNTF0621,2
OPMBNTF0626,2
OPMBNTF0685,2
OPMBNTF0689,2
OPMBNTF0697,2
OPMBNTF0703,2
OPMBNTF0712,2
OPMBNTF0714,2
OPMBNTF0715,2
OPMBNTF0716,2
OPMBNTF0720,2
OPMBNTF0763,2
