sku,qty
ASMBA000004,5
ASMBA000006,3
ASMBA000007,23
ASMBA000014,5
ASMBA000015,134
ASMBA000016,1
ASMBA000021,52
ASMBA000026,83
ASMBA000029,40
ASMBA000031,42
ASMBA000034,35
ASMBA000036,334
ASMBA000040,47
GF-UC-31-WHITE,565
GF-UC-3-ROSEGOLD,3
GF-UC-3-SILVER,576
LK-B060-WHITE,34
MI BAND,65
NEWMOB00009,2
NEWMOB00010,2
NEWMOB00011,7
NEWMOB00012,1
NEWMOB00013,1
NEWMOB00015,5
NEWMOB00016,3
NEWMOB00017,3
NEWMOB00018,8
NEWMOB00023,3
NEWMOB00024,12
NEWMOB00025,9
NEWMOB00028,5
NEWMOB00035,9
NEWMOB00036,15
NEWMOB00038,8
NEWMOB00039,2
NEWMOB00040,2
NEWMOB00042,1
NEWMOB00044,15
NEWMOB00045,17
NEWMOB00046,17
NEWMOB00047,19
NEWMOB00053,3
NEWMOB00054,14
NEWMOB00060,10
NEWMOB00061,33
NEWMOB00065,4
NEWMOB00068,3
NEWMOB00069,5
NEWMOB00070,5
NEWMOB00071,1
NEWMOB00073,6
NEWMOB00074,20
NEWMOB00075,12
NEWMOB00087,1
NEWMOB00088,5
NEWMOB00089,8
NEWMOB00092,22
NEWMOB00099,1
NEWMOB00103,1
NEWMOB00108,7
NEWMOB00116,1
NEWMOB00119,7
NEWMOB00121,7
NEWMOB00137,15
NEWMOB00151,2
NEWMOB00159,1
NEWMOB00172,1
NEWMOB00174,2
NEWMOB00175,3
NEWMOB00176,1
NEWMOB00180,12
NEWMOB00182,9
NEWMOB00187,5
NEWMOB00205,16
NEWMOB00206,11
NEWMOB00226,12
NEWMOB00228,5
NEWMOB00231,26
NEWMOB00249,1
NEWMOB00252,9
NEWMOB00253,4
NEWMOB00255,6
NEWMOB00256,2
NEWMOB00264,5
NEWMOB00282,2
NEWMOB00283,6
NEWMOB00284,4
NEWMOB00289,11
NEWMOB00296,1
NEWMOB00298,28
NEWMOB00301,3
NEWMOB00314,11
NEWMOB00319,34
NEWMOB00323,2
NEWMOB00325,5
NEWMOB00332,13
NEWMOB00333,7
NEWMOB00334,12
NEWMOB00337,23
NEWMOB00340,6
NEWMOB00348,1
NEWMOB00350,25
NEWMOB00351,7
NEWMOB00358,15
NEWMOB00359,19
NEWMOB00362,16
NEWMOB00363,3
NEWMOB00364,26
NEWMOB00365,7
NEWMOB00368,9
NEWMOB00370,8
NEWMOB00376,55
NEWMOB00379,7
NEWMOB00381,99
NEWMOB00383,3
NEWMOB00384,14
NEWMOB00386,10
NEWMOB00388,2
NEWMOB00389,4
NEWMOB00391,9
NEWMOB00396,23
NEWMOB00413,4
NEWMOB00415,5
NEWMOB00416,6
NEWMOB00417,3
NEWMOB00418,3
NEWMOB00419,3
NEWMOB00421,5
NEWMOB00424,54
NEWMOB00425,39
NEWMOB00428,19
NEWNBK00024,2
NEWNBK00025,1
NEWNBK00026,3
NEWNBK00027,1
NEWNBK00028,1
NEWNBK00031,2
NEWNBK00032,1
NEWNBK00042,1
NEWNBK00044,1
NEWNBK00050,1
NEWNBK00052,1
NEWNBK00053,1
NEWNBK00136,2
