store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001539,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG-71211W(Core I3 M380 2.53GHz/3GB/500GB 15.6"")C608QQV6",15 Days Testing Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71211W(Core I3 M380 2.53GHz/3GB/500GB 15.6"")C608QQV6",simple,15 Days Testing Warranty.,No,No,11.1V--3500mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001540,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-Insp N5010(Core I3 M330 2.13GHz/2GB/500GB 15.6"")1B1X5BS",15 Days Testing Warranty.,Insp N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N5010(Core I3 M330 2.13GHz/2GB/500GB 15.6"")1B1X5BS",simple,15 Days Testing Warranty.,No,No,11.1V--4400MAH,Black
admin,base,Laptops,simple,"3,11",QCNBB001541,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-PCG-71211W(Core i3 M380 2.53GHz/3GB/320GB 15.6"")C607LQ74",15 Days Testing Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71211W(Core i3 M380 2.53GHz/3GB/320GB 15.6"")C607LQ74",simple,15 Days Testing Warranty.,No,No,10.8V--3500MAH,Grey 
admin,base,Laptops,simple,"3,11",QCNBB001542,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-INSP N5010(Core I3 M370 2.40GHz/4GB/500GB 15.6"")9YD8XM1",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010(Core I3 M370 2.40GHz/4GB/500GB 15.6"")9YD8XM1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,Grey
admin,base,Laptops,simple,"3,11",QCNBB001543,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,"Dell-INSP N5050(Core I5 2450M 2.50GHz/4GB/500GB 15.6"")FFYPKT1",15 Days Testing Warranty.,INSP N5050,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5050(Core I5 2450M 2.50GHz/4GB/500GB 15.6"")FFYPKT1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001544,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,"Dell-INSP 5421(Core I5 3337U 1.80GHz/8GB/500GB 14.0"")2KQ1lw1",15 Days Testing Warranty.,INSP 5421,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 5421(Core I5 3337U 1.80GHz/8GB/500GB 14.0"")2KQ1lw1",simple,15 Days Testing Warranty.,No,No,11.1V--65Wh,Grey
admin,base,Laptops,simple,"3,11",QCNBB001545,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,Core i5,QCNBK-B,"HP-Probook 4430S(Core I5 2450M 2.50GHz/6GB/500GB 14.0"")INA216T4K5",15 Days Testing Warranty.,Probook 4430S,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Probook 4430S(Core I5 2450M 2.50GHz/6GB/500GB 14.0"")INA216T4K5",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,Grey
admin,base,Laptops,simple,"3,11",QCNBB001546,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,Dell-N4010(CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'')F8PQBN1,15 Days Testing Warranty.,N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-N4010(CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'')F8PQBN1,simple,15 Days Testing Warranty.,No,No,11.1V ---4000MAH,Brown
admin,base,Laptops,simple,"3,11",QCNBB001547,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,"Dell-Insp N5110(Core I5 2450M 2.50Ghz/6GB/500GB 15.6"")8RL38R1",15 Days Testing Warranty.,Insp N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N5110(Core I5 2450M 2.50Ghz/6GB/500GB 15.6"")8RL38R1",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,White
admin,base,Laptops,simple,"3,11",QCNBB001548,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i3,QCNBK-B,Dell-Insp N5010(CORE I3-M350 / 2.27GHZ / 3GB / 320GB 15.6'')JZMP6BS,15 Days Testing Warranty.,Insp N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Insp N5010(CORE I3-M350 / 2.27GHZ / 3GB / 320GB 15.6'')JZMP6BS,simple,15 Days Testing Warranty.,No,No,11.1V --56WH,Blue
