sku,qty
OPMBNTFB0001,1
OPMBNTFB0002,11
OPMBNTFB0003,6
OPMBNTFB0004,48
OPMBNTFB0005,9
OPMBNTFB0007,1
OPMBNTFB0008,1
OPMBNTFB0009,7
OPMBNTFB0010,1
OPMBNTFB0011,1
OPMBNTFB0013,5
OPMBNTFB0014,2
OPMBNTFB0015,7
OPMBNTFB0016,7
OPMBNTFB0017,764
OPMBNTFB0018,151
OPMBNTFB0020,171
OPMBNTFB0021,273
OPMBNTFB0022,14
OPMBNTFB0023,591
OPMBNTFB0024,4
OPMBNTFB0025,3
OPMBNTFB0026,63
OPMBNTFB0027,6
OPMBNTFB0028,193
OPMBNTFB0029,89
OPMBNTFB0030,13
OPMBNTFB0031,23
OPMBNTFB0032,5
OPMBNTFB0033,5
OPMBNTFB0034,4
OPMBNTFB0036,16
OPMBNTFB0037,68
OPMBNTFB0038,107
OPMBNTFB0039,20
OPMBNTFB0042,5
OPMBNTFB0045,26
OPMBNTFB0046,21
OPMBNTFB0047,11
OPMBNTFB0048,3
OPMBNTFB0050,10
OPMBNTFB0051,2
OPMBNTFB0052,11
OPMBNTFB0053,2
OPMBNTFB0055,1
OPMBNTFB0057,6
OPMBNTFB0059,10
OPMBNTFB0061,3
OPMBNTFB0062,1
OPMBNTFB0063,6
OPMBNTFB0064,5
OPMBNTFB0065,1
OPMBNTFB0066,25
OPMBNTFB0067,3
OPMBNTFB0068,3
OPMBNTFB0069,5
OPMBNTFB0073,3
OPMBNTFB0074,4
OPMBNTFB0075,8
OPMBNTFB0077,1
OPMBNTFB0078,3
OPMBNTFB0080,2
OPMBNTFB0081,18
OPMBNTFB0083,6
OPMBNTFB0084,6
OPMBNTFB0086,6
OPMBNTFB0087,4
OPMBNTFB0088,1
OPMBNTFB0089,8
OPMBNTFB0093,64
OPMBNTFB0094,1
OPMBNTFB0096,1
OPMBNTFB0097,2
OPMBNTFB0098,2
OPMBNTFB0099,4
OPMBNTFB0104,2
OPMBNTFB0106,1
OPMBNTFB0107,6
OPMBNTFB0113,2
OPMBNTFB0118,3
OPMBNTFB0119,1
OPMBNTFB0120,1
OPMBNTFB0121,1
OPMBNTFB0123,5
OPMBNTFB0124,1
OPMBNTFB0125,6
OPMBNTFB0126,8
OPMBNTFB0127,1
OPMBNTFB0128,1
OPMBNTFB0130,1
OPMBNTFB0132,6
OPMBNTFB0133,2
OPMBNTFB0140,2
OPMBNTFB0142,3
OPMBNTFB0146,2
OPMBNTFB0151,3
OPMBNTFB0154,8
OPMBNTFB0155,1
OPMBNTFB0164,4
OPMBNTFB0165,2
OPMBNTFB0167,1
OPMBNTFB0168,1
OPMBNTFB0181,1
OPMBNTFB0182,1
OPMBNTFB0183,7
OPMBNTFB0185,1
OPMBNTFB0186,4
OPMBNTFB0187,1
OPMBNTFB0188,1
OPMBNTFB0189,5
OPMBNTFB0192,5
OPMBNTFB0194,1
OPMBNTFB0196,2
OPMBNTFB0202,1
OPMBNTFB0204,2
OPMBNTFB0206,2
OPMBNTFB0214,3
OPMBNTFB0216,3
OPMBNTFB0218,4
OPMBNTFB0219,2
OPMBNTFB0222,1
OPMBNTFB0229,2
OPMBNTFB0238,2
OPMBNTFB0239,3
OPMBNTFB0240,1
OPMBNTFB0241,1
OPMBNTFB0244,3
OPMBNTFB0245,4
OPMBNTFB0246,1
OPMBNTFB0247,3
OPMBNTFB0248,1
OPMBNTFB0249,1
OPMBNTFB0250,6
OPMBNTFB0252,73
OPMBNTFB0253,3
OPMBNTFB0256,4
OPMBNTFB0257,2
OPMBNTFB0262,1
OPMBNTFB0265,1
OPMBNTFB0266,1
OPMBNTFB0268,8
OPMBNTFB0269,1
OPMBNTFB0270,1
OPMBNTFB0282,1
OPMBNTFB0283,2
OPMBNTFB0287,2
OPMBNTFB0290,1
OPMBNTFB0294,2
OPMBNTFB0295,2
OPMBNTFB0297,2
OPMBNTFB0298,1
OPMBNTFB0301,1
OPMBNTFB0302,1
OPMBNTFB0304,1
OPMBNTFB0305,4
OPMBNTFB0306,3
OPMBNTFB0307,1
OPMBNTFB0308,1
OPMBNTFB0310,1
OPMBNTFB0311,1
OPMBNTFB0319,1
OPMBNTFB0322,1
OPMBNTFB0323,1
OPMBNTFB0327,1
OPMBNTFB0328,1
OPMBNTFB0352,1
OPMBNTFB0353,1
OPMBNTFB0363,1
OPMBNTFB0365,1
OPMBNTFB0367,1
OPMBNTFB0401,1
OPMBNTFB0405,1
OPMBNTFB0411,1
