sku,price,status
OPMBNTFB0001,13035.71429,1
OPMBNTFB0007,15357.14286,1
OPMBNTFB0008,15669.64286,1
OPMBNTFB0010,20892.85714,1
OPMBNTFB0014,15669.64286,1
OPMBNTFB0015,30133.92857,1
OPMBNTFB0053,13125,1
OPMBNTFB0058,12857.14286,1
OPMBNTFB0068,18883.92857,1
OPMBNTFB0077,15267.85714,1
OPMBNTFB0107,18125,1
OPMBNTFB0115,14285.71429,1
OPMBNTFB0181,36160.71429,1
OPMBNTFB0185,10178.57143,1
OPMBNTFB0204,11339.28571,1
OPMBNTFB0216,8928.571429,1
OPMBNTFB0222,10089.28571,1
OPMBNTFB0252,12053.57143,1
OPMBNTFB0262,30133.92857,1
OPMBNTFB0270,29017.85714,1
OPMBNTFB0310,10089.28571,1
OPMBNTFB0311,10089.28571,1
OPMBNTFB0432,9821.428571,1
OPMBNTFB0493,12857.14286,1
OPMBNTFB0495,11696.42857,1
OPMBNTFB0578,18482.14286,1
OPMBNTFB0587,8961.428571,1
OPMBNTFB0594,16875,1
OPMBNTFB0606,11875,1
OPMBNTFB0632,9017.857143,1
OPMBNTFB0636,10446.42857,1
OPMBNTFB0649,10089.28571,1
OPMBNTFB0650,11696.42857,1
OPMBNTFB0652,14285.71429,1
OPMBNTFB0704,37410.71429,1
OPMBNTFB0714,38571.42857,1
OPMBNTFB0641,15357.14286,1
OPMBNTF0001,14508.93,1
OPMBNTF0003,9151.79,1
OPMBNTF0007,16964.29,1
OPMBNTF0016,7366.071429,1
OPMBNTF0017,7589.285714,1
OPMBNTF0018,7500,1
OPMBNTF0019,5580.357143,1
OPMBNTF0020,5133.928571,1
OPMBNTF0021,6250,1
OPMBNTF0022,6026.79,1
OPMBNTF0023,6696.428571,1
OPMBNTF0025,4642.86,1
OPMBNTF0027,9017.86,1
OPMBNTF0028,5803.571429,1
OPMBNTF0029,5803.571429,1
OPMBNTF0030,4732.14,1
OPMBNTF0031,625,1
OPMBNTF0032,4732.14,1
OPMBNTF0033,7678.57,1
OPMBNTF0034,6250,1
OPMBNTF0035,8303.571429,1
OPMBNTF0036,6383.93,1
OPMBNTF0037,5178.571429,1
OPMBNTF0038,5178.571429,1
OPMBNTF0041,6250,1
OPMBNTF0042,4642.86,1
OPMBNTF0043,11243.75,1
OPMBNTF0044,7857.14,1
OPMBNTF0045,7053.57,1
OPMBNTF0047,8214.29,1
OPMBNTF0048,6250,1
OPMBNTF0049,5892.86,1
OPMBNTF0050,5625,1
OPMBNTF0051,6250,1
OPMBNTF0052,3125,1
OPMBNTF0053,14508.93,1
OPMBNTF0055,6026.79,1
OPMBNTF0057,5803.57,1
OPMBNTF0058,14285.71,1
OPMBNTF0060,7589.285714,1
OPMBNTF0061,4642.86,1
OPMBNTF0062,6250,1
OPMBNTF0063,5133.93,1
OPMBNTF0064,4017.86,1
OPMBNTF0065,8839.29,1
OPMBNTF0066,8482.14,1
OPMBNTF0071,5982.14,1
OPMBNTF0078,3660.71,1
OPMBNTF0082,3100,1
OPMBNTF0083,3571.43,1
OPMBNTF0084,8035.71,1
OPMBNTF0085,5714.28,1
OPMBNTF0086,4464.285714,1
OPMBNTF0087,5312.5,1
OPMBNTF0088,5937.5,1
OPMBNTF0089,3125,1
OPMBNTF0093,5000,1
OPMBNTF0097,4285.71,1
OPMBNTF0098,4464.285714,1
OPMBNTF0099,7053.571429,1
OPMBNTF0103,3079.464286,1
OPMBNTF0107,20089.28571,1
OPMBNTF0112,3571.43,1
OPMBNTF0113,2590.18,1
OPMBNTF0114,13392.86,1
OPMBNTF0115,15848.21,1
OPMBNTF0118,2142.857143,1
OPMBNTF0119,4642.86,1
OPMBNTF0120,2356.25,1
OPMBNTF0123,2232.14,1
OPMBNTF0129,8214.29,1
OPMBNTF0130,8919.642857,1
OPMBNTF0132,3482.14,1
OPMBNTF0137,2500,1
OPMBNTF0138,7321.43,1
OPMBNTF0139,2678.57,1
OPMBNTF0140,6830.36,1
OPMBNTF0142,5580.36,1
OPMBNTF0143,4910.71,1
OPMBNTF0144,8200,1
OPMBNTF0145,4375,1
OPMBNTF0146,3571.43,1
OPMBNTF0149,23213.39,1
OPMBNTF0150,3570.54,1
OPMBNTF0151,6250,1
OPMBNTF0152,7321.43,1
OPMBNTF0153,8264.29,1
OPMBNTF0155,2232.14,1
OPMBNTF0159,4821.43,1
OPMBNTF0161,9821.43,1
OPMBNTF0162,7500,1
OPMBNTF0163,2232.142857,1
OPMBNTF0164,4017.86,1
OPMBNTF0166,4642.86,1
OPMBNTF0168,4464.29,1
OPMBNTF0169,12723.21,1
OPMBNTF0170,19866.07,1
OPMBNTF0176,6499.107143,1
OPMBNTF0177,3571.43,1
OPMBNTF0182,5714.29,1
OPMBNTF0184,11250,1
OPMBNTF0185,11250,1
OPMBNTF0187,3571.43,1
OPMBNTF0188,2008.93,1
OPMBNTF0191,2589.29,1
OPMBNTF0193,19866.07,1
OPMBNTF0194,2232.14,1
OPMBNTF0196,5357.142857,1
OPMBNTF0198,714.2857143,1
OPMBNTF0199,2477.68,1
OPMBNTF0201,10714.29,1
OPMBNTF0204,12589.28571,1
OPMBNTF0206,4174.11,1
OPMBNTF0207,7142.86,1
OPMBNTF0209,2142.86,1
OPMBNTF0210,8927.68,1
OPMBNTF0211,2231.25,1
OPMBNTF0212,4553.57,1
OPMBNTF0213,4464.29,1
OPMBNTF0215,6000,1
OPMBNTF0216,9821.43,1
OPMBNTF0218,5570.54,1
OPMBNTF0219,8482.14,1
OPMBNTF0220,7339.29,1
OPMBNTF0222,11160.71429,1
OPMBNTF0224,5625,1
OPMBNTF0226,4308.93,1
OPMBNTF0228,4463.39,1
OPMBNTF0232,25000,1
OPMBNTF0235,7142.86,1
OPMBNTF0236,11250,1
OPMBNTF0237,5803.57,1
OPMBNTF0238,2500,1
OPMBNTF0240,6250,1
OPMBNTF0241,2391.07,1
OPMBNTF0242,580.3571429,1
OPMBNTF0243,535.7142857,1
OPMBNTF0244,2232.142857,1
OPMBNTF0246,1785.714286,1
OPMBNTF0248,5178.57,1
OPMBNTF0249,4464.285714,1
OPMBNTF0250,5803.57,1
OPMBNTF0252,13392.85714,1
OPMBNTF0254,11008.93,1
OPMBNTF0255,10713.39,1
OPMBNTF0256,5133.93,1
OPMBNTF0257,8034.821429,1
OPMBNTF0260,11160.71429,1
OPMBNTF0263,5133.928571,1
OPMBNTF0264,16071.42857,1
OPMBNTF0265,982.1428571,1
OPMBNTF0266,1071.428571,1
OPMBNTF0268,3839.29,1
OPMBNTF0277,7500,1
OPMBNTF0279,5625,1
OPMBNTF0280,2589.285714,1
OPMBNTF0281,4285.714286,1
OPMBNTF0282,2232.142857,1
OPMBNTF0283,3571.43,1
OPMBNTF0284,598.2142857,1
OPMBNTF0285,1830.357143,1
OPMBNTF0286,892.8571429,1
OPMBNTF0289,625,1
OPMBNTF0290,3570.54,1
OPMBNTF0291,4196.428571,1
OPMBNTF0292,3571.428571,1
OPMBNTF0293,1071.428571,1
OPMBNTF0296,5178.57,1
OPMBNTF0298,2321.43,1
OPMBNTF0301,4017.86,1
OPMBNTF0302,5000,1
OPMBNTF0303,4196.428571,1
OPMBNTF0304,3875,1
OPMBNTF0306,8214.29,1
OPMBNTF0307,2321.428571,1
OPMBNTF0309,7142.857143,1
OPMBNTF0310,11160.71429,1
OPMBNTF0311,11160.71429,1
OPMBNTF0313,6964.285714,1
OPMBNTF0315,5625,1
OPMBNTF0316,19642.85714,1
OPMBNTF0319,1785.71,1
OPMBNTF0321,5803.571429,1
OPMBNTF0322,2678.57,1
OPMBNTF0324,5982.142857,1
OPMBNTF0327,2678.571429,1
OPMBNTF0331,8927.678571,1
OPMBNTF0347,803.5714286,1
OPMBNTF0348,446.4285714,1
OPMBNTF0349,5445.535714,1
OPMBNTF0354,7142.857143,1
OPMBNTF0355,6516.964286,1
OPMBNTF0362,11339.28571,1
OPMBNTF0367,7812.5,1
OPMBNTF0368,11250,1
OPMBNTF0371,7142.857143,1
OPMBNTF0375,8928.571429,1
OPMBNTF0376,357.1428571,1
OPMBNTF0377,357.1428571,1
OPMBNTF0379,1875,1
OPMBNTF0382,3125,1
OPMBNTF0383,3125,1
OPMBNTF0384,5669.642857,1
OPMBNTF0385,4375,1
OPMBNTF0389,714.2857143,1
OPMBNTF0390,3303.571429,1
OPMBNTF0391,1651.785714,1
OPMBNTF0392,625,1
OPMBNTF0393,714.2857143,1
OPMBNTF0394,535.7142857,1
OPMBNTF0395,1919.642857,1
OPMBNTF0396,535.7142857,1
OPMBNTF0398,1696.428571,1
OPMBNTF0400,982.1428571,1
OPMBNTF0402,669.6428571,1
OPMBNTF0403,758.9285714,1
OPMBNTF0407,4464.285714,1
OPMBNTF0408,2678.571429,1
OPMBNTF0409,4598.214286,1
OPMBNTF0410,2678.571429,1
OPMBNTF0411,2857.14,1
OPMBNTF0413,1785.714286,1
OPMBNTF0414,1785.714286,1
OPMBNTF0415,1785.714286,1
OPMBNTF0420,3928.571429,1
OPMBNTF0422,2098.21,1
OPMBNTF0423,3125,1
OPMBNTF0424,2410.714286,1
OPMBNTF0425,4017.857143,1
OPMBNTF0426,1428.571429,1
OPMBNTF0427,803.57,1
OPMBNTF0429,4464.285714,1
OPMBNTF0436,6250,1
OPMBNTF0440,6695.535714,1
OPMBNTF0442,5357.142857,1
OPMBNTF0445,1741.071429,1
OPMBNTF0447,5803.571429,1
OPMBNTF0449,2276.785714,1
OPMBNTF0452,625,1
OPMBNTF0453,535.7142857,1
OPMBNTF0454,669.6428571,1
OPMBNTF0456,535.7142857,1
OPMBNTF0458,4375,1
OPMBNTF0459,4017.857143,1
OPMBNTF0460,5357.142857,1
OPMBNTF0461,8392.857143,1
OPMBNTF0462,3125,1
OPMBNTF0463,4464.29,1
OPMBNTF0464,5357.142857,1
OPMBNTF0465,4732.14,1
OPMBNTF0466,7589.285714,1
OPMBNTF0467,7142.857143,1
OPMBNTF0468,7142.86,1
OPMBNTF0469,7142.86,1
OPMBNTF0472,7053.57,1
OPMBNTF0475,5982.142857,1
