sku,magmi:delete
Mobile1003,1
Mobile1006,1
Mobile1007,1
Mobile1008,1
Mobile1009,1
Mobile1010,1
Mobile1011,1
Mobile1012,1
Mobile1013,1
Mobile1014,1
Mobile1015,1
Mobile1016,1
Mobile1017,1
Mobile1018,1
Mobile1019,1
Mobile1020,1
Mobile1021,1
Mobile1022,1
Mobile1023,1
Mobile1024,1
Mobile1025,1
Mobile1026,1
Mobile1027,1
Mobile1028,1
Mobile1029,1
Mobile1031,1
Mobile1032,1
Mobile1033,1
Mobile1034,1
Mobile1035,1
Mobile1036,1
Mobile1037,1
Mobile1038,1
Mobile1039,1
Mobile1040,1
Mobile1041,1
Mobile1042,1
Mobile1073,1
Mobile1075,1
Mobile1079,1
Mobile1080,1
Mobile1081,1
Mobile1084,1
Mobile1085,1
Mobile1088,1
Mobile1089,1
Mobile1091,1
Mobile1044,1
Mobile1047,1
Mobile1049,1
Mobile1054,1
Mobile1068,1
Mobile1071,1
Laptops1167,1
Laptops1168,1
Laptops1169,1
Laptops1170,1
Laptops1171,1
Laptops1172,1
Laptops1173,1
Laptops1174,1
Laptops1175,1
Laptops1176,1
Laptops1177,1
Laptops1178,1
Laptops1179,1
Laptops1180,1
Laptops1181,1
Laptops1182,1
Laptops1183,1
Laptops1184,1
Laptops1185,1
Laptops1186,1
Laptops1187,1
Laptops1188,1
Laptops1189,1
Laptops1190,1
Laptops1191,1
Laptops1192,1
Laptops1193,1
Laptops1194,1
Laptops1195,1
Laptops1196,1
Laptops1197,1
Laptops1198,1
Laptops1199,1
Laptops1200,1
Laptops1201,1
Laptops1203,1
Laptops1204,1
Laptops1205,1
Laptops1206,1
Laptops1207,1
Laptops1208,1
Laptops1209,1
Laptops1210,1
Laptops1211,1
Laptops1212,1
Laptops1213,1
Laptops1214,1
Laptops1215,1
Laptops1216,1
Laptops1217,1
Laptops1218,1
Laptops1219,1
Laptops1221,1
Laptops1222,1
Laptops1223,1
Laptops1224,1
Laptops1225,1
Laptops1226,1
Laptops1227,1
Laptops1228,1
Laptops1231,1
Laptops1232,1
Laptops1233,1
Laptops1234,1
Laptops1235,1
Laptops1236,1
Laptops1238,1
Laptops1239,1
Laptops1240,1
Laptops1241,1
Laptops1242,1
Laptops1243,1
Laptops1244,1
Laptops1245,1
Laptops1246,1
Laptops1247,1
Laptops1248,1
Laptops1249,1
Laptops1250,1
Laptops1251,1
Laptops1252,1
Laptops1253,1
Laptops1254,1
Laptops1255,1
Mobile1255,1
Mobile1256,1
Mobile1257,1
Mobile1258,1
Mobile1259,1
Mobile1260,1
Mobile1261,1
Mobile1263,1
Mobile1264,1
Mobile1265,1
Mobile1266,1
Mobile1267,1
