store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,battery_power,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,sim_type,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,mapped_status,product_category_type
admin,base,Mobiles,simple,"4,97",ASMBA000094,SAMSUNG GALAXY GRAND DUOS (8GB) ASIS (NO RETURNS),/s/a/samsung-galaxy-grand-duos-_8gb_.jpg,/s/a/samsung-galaxy-grand-duos-_8gb_.jpg,/s/a/samsung-galaxy-grand-duos-_8gb_.jpg,"/samsung-galaxy-grand-duos-i9082-blue2.jpg,/samsung-galaxy-grand-duos-i9082-blue3.jpg,/samsung-galaxy-grand-duos-i9082-blue4.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,"Dual, GSM + GSM",<ul></ul>,<ul></ul>,"<ul><li>Dual, GSM + GSM</li><li>8.0 Megapixel</li><li>5 Inches</li><li>Android (Jelly Bean)</li><li>2100 mAh</li></ul>",0,0,SAMSUNG GALAXY GRAND DUOS (8GB) ASIS (NO RETURNS),simple,Galaxy Grand Duos,0.2,,2.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,,,Yes,,,,,,,Yes,,1 GB,2100 mAh,Yes,,,2,"1.2 Ghz, Dual Core",12.7 cm (5 Inches),,8.0 Megapixel,8 GB,Smartphone,TFT LCD,15 Days Testing Warranty.,Dual sim,Android (Jelly Bean),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000104,Apple:iPhone 4 (16GB) ASIS (NO RETURNS),/a/p/apple-iphone-4-_16gb_.jpg,/a/p/apple-iphone-4-_16gb_.jpg,/a/p/apple-iphone-4-_16gb_.jpg,"/apple-iphone-4-black2.jpg,/apple-iphone-4-black3.jpg,/apple-iphone-4-black4.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,"Single, GSM",<ul></ul>,<ul></ul>,"<ul><li>Single, GSM</li><li>5.0 Megapixel</li><li>3.5 Inches</li><li>iOS 4</li><li>Lithium-ion
</li></ul>",0,0,Apple:iPhone 4 (16GB) ASIS (NO RETURNS),simple,iPhone 4,0.2,,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,"Yes, v2.1",,512 MB,1420 mAh,,,,2,1GHz,8.89 cm (3.5 Inches),,5.0 Megapixel,16 GB,Smartphone,TFT,15 Days Testing Warranty.,Single sim,iOS 4,No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000103,SAMSUNG GALAXY S3 MINI (8GB) ASIS (NO RETURNS),/s/a/samsung-galaxy-s3-mini-_8gb_.jpg,/s/a/samsung-galaxy-s3-mini-_8gb_.jpg,/s/a/samsung-galaxy-s3-mini-_8gb_.jpg,"/Samsung-Galaxy-S3-Marble-White2.jpg,/Samsung-Galaxy-S3-Marble-White3.jpg,/Samsung-Galaxy-S3-Marble-White4.jpg,/Samsung-Galaxy-S3-Marble-White5.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,SAMSUNG GALAXY S3 MINI (8GB) ASIS (NO RETURNS),simple,Galaxy S3 Mini,0.2,,VGA,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,1500 mAh,Yes,,,2,"1 Cortex A9, Dual Core",10.16 cm (4.0 Inches),,5.0 Megapixel,8 GB,Smartphone,,15 Days Testing Warranty.,Single sim,Android (Jelly Bean),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000082,Apple:iPhone 4 (32GB) ASIS (NO RETURNS),/a/p/apple-iphone-4-black1_3_2_1.jpg,/a/p/apple-iphone-4-black1_3_2_1.jpg,/a/p/apple-iphone-4-black1_3_2_1.jpg,"/apple-iphone-4-black2.jpg,/apple-iphone-4-black3.jpg,/apple-iphone-4-black4.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,Apple:iPhone 4 (32GB) ASIS (NO RETURNS),simple,iPhone 4 16GB,0.2,,VGA,Yes,,Yes,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,Yes,,512 MB,1420 mAh,,,,2,1.0 GHz,8.89 cm (3.5 Inches),,5.0 Megapixel,32 GB,Smartphone,IPS LCD,15 Days Testing Warranty.,Single sim,iOS 4,No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000097,Apple:iPhone 5 (16GB) ASIS (NO RETURNS),/a/p/apple-iphone-5.jpg,/a/p/apple-iphone-5.jpg,/a/p/apple-iphone-5.jpg,"/Apple-iPhone-5s-Silver2.jpg,/Apple-iPhone-5s-Silver3.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,Apple:iPhone 5 (16GB) ASIS (NO RETURNS),simple,iPhone 5,0.2,,1.2 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,1440 mAh,,,,2,"1.3 Ghz, Dual Core",10.16 cm (4.0 Inches),,8.0 Megapixel,16 GB,Smartphone,IPS LCD,15 Days Testing Warranty.,Single sim,iOS 6,No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000096,SAMSUNG GALAXY CORE 2 (4GB) ASIS (NO RETURNS),/s/a/samsung-galaxy-core.jpg,/s/a/samsung-galaxy-core.jpg,/s/a/samsung-galaxy-core.jpg,"/Samsung-Galaxy-Core-2-SM-G355H-White2.jpg,/Samsung-Galaxy-Core-2-SM-G355H-White3.jpg,/Samsung-Galaxy-Core-2-SM-G355H-White4.jpg,/Samsung-Galaxy-Core-2-SM-G355H-White5.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,"Dual, GSM + GSM","<ul><li>Dual, GSM + GSM</li><li>5.0 Megapixel</li><li>4.5 Inches</li><li>Android (KitKat)</li></ul>","<ul><li>Dual, GSM + GSM</li><li>5.0 Megapixel</li><li>4.5 Inches</li><li>Android (KitKat)</li></ul>","<ul><li>Dual, GSM + GSM</li><li>5.0 Megapixel</li><li>4.5 Inches</li><li>Android (KitKat)</li></ul>",0,0,SAMSUNG GALAXY CORE 2 (4GB) ASIS (NO RETURNS),simple,Galaxy Core 2,0.2,,0.3 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes, Accelerometer,768 MB,2000 mAh,Yes,,,2,"1.2, Dual Core",11.43 cm (4.5 Inches),,5.0 Megapixel,4 GB,Smartphone,TFT capacitive touchscreen,15 Days Testing Warranty.,Dual sim,Android (KitKat),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000102,SAMSUNG GALAXY NOTE 3 (32GB) ASIS (NO RETURNS),/s/a/samsung-galaxy-note-3-jet-black.jpg,/s/a/samsung-galaxy-note-3-jet-black.jpg,/s/a/samsung-galaxy-note-3-jet-black.jpg,"/Samsung-Galaxy-Note-3-Neo-Black2.jpg,/Samsung-Galaxy-Note-3-Neo-Black3.jpg,/Samsung-Galaxy-Note-3-Neo-Black4.jpg,/Samsung-Galaxy-Note-3-Neo-Black5.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,SAMSUNG GALAXY NOTE 3 (32GB) ASIS (NO RETURNS),simple,Galaxy Note 3,0.2,,2.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,3 GB,3200 mAh,,,,2,"2.3 GHz, Quad Core",14.48 cm (5.7 Inches),,13 Megapixel,32 GB,Smartphone,Super AMOLED,15 Days Testing Warranty.,Single sim,Android (Jelly Bean),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000091,Samsung Galaxy Grand Prime (8 GB) ASIS (NO RETURNS),/s/a/samsung-galaxy-grand-prime.jpg,/s/a/samsung-galaxy-grand-prime.jpg,/s/a/samsung-galaxy-grand-prime.jpg,"/samsung-galaxy-grand-duos-i9082-blue2.jpg,/samsung-galaxy-grand-duos-i9082-blue3.jpg,/samsung-galaxy-grand-duos-i9082-blue4.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Galaxy Grand Prime (8 GB) ASIS (NO RETURNS),simple,Galaxy Grand Prime,0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,2600 mAh,Yes,,,2,"1.2 GHz, Quad Core",12.7 cm (5 Inches),,8.0 Megapixel,8 GB,Smartphone,TFT capacitive touchscreen,15 Days Testing Warranty.,Dual sim,Android (KitKat),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000101,Samsung Galaxy Y (B) ASIS (NO RETURNS),/s/a/samsung-galaxy-y.jpg,/s/a/samsung-galaxy-y.jpg,/s/a/samsung-galaxy-y.jpg,"/samsung-galaxy-y-s5360-black-2.jpg,/samsung-galaxy-y-s5360-black-3.jpg,/samsung-galaxy-y-s5360-black-4.jpg,/samsung-galaxy-y-s5360-black-5.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Samsung,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Galaxy Y (B) ASIS (NO RETURNS),simple,Galaxy Y,0.2,,No,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,,Yes,,290 MB,1200 mAh,Yes,,,2,830 MHz ARMv6,7.62 cm (3.0 Inches),,2.0 Megapixel,180 MB,Smartphone,TFT,15 Days Testing Warranty.,Single sim,Android (Gingerbread),No,ASISMOB-A
admin,base,Mobiles,simple,"4,97",ASMBA000090,XIAOMI REDMI 1S (8GB) ASIS (NO RETURNS),/x/i/xiaomi-redmi-1s.jpg,/x/i/xiaomi-redmi-1s.jpg,/x/i/xiaomi-redmi-1s.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,15 Days Testing Warranty,0.00,0.2,"Catalog, Search",GST0.24,Mi,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,XIAOMI REDMI 1S (8GB) ASIS (NO RETURNS),simple,Redmi 1S,0.2,,1.6 Megapixel,Yes,,Yes,,,,,,,,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,2000 mAh,Yes,,,2,Quad Core,11.94 cm (4.7 Inches),,8 Megapixel,8 GB,Smartphone,IPS LCD,15 Days Testing Warranty.,Dual sim,Android (Jelly Bean),No,ASISMOB-A
