sku,status
OPMBNTF0562,1
OPMBNTF0383,1
OPMBNTF0625,1
OPMBNTF0619,1
OPMBNTF0634,1
OPMBNTF0367,1
OPMBNTF0294,1
OPMBNTF0298,1
OPMBNTF0295,1
OPMBNTF0247,1
OPMBNTF0119,1
OPMBNTF0166,1
OPMBNTF0434,1
OPMBNTF0132,1
OPMBNTF0536,1
OPMBNTF0229,1
OPMBNTF0157,1
OPMBNTF0207,1
OPMBNTF0143,1
OPMBNTF0250,1
OPMBNTF0273,1
OPMBNTF0087,1
OPMBNTF0182,1
OPMBNTF0085,1
OPMBNTF0325,1
OPMBNTF0192,1
OPMBNTF0104,1
OPMBNTF0676,1
OPMBNTF0125,1
OPMBNTF0111,1
OPMBNTF0214,1
OPMBNTF0154,1
OPMBNTF0592,1
OPMBNTF0113,1
OPMBNTF0112,1
OPMBNTF0126,1
OPMBNTF0218,1
OPMBNTF0469,1
OPMBNTF0672,1
OPMBNTF0083,1
OPMBNTF0089,1
OPMBNTF0052,1
OPMBNTF0500,1
OPMBNTF0654,1
OPMBNTF0313,1
OPMBNTF0487,1
OPMBNTF0317,1
OPMBNTF0156,1
OPMBNTF0318,1
OPMBNTF0197,1
OPMBNTF0670,1
OPMBNTF0264,1
OPMBNTF0221,1
OPMBNTF0489,1
OPMBNTF0496,1
OPMBNTF0497,1
OPMBNTF0173,1
OPMBNTF0121,1
OPMBNTF0521,1
OPMBNTF0225,1
OPMBNTF0594,1
OPMBNTF0698,1
OPMBNTF0499,1
OPMBNTF0451,1
OPMBNTF0678,1
OPMBNTF0263,1
OPMBNTF0198,1
OPMBNTF0053,1
OPMBNTF0124,1
OPMBNTF0321,1
OPMBNTF0301,1
OPMBNTF0468,1
OPMBNTF0304,1
OPMBNTF0283,1
OPMBNTF0108,1
OPMBNTF0209,1
OPMBNTF0289,1
OPMBNTF0365,1
OPMBNTF0296,1
OPMBNTF0137,1
OPMBNTF0123,1
OPMBNTF0640,1
OPMBNTF0635,1
OPMBNTF0279,1
OPMBNTF0206,1
OPMBNTF0322,1
OPMBNTF0241,1
OPMBNTF0223,1
OPMBNTF0530,1
OPMBNTF0297,1
OPMBNTF0093,1
OPMBNTF0101,1
OPMBNTF0668,1
OPMBNTF0523,1
OPMBNTF0195,1
OPMBNTF0643,1
OPMBNTF0467,1
OPMBNTF0064,1
OPMBNTF0512,1
OPMBNTF0585,1
OPMBNTF0539,1
OPMBNTF0664,1
OPMBNTF0046,1
OPMBNTF0061,1
OPMBNTF0326,1
OPMBNTF0100,1
OPMBNTF0216,1
OPMBNTF0462,1
OPMBNTF0674,1
OPMBNTF0556,1
OPMBNTF0582,1
OPMBNTF0194,1
OPMBNTF0482,1
OPMBNTF0177,1
OPMBNTF0222,1
OPMBNTF0147,1
OPMBNTF0373,1
OPMBNTF0120,1
OPMBNTF0305,1
OPMBNTF0094,1
OPMBNTF0158,1
OPMBNTF0078,1
OPMBNTF0605,1
OPMBNTF0472,1
OPMBNTF0577,1
OPMBNTF0082,1
OPMBNTF0567,1
OPMBNTF0433,1
OPMBNTF0084,1
OPMBNTF0187,1
OPMBNTF0025,1
OPMBNTF0266,1
OPMBNTF0277,1
OPMBNTF0189,1
OPMBNTF0252,1
OPMBNTF0145,1
OPMBNTF0036,1
OPMBNTF0086,1
OPMBNTF0268,1
OPMBNTF0051,1
OPMBNTF0034,1
OPMBNTF0583,1
OPMBNTF0256,1
OPMBNTF0049,1
OPMBNTF0174,1
OPMBNTF0073,1
OPMBNTF0155,1
OPMBNTF0267,1
OPMBNTF0537,1
OPMBNTF0554,1
OPMBNTF0320,1
OPMBNTF0574,1
OPMBNTF0130,1
OPMBNTF0088,1
OPMBNTF0133,1
OPMBNTF0039,1
OPMBNTF0538,1
OPMBNTF0102,1
OPMBNTF0584,1
OPMBNTF0106,1
