sku,qty,status
OPMBNTF0007,0,1
OPMBNTF0008,1,1
OPMBNTF0018,346,1
OPMBNTF0022,0,1
OPMBNTF0025,2,1
OPMBNTF0027,5,1
OPMBNTF0032,0,1
OPMBNTF0034,21,1
OPMBNTF0039,26,1
OPMBNTF0040,23,1
OPMBNTF0041,0,1
OPMBNTF0043,2,1
OPMBNTF0044,40,1
OPMBNTF0045,0,1
OPMBNTF0046,0,1
OPMBNTF0047,25,1
OPMBNTF0050,19,1
OPMBNTF0051,19,1
OPMBNTF0058,9,1
OPMBNTF0060,2,1
OPMBNTF0062,8,1
OPMBNTF0063,30,1
OPMBNTF0065,0,1
OPMBNTF0071,4,1
OPMBNTF0081,0,1
OPMBNTF0082,2,1
OPMBNTF0085,1,1
OPMBNTF0086,12,1
OPMBNTF0087,9,1
OPMBNTF0088,3,1
OPMBNTF0093,0,1
OPMBNTF0107,49,1
OPMBNTF0112,1,1
OPMBNTF0113,2,1
OPMBNTF0115,2,1
OPMBNTF0116,1,1
OPMBNTF0118,3,1
OPMBNTF0119,1,1
OPMBNTF0120,7,1
OPMBNTF0123,3,1
OPMBNTF0125,1,1
OPMBNTF0129,22,1
OPMBNTF0130,1,1
OPMBNTF0132,7,1
OPMBNTF0137,8,1
OPMBNTF0138,5,1
OPMBNTF0139,7,1
OPMBNTF0140,1,1
OPMBNTF0142,8,1
OPMBNTF0144,6,1
OPMBNTF0145,0,1
OPMBNTF0146,0,1
OPMBNTF0149,7,1
OPMBNTF0150,4,1
OPMBNTF0151,8,1
OPMBNTF0152,5,1
OPMBNTF0153,3,1
OPMBNTF0155,0,1
OPMBNTF0156,0,1
OPMBNTF0159,0,1
OPMBNTF0161,0,1
OPMBNTF0162,1,1
OPMBNTF0164,0,1
OPMBNTF0166,4,1
OPMBNTF0168,23,1
OPMBNTF0169,3,1
OPMBNTF0170,5,1
OPMBNTF0172,1,1
OPMBNTF0174,0,1
OPMBNTF0175,0,1
OPMBNTF0176,2,1
OPMBNTF0177,2,1
OPMBNTF0182,2,1
OPMBNTF0184,11,1
OPMBNTF0185,6,1
OPMBNTF0187,0,1
OPMBNTF0188,4,1
OPMBNTF0191,0,1
OPMBNTF0193,5,1
OPMBNTF0196,2,1
OPMBNTF0197,1,1
OPMBNTF0199,5,1
OPMBNTF0201,13,1
OPMBNTF0203,1,1
OPMBNTF0204,8,1
OPMBNTF0206,2,1
OPMBNTF0207,1,1
OPMBNTF0209,3,1
OPMBNTF0210,4,1
OPMBNTF0211,5,1
OPMBNTF0212,3,1
OPMBNTF0213,3,1
