sku,status
SYGNBQB0214,1
SYGNBQB0245,1
QCNBB001521,1
QCNBB001522,1
QCNBB001524,1
SYGNBQB0227,1
SYGNBQB0233,1
SYGNBQB0237,1
QCNBB001514,1
QCNBB001510,1
SYGNBQB0212,1
SYGNBQB0228,1
SYGNBQB0230,1
QCNBB001518,1
QCNBB001519,1
QCNBB001525,1
QCNBB001531,1
QCNBB001535,1
QCNBB001511,1
QCNBB001603,1
QCNBB001604,1
QCNBB001605,1
SYGNBQB0243,1
SYGNBQB0244,1
QCNBB001607,1
SYGNBQB0232,1
SYGNBQB0242,1
QCNBB001513,1
QCNBB001515,1
QCNBB001517,1
QCNBB001523,1
QCNBB001526,1
QCNBB001532,1
QCNBB001533,1
QCNBB001536,1
SYGNBQB0211,1
SYGNBQB0213,1
SYGNBQB0229,1
QCNBB001520,1
QCNBB001529,1
QCNBB001537,1
SYGNBQB0236,1
SYGNBQB0231,1
SYGNBQB0234,1
SYGNBQB0238,1
SYGNBQB0239,1
SYGNBQB0240,1
SYGNBQB0241,1
SYGNBQB0246,1
SYGNBQB0215,1
SYGNBQB0216,1
SYGNBQB0217,1
SYGNBQB0218,1
SYGNBQB0219,1
SYGNBQB0220,1
SYGNBQB0221,1
SYGNBQB0223,1
SYGNBQB0224,1
SYGNBQB0225,1
SYGNBQB0226,1
QCNBB001512,1
QCNBB001516,1
QCNBB001528,1
QCNBB001530,1
QCNBB001534,1
QCNBB001538,1
QCNBB000145,1
SYGNBQB0235,1
QCNBB001527,1
QCNBB000676,1
QCNBB000325,1
QCNBB000329,1
QCPNBK00245,1
QCNBB001136,1
QCNBB000820,1
QCPNBK00249,1
