store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,mapped_status
admin,base,Laptops,simple,"3,11",SYGNBQB0310,2,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71811W(Core I3 2330M 2.20GHz/2GB/320GB 15.0"")C106QHG9",15 Days Testing Warranty.,PCG-71811W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71811W(Core I3 2330M 2.20GHz/2GB/320GB 15.0"")C106QHG9",simple,15 Days Testing Warranty.,No,No,10.8V--4200mAh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0311,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 5420(Core I3 3210M 2.50GHz/4GB/500GB 14.0"")C3CLVS1",15 Days Testing Warranty.,INSP 5420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 5420(Core I3 3210M 2.50GHz/4GB/500GB 14.0"")C3CLVS1",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001761,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 15- 3521(Core I3 3217U 1.80GHz/3GB/500Gb 15..6"")2YYHDW1",15 Days Testing Warranty.,INSP 15- 3521,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 15- 3521(Core I3 3217U 1.80GHz/3GB/500Gb 15..6"")2YYHDW1",simple,15 Days Testing Warranty.,No,No,11.1V--4400mAh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0312,2,"Catalog, Search",GST0.36,HP,Core i3,QCNBK-B,"HP-Pavillion G4(Core I3 2330M 2.20GHz/2GB/320GB 14.0"")5CD1390JSM",15 Days Testing Warranty.,Pavillion G4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion G4(Core I3 2330M 2.20GHz/2GB/320GB 14.0"")5CD1390JSM",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,No
admin,base,Laptops,simple,"3,11",QCNBB001762,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 5741(Core I3 M350 2.27GHz/4GB/500GB 15.6"")LXPW00208702146C381601",15 Days Testing Warranty.,Aspire 5741,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5741(Core I3 M350 2.27GHz/4GB/500GB 15.6"")LXPW00208702146C381601",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001763,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",15 Days Testing Warranty.,Aspire 4755,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 4755(Core I3 2310M 2.10GHz/2GB/500GB 14.1"")LXRPT0C0331270F6022000",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001764,2,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",15 Days Testing Warranty.,Aspire 5745,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5745(Core I3 M380 2.53GHz/4GB/500GB 15.6"")LXPTW0C058110136F62500",simple,15 Days Testing Warranty.,No,No,11.1V--6000mAh,No
admin,base,Laptops,simple,"3,11",QCNBB001765,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 3555(Core I3 5005U 2.00GHz/4GB/1TB DOS 15.6"")FJMYZB2",15 Days Testing Warranty.,INSP 3555,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 3555(Core I3 5005U 2.00GHz/4GB/1TB DOS 15.6"")FJMYZB2",simple,15 Days Testing Warranty.,No,No,14.8V--40Wh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0313,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insp N5110(Core I5 2410M 2.30GHz/4GB/500GB 15.6"")CDRYVQ1",15 Days Testing Warranty.,Insp N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N5110(Core I5 2410M 2.30GHz/4GB/500GB 15.6"")CDRYVQ1",simple,15 Days Testing Warranty.,No,No,11.1V--4.2Ah-48wh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0314,2,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-SVF152C1WW(Core I3 1.9GHz/2GB/500GB 15"")C10GSJA6",15 Days Testing Warranty.,SVF152C1WW,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-SVF152C1WW(Core I3 1.9GHz/2GB/500GB 15"")C10GSJA6",simple,15 Days Testing Warranty.,No,No,14.8V--30Wh-2000mAh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0315,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-INSP 1545(Core 2 Duo T6400 2.00GHz/4GB/250GB 15.0"")4H253BS",15 Days Testing Warranty.,INSP 1545,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1545(Core 2 Duo T6400 2.00GHz/4GB/250GB 15.0"")4H253BS",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0316,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insp N4010(Core I5 M480 2.67GHz/4GB/500GB 14"")7Q84CQ1",15 Days Testing Warranty.,Insp N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N4010(Core I5 M480 2.67GHz/4GB/500GB 14"")7Q84CQ1",simple,15 Days Testing Warranty.,No,No,11.1V--48WH,No
admin,base,Laptops,simple,"3,11",SYGNBQB0317,2,"Catalog, Search",GST0.36,HP,Core i3,QCNBK-B,"HP-15-N010TX(Core I3 3217U 1.80GHz/4GB/500GB 15.6"")5CD33780CQ",15 Days Testing Warranty.,15-N010TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-15-N010TX(Core I3 3217U 1.80GHz/4GB/500GB 15.6"")5CD33780CQ",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,No
admin,base,Laptops,simple,"3,11",SYGNBQB0318,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-Studio 1555(Core 2 Duo T6600 2.20GHz/3GB/320GB 15.6"")4CFJ4BS",15 Days Testing Warranty.,Studio 1555,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Studio 1555(Core 2 Duo T6600 2.20GHz/3GB/320GB 15.6"")4CFJ4BS",simple,15 Days Testing Warranty.,No,No,11.1V--56WH,No
