sku,image,small_image,thumbnail,gallery
NEWMOB00086,/Acer-Liquid-Z630S-Black-&-Gold.png,/Acer-Liquid-Z630S-Black-&-Gold.png,/Acer-Liquid-Z630S-Black-&-Gold.png,/Acer-Liquid-Z630S-Black-&-Gold.png
OPMBNTF0175,/samsung-galaxy-on-next-black.png,/samsung-galaxy-on-next-black.png,/samsung-galaxy-on-next-black.png,/samsung-galaxy-on-next-black.png
OPNBNTF0001,/Asus.jpg,/Asus.jpg,/Asus.jpg,/Asus.jpg
OPMBNTF0165,/lenovo-vibe-k5-gold.jpg,/lenovo-vibe-k5-gold.jpg,/lenovo-vibe-k5-gold.jpg,/lenovo-vibe-k5-gold.jpg
QCNBB000215,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
QCNBB000220,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPMBNTF0066,/redmi-note-4-gold.jpg,/redmi-note-4-gold.jpg,/redmi-note-4-gold.jpg,/redmi-note-4-gold.jpg
OPMBNTF0341,/apple-iPhone-5c-blue.png,/apple-iPhone-5c-blue.png,/apple-iPhone-5c-blue.png,/apple-iPhone-5c-blue.png
OPNBNTF0050,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0005,/Acer.jpg,/Acer.jpg,/Acer.jpg,/Acer.jpg
OPNBNTF0101,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0033,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0004,/Acer.jpg,/Acer.jpg,/Acer.jpg,/Acer.jpg
OPNBNTF0034,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0123,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0008,/Acer.jpg,/Acer.jpg,/Acer.jpg,/Acer.jpg
OPNBNTF0030,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0038,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0043,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0046,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0053,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0068,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0096,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0012,/Acer.jpg,/Acer.jpg,/Acer.jpg,/Acer.jpg
OPNBNTF0020,/Acer.jpg,/Acer.jpg,/Acer.jpg,/Acer.jpg
OPNBNTF0022,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0023,/fujitsu.png,/fujitsu.png,/fujitsu.png,/fujitsu.png
OPNBNTF0032,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0041,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg,/Lenovo.jpg
OPNBNTF0045,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0048,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0049,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0062,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0063,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0066,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0069,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0073,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0076,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0077,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0080,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0082,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0088,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0091,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
OPNBNTF0092,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0094,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0099,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0106,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0117,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0136,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0148,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0149,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0150,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0151,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0152,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0153,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0154,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0155,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0159,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0165,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0166,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPNBNTF0168,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPTBNTF0002,/Dell.jpg,/Dell.jpg,/Dell.jpg,/Dell.jpg
OPMBNTF0457,/micromax.png,/micromax.png,/micromax.png,/micromax.png
QCNBB000049,/HP.jpg,/HP.jpg,/HP.jpg,/HP.jpg
