sku,name
QCNBA000001,"Lenovo R61 (CPU-INTEL®CORE 2 D40 T17100@1.80GHZ/RAM-3GB/HDD-80GB/DISPLAY-14.1""NO ADPT) 1S8933A38L3A0637"
QCNBA000003,"Dell PP29L (CPU-INTEL®CORE™2 2.00GHZ/RAM-2GB/HDD-250GB/DISPLAY-15.4"") 6FSX1BS"
QCNBA000004,"Dell Inspiron-1525 (CPU-INTEL CORE 2D40@2.0GHZ/RAM-2GB/HDD-120GB/DISPLAY-15.4"") D4242BS"
QCNBA000005,Dell PP37L (CPU-CORE 2 DUO -T6670@2.20GHZ/RAM-2GB/HDD-300GB/DISPLAY-15.6'') 9CPP6P1
QCNBA000006,Dell PP37L (CPU-INTEL CORE® TM2DU0 T6570@2.10HZ/RAM-2GB/HDD-300GB/DISPLAY-15.6'') J9B1YL1
QCNBA000007,"Compaq Presario CQ40 (CPU-INTEL®CORE™2D40 T6400@2.00GHZ/RAM-2GB/HDD-150GB/DISPLAY-14.1"") CND9182ZBQ"
QCNBA000008,Lenovo L412 (CPU-INTEL CORE I5-M540@2.53GHZ/RAM-4GB/HDD-300GB/DISPLAY-14''NO ADPT) 1S0585B86LRCNRWE
QCNBA000011,Toshiba Satellite C640-X4012 (CPU-INTEL CORE I5@2.4GHZ/RAM-4GB/HDD-500GB/DISPPLAY-14'') 98144650Q
QCNBA000013,"Lenovo E420 (CPU-INTEL CORE  I5-2430M@2.4GHZ/RAM-6GB/HDD-500GB/DIPLAY-14.0"") 1s1141CTOR9KM8P7"
QCNBA000014,Sony VGN-SR26GN (CPU-CORE 2 DUO -T6670@2.20GHZ/RAM-4GB/HDD-500GB/DISPLAY-13.3'') C60101V1
QCNBA000015,Lenovo G580 (CPU-INTEL(R) CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') 8201212003932
QCNBA000020,Sony VGN-CS35GN (CPU-INTEL® CORE ™ 2DUO -P8700@2.53GHZ/RAM-3GB/HDD-250GB/DISPLAY-14.1'') C1039BP7P
QCNBA000021,"Dell Inspiron 1525 (CPU-INTEL CORE® ™ 2 T5750.2GHZ/RAM-2GB/HDD-160GB/DISPLAY-15.4"") 59TY1BS"
QCNBA000023,Dell P63F (CPU-INTEL®CORE™I5-7200U@2.50GHZ/RAM-4.0GB/HDD-1GB/DISPLAY-15.6''NO ADPT) 2m5b4f2
QCNBA000025,Lenovo Z580 (CPU-INTEL CORE I5-3210M@2.5GHZ/RAM-4GB/HDD-500GB/DISPAY-15.6'') QB04827345
QCNBA000026,HP Pavilion dv6 (CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-4GB/HDD-700GB/DISPLAY-15.6'') 5CH1331NKH
QCNBA000027,Sony PCG-71811W (CPU-INTEL®CORE™I5-2430M@2.50GHZ/RAM-4.0GB/HDD-500GB/DISPLAY-15.6'') C106FCLYF
QCNBA000028,HP 15-r204tx (CPU-INTEL CORE I5-52000@2.2GHZ/RAM-8GB/HDD-1TB/DISPLAY-15.6'') CND5090YNT
QCNBA000029,Sony VPCEH (CPU-INTEL CORE™I5-2450M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') C106SN72
QCNBA000030,Dell inspiron n4010 (CPU-INTEL®CORE™I5 @2.53GHZ/RAM-4GB/HDD-350GB/DISPLAY-14'') 1YHQ5BS
QCNBA000031,HP Pavilion G6 (CPU- INTEL CORE ™I5-3230M@2.60GHZ/RAM-1GB/HDD-1TB/DISPLAY-15.6'') 5CD320007Y
QCNBA000032,HP Pavilion G6 (CPU-INTEL CORE I5 M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6'') CNF1063TBV
QCNBA000033,Dell inspiron N4050 (CPU-INTEL CORE™I5-2450M@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-14'') DZN59v1
QCNBA000034,Sony VPCEA46FG (CPU-INTEL® CORE™ I5 -480@2.67GHZ/RAM-3GHZ/HDD-500GB/DISPLAY-14'') C607NVXRA
QCNBA000035,Sony PCG-61911w (CPU-INTEL CORE™I5-2430M@2.4GHZ/RAM-4GB/HDD-500GB/DISPLAY-14'') C901RECMB
QCNBA000036,Dell P23G001 (CPU-INTEL CORE I5-2450M@2.50GHZ/RAM-4GB/HDD-500GB/DISPLAY-14'') 75S54s1
QCNBA000037,Dell inspiron 1525 (CPU- INTEL® CORE™2 DUO-T5850@2.16GHZ/RAM-2GB/HDD-160GB/DISPLAY-15.4'') 8ZR32BS
QCNBA000038,HP Pavilion G6 (CPU-INTEL® CORE™ I5 -3210M@2.5GHZ/RAM-4GHZ/HDD-500GB/DISPLAY-15.6'') 5CD233175C
QCNBA000039,HP 15-R014TX (CPU-INTEL® CORE™ I5-2450M@2.5GHZ/RAM-6GB/HDD-750GB/DISPLAY-15.6'') CND44418V6
QCNBA000040,Dell Vostro 1220 (CPU-INTEL CORE™2-T6670@2.20GHZ/RAM-3GB/HDD-250GB/DISPLAY-12.1'') 3BCDKL1
QCNBA000041,Dell Vostro 3550 (CPU-INTEL® CORE™ I5-2410M@2.30GHZ/RAM-8GB/HDD-500GB/DISPLAY-15.6'') CYHWJP1
QCNBA000042,"HP Pavilion G6 (CPU-INTEL®CORE™ I5-3270M@2.50GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") 5CD2195H2C"
QCNBA000043,"Dell XPS L401X (CPU-NITEL CORE I5-M480@2.67GHZ/RAM-6GB/HDD-500GB/DISLPAY-14.0"") H893VQ1"
QCNBA000046,"Dell inspiron 14Z-N411Z (CPU-INTEL®CORE™I5-2450M@ 2.50GHZ/RAM-6GB/HDD-500GB/DISPLY-14.0"") 5MZ4RS1"
QCNBA000048,"Dell Vostro 1550 (CPU-INTEL CORE I5-2450@2.5GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") GHT9mt1"
QCNBA000050,"Dell Vostro V131 (CPU-INTEL®CORE™I5-2330M@2.20GHZ/RAM-4GB/HDD-320GB/DISPLAY-13.3"") D1DXcr1"
QCNBA000051,"Dell P25F (CPU-INTEL®CORE™I5-3210M@2.50GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6"") 6YPLVS1"
QCNBA000052,"Dell inspiron 1525 (CPU-INTEL CORE 2 D40-T6400@2.0GHZ/RAM-3GB/HDD-250GB/DISPLAY-15.4"") CHKY2BS"
