sku,product_category_type
OPMBNTF0345,OPENMOBNTF
OPMBNTF0342,OPENMOBNTF
QCNBB001197,QCNBK-B
QCNBB001198,QCNBK-B
QCNBB001199,QCNBK-B
QCNBB001200,QCNBK-B
QCNBB001201,QCNBK-B
QCNBB001202,QCNBK-B
QCNBB001203,QCNBK-B
QCNBB001204,QCNBK-B
QCNBB001206,QCNBK-B
QCNBB001207,QCNBK-B
QCNBB001208,QCNBK-B
QCNBB001209,QCNBK-B
QCNBB001210,QCNBK-B
QCNBB001211,QCNBK-B
QCNBB001212,QCNBK-B
QCNBB001213,QCNBK-B
SYGNBQB0125,QCNBK-B
SYGNBQB0126,QCNBK-B
QCNBB001214,QCNBK-B
QCNBB001215,QCNBK-B
QCNBB001216,QCNBK-B
QCNBB001217,QCNBK-B
QCNBB001218,QCNBK-B
QCNBB001219,QCNBK-B
QCNBB001220,QCNBK-B
QCNBB001221,QCNBK-B
QCNBB001222,QCNBK-B
QCNBB001223,QCNBK-B
QCNBB001224,QCNBK-B
QCNBB001225,QCNBK-B
QCNBB001226,QCNBK-B
QCNBB001227,QCNBK-B
QCNBB001228,QCNBK-B
QCNBB001229,QCNBK-B
QCNBB001238,QCNBK-B
QCNBB001239,QCNBK-B
QCNBB001240,QCNBK-B
QCNBB001241,QCNBK-B
QCNBB001242,QCNBK-B
QCNBB001243,QCNBK-B
QCNBB001244,QCNBK-B
QCNBB001245,QCNBK-B
QCNBB001246,QCNBK-B
QCNBB001247,QCNBK-B
QCNBB001248,QCNBK-B
QCNBB001249,QCNBK-B
QCNBB001250,QCNBK-B
QCNBB001251,QCNBK-B
QCNBB001252,QCNBK-B
QCNBB001253,QCNBK-B
QCNBB001254,QCNBK-B
QCNBB001255,QCNBK-B
QCNBB001256,QCNBK-B
QCNBB001257,QCNBK-B
QCNBB001258,QCNBK-B
QCNBB001259,QCNBK-B
QCNBB001260,QCNBK-B
QCNBB001261,QCNBK-B
QCNBB001262,QCNBK-B
QCNBB001263,QCNBK-B
QCNBB001264,QCNBK-B
QCNBB001265,QCNBK-B
QCNBB001266,QCNBK-B
QCNBB001267,QCNBK-B
QCNBB001268,QCNBK-B
QCNBB001269,QCNBK-B
QCNBB001270,QCNBK-B
QCNBB001271,QCNBK-B
QCNBB001272,QCNBK-B
QCNBB001273,QCNBK-B
QCNBB001274,QCNBK-B
QCNBB001275,QCNBK-B
QCNBB001276,QCNBK-B
QCNBB001277,QCNBK-B
QCNBB001278,QCNBK-B
QCNBB001279,QCNBK-B
QCNBB001280,QCNBK-B
QCNBB001281,QCNBK-B
QCNBB001282,QCNBK-B
QCNBB001283,QCNBK-B
QCNBB001284,QCNBK-B
QCNBB001285,QCNBK-B
QCNBB001286,QCNBK-B
QCNBB001287,QCNBK-B
QCNBB001288,QCNBK-B
QCNBB001289,QCNBK-B
QCNBB001290,QCNBK-B
QCNBB001291,QCNBK-B
QCNBB001292,QCNBK-B
QCNBB001293,QCNBK-B
QCNBB001294,QCNBK-B
QCNBB001295,QCNBK-B
QCNBB001296,QCNBK-B
QCNBB001297,QCNBK-B
QCNBB001298,QCNBK-B
QCNBB001299,QCNBK-B
QCNBB001300,QCNBK-B
QCNBB001301,QCNBK-B
QCNBB001302,QCNBK-B
QCNBB001303,QCNBK-B
QCNBB001304,QCNBK-B
QCNBB001305,QCNBK-B
QCNBB001306,QCNBK-B
QCNBB001307,QCNBK-B
QCNBB001308,QCNBK-B
QCNBB001309,QCNBK-B
QCNBB001310,QCNBK-B
QCNBB001311,QCNBK-B
QCNBB001312,QCNBK-B
QCNBB001313,QCNBK-B
QCNBB001314,QCNBK-B
QCNBB001315,QCNBK-B
QCNBB001316,QCNBK-B
QCNBB001317,QCNBK-B
QCNBB001318,QCNBK-B
QCNBB001319,QCNBK-B
QCNBB001320,QCNBK-B
QCNBB001321,QCNBK-B
QCNBB001322,QCNBK-B
QCNBB001323,QCNBK-B
QCNBB001324,QCNBK-B
QCNBB001325,QCNBK-B
QCNBB001326,QCNBK-B
QCNBB001327,QCNBK-B
QCNBB001328,QCNBK-B
QCNBB001329,QCNBK-B
QCNBB001330,QCNBK-B
QCNBB001331,QCNBK-B
QCNBB001332,QCNBK-B
QCNBB001333,QCNBK-B
QCNBB001334,QCNBK-B
QCNBB001335,QCNBK-B
QCNBB001336,QCNBK-B
QCNBB001337,QCNBK-B
QCNBB001230,QCNBK-B
QCNBB001231,QCNBK-B
QCNBB001232,QCNBK-B
QCNBB001233,QCNBK-B
QCNBB001234,QCNBK-B
QCNBB001235,QCNBK-B
QCNBB001236,QCNBK-B
QCNBB001237,QCNBK-B
SYGNBQB0127,QCNBK-B
SYGNBQB0128,QCNBK-B
SYGNBQB0129,QCNBK-B
SYGNBQB0130,QCNBK-B
SYGNBQB0131,QCNBK-B
SYGNBQB0132,QCNBK-B
QCNBB001395,QCNBK-B
QCNBB001396,QCNBK-B
QCNBB001397,QCNBK-B
QCNBB001398,QCNBK-B
QCNBB001399,QCNBK-B
QCNBB001400,QCNBK-B
QCNBB001401,QCNBK-B
QCNBB001402,QCNBK-B
QCNBB001403,QCNBK-B
QCNBB001404,QCNBK-B
QCNBB001405,QCNBK-B
QCNBB001406,QCNBK-B
QCNBB001407,QCNBK-B
QCNBB001408,QCNBK-B
QCNBB001409,QCNBK-B
QCNBB001410,QCNBK-B
QCNBB001411,QCNBK-B
QCNBB001412,QCNBK-B
QCNBB001413,QCNBK-B
QCNBB001414,QCNBK-B
QCNBB001415,QCNBK-B
QCNBB001416,QCNBK-B
QCNBB001417,QCNBK-B
QCNBB001418,QCNBK-B
QCNBB001419,QCNBK-B
QCNBB001420,QCNBK-B
SYGNBQB0147,QCNBK-B
SYGNBQB0148,QCNBK-B
SYGNBQB0149,QCNBK-B
SYGNBQB0150,QCNBK-B
QCNBB001205,QCNBK-B
QCNBB001338,QCNBK-B
QCNBB001339,QCNBK-B
QCNBB001340,QCNBK-B
QCNBB001341,QCNBK-B
QCNBB001342,QCNBK-B
QCNBB001343,QCNBK-B
QCNBB001344,QCNBK-B
QCNBB001345,QCNBK-B
QCNBB001346,QCNBK-B
QCNBB001347,QCNBK-B
QCNBB001348,QCNBK-B
QCNBB001349,QCNBK-B
QCNBB001350,QCNBK-B
QCNBB001351,QCNBK-B
QCNBB001354,QCNBK-B
QCNBB001355,QCNBK-B
QCNBB001356,QCNBK-B
QCNBB001357,QCNBK-B
QCNBB001358,QCNBK-B
QCNBB001359,QCNBK-B
QCNBB001360,QCNBK-B
QCNBB001361,QCNBK-B
QCNBB001362,QCNBK-B
QCNBB001363,QCNBK-B
QCNBB001364,QCNBK-B
QCNBB001365,QCNBK-B
QCNBB001366,QCNBK-B
QCNBB001367,QCNBK-B
QCNBB001368,QCNBK-B
QCNBB001369,QCNBK-B
QCNBB001370,QCNBK-B
QCNBB001372,QCNBK-B
QCNBB001373,QCNBK-B
QCNBB001374,QCNBK-B
QCNBB001375,QCNBK-B
QCNBB001376,QCNBK-B
QCNBB001377,QCNBK-B
QCNBB001378,QCNBK-B
QCNBB001379,QCNBK-B
QCNBB001381,QCNBK-B
QCNBB001382,QCNBK-B
QCNBB001383,QCNBK-B
QCNBB001384,QCNBK-B
QCNBB001385,QCNBK-B
QCNBB001386,QCNBK-B
QCNBB001387,QCNBK-B
QCNBB001388,QCNBK-B
QCNBB001389,QCNBK-B
QCNBB001390,QCNBK-B
QCNBB001393,QCNBK-B
QCNBB001394,QCNBK-B
SYGNBQB0120,QCNBK-B
SYGNBQB0121,QCNBK-B
SYGNBQB0122,QCNBK-B
SYGNBQB0123,QCNBK-B
SYGNBQB0124,QCNBK-B
SYGNBQB0133,QCNBK-B
SYGNBQB0134,QCNBK-B
SYGNBQB0135,QCNBK-B
SYGNBQB0136,QCNBK-B
QCNBB001421,QCNBK-B
QCNBB001422,QCNBK-B
QCNBB001423,QCNBK-B
QCNBB001424,QCNBK-B
QCNBB001425,QCNBK-B
QCNBB001426,QCNBK-B
QCNBB001427,QCNBK-B
QCNBB001428,QCNBK-B
QCNBB001429,QCNBK-B
QCNBB001430,QCNBK-B
QCNBB001431,QCNBK-B
QCNBB001432,QCNBK-B
QCNBB001433,QCNBK-B
QCNBB001434,QCNBK-B
QCNBB001435,QCNBK-B
QCNBB001436,QCNBK-B
QCNBB001437,QCNBK-B
QCNBB001438,QCNBK-B
QCNBB001439,QCNBK-B
QCNBB001440,QCNBK-B
QCNBB001441,QCNBK-B
QCNBB001442,QCNBK-B
QCNBB001443,QCNBK-B
QCNBB001444,QCNBK-B
QCNBB001445,QCNBK-B
QCNBB001446,QCNBK-B
QCNBB001447,QCNBK-B
QCNBB001448,QCNBK-B
QCNBB001449,QCNBK-B
QCNBB001450,QCNBK-B
QCNBB001451,QCNBK-B
QCNBB001452,QCNBK-B
SYGNBQB0167,QCNBK-B
SYGNBQB0168,QCNBK-B
SYGNBQB0169,QCNBK-B
SYGNBQB0170,QCNBK-B
SYGNBQB0171,QCNBK-B
SYGNBQB0172,QCNBK-B
SYGNBQB0173,QCNBK-B
SYGNBQB0174,QCNBK-B
SYGNBQB0175,QCNBK-B
SYGNBQB0176,QCNBK-B
SYGNBQB0177,QCNBK-B
