sku,image,small_image,thumbnail,gallery,
SYGMOBSAMSUNG25,+/galaxy-s6-edge.jpg,+/galaxy-s6-edge.jpg,+/galaxy-s6-edge.jpg,/galaxy-s6-edge-right.jpg;/galaxy-s6-edge-left.jpg,
SYGMOBSAMSUNG26,+/galaxy-s6-edge.jpg,+/galaxy-s6-edge.jpg,+/galaxy-s6-edge.jpg,/galaxy-s6-edge-right.jpg;/galaxy-s6-edge-left.jpg,
SYGMOBSAMSUNG18,+/galaxy-j7-prime.jpg,+/galaxy-j7-prime.jpg,+/galaxy-j7-prime.jpg,/galaxy-j7-prime-right.jpg;/galaxy-j7-prime-left.jpg,
SYGMOBSAMSUNG32,+/galaxy-s7-edge.jpg,+/galaxy-s7-edge.jpg,+/galaxy-s7-edge.jpg,/galaxy-s7-edge-right.jpg;/galaxy-s7-edge-left.jpg,
SYGMOBSAMSUNG19,+/galaxy-j7-prime.jpg,+/galaxy-j7-prime.jpg,+/galaxy-j7-prime.jpg,/galaxy-j7-prime-right.jpg;/galaxy-j7-prime-left.jpg,
NEWMOB00257,+/samsung-galaxy-j5-prime-black.jpg,+/samsung-galaxy-j5-prime-black.jpg,+/samsung-galaxy-j5-prime-black.jpg,/samsung-galaxy-j5-prime-black-right.jpg;/samsung-galaxy-j5-prime-black-right-left.jpg,
NEWMOB00405,+/samsung-galaxy-j5-prime-gold.jpg,+/samsung-galaxy-j5-prime-gold.jpg,+/samsung-galaxy-j5-prime-gold.jpg,/samsung-galaxy-j5-prime-gold.jpg;/samsung-galaxy-j5-prime-gold-left.jpg,
OPMBNTFB0006,+/apple-iphone-5s-Silver.jpg,+/apple-iphone-5s-Silver.jpg,+/apple-iphone-5s-Silver.jpg,/apple-iphone-5s-Silver.jpg;/apple-iphone-5s-Silver-right.jpg;/apple-iphone-5s-Silver-left.jpg,
OPMBNTFB0122,+/apple-iphone-6s-plus-gold.jpg,+/apple-iphone-6s-plus-gold.jpg,+/apple-iphone-6s-plus-gold.jpg,/apple-iphone-6s-plus-gold-right.jpg;/apple-iphone-6s-plus-gold-left.jpg,
OPMBNTFB0160,+/apple-iphone-se-silver.jpg,+/apple-iphone-se-silver.jpg,+/apple-iphone-se-silver.jpg,/apple-iphone-se-silver-right.jpg;/apple-iphone-se-silver-left.jpg,
OPMBNTFB0313,+/samsung-galaxy-j7-white.jpg,+/samsung-galaxy-j7-white.jpg,+/samsung-galaxy-j7-white.jpg,/samsung-galaxy-j7-white-right.jpg;/samsung-galaxy-j7-white-left.jpg,
NEWMOB00429,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,/apple-iphone-6s-rose-gold-right.jpg;/apple-iphone-6s-rose-gold-left.jpg,
OPMBNTF0761,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,/apple-iphone-6s-rose-gold-right.jpg;/apple-iphone-6s-rose-gold-left.jpg,
OPMBNTFB0761,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,+/apple-iphone-6s-rose-gold.jpg,/apple-iphone-6s-rose-gold-right.jpg;/apple-iphone-6s-rose-gold-left.jpg,
OPMBNTFB0173,+/samsung-galaxy-j5-gold.jpg,+/samsung-galaxy-j5-gold.jpg,+/samsung-galaxy-j5-gold.jpg,/samsung-galaxy-j5-gold-right.jpg;/samsung-galaxy-j5-gold-left.jpg,
