store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,expandable_storage_capacity,sim_type,camera,mapped_status,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type,concated_description,other_features,model,voice_call,max_resolution,internet_browsing_time,video_playback,audio_formats_supported,tablet_bluetooth,dimensions,tablets_secondary_camera,tablets_primary_camera,tablets_color,tablets_processor,tablets_sim_type,tablets_ram,tablet_warranty_summary,tablet_threeg,tablets_display_type,tablet_connectivity,tablet_screen_range,tablet_internal_storage,tablet_operating_system
admin,base,Mobiles,simple,"4,94",OPMBAS00219,"Samsung Galaxy S3 Neo ( Blue, 16 GB)",/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,"Samsung Galaxy S3 Neo ( Blue, 16 GB)",simple,Galaxy S3 Neo GT-I9300I,0.2,Micro Sim,1.9 Megapixel,"Yes, HD",,Yes,,,Email,,Yes,Yes microUSB v2.0,Wi-Fi hotspot,3.5 mm,,,No,Yes 802.11 a/b/g/n,,Yes 21 Mbps HSPA+,Upto 14 hrs (3G),Upto 330 hrs (3G),,,70.6 x 136.6 x 8.6 mm,Black,"Yes v4, Supported Profiles (MAP, HID, PBAP, HSP, HFP, DI, A2DP, AVRCP, OPP)",,1.5 GB,2100 mAh,Yes,,,Disabled,"1.2, Quad Core",12.19 cm (4.8 Inches),,8.0 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (KitKat),OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00208,Moto X Style XT1572 (16GB White),/m/o/moto-x-xt-1052-black1.jpg,/m/o/moto-x-xt-1052-black1.jpg,/m/o/moto-x-xt-1052-black1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Motorola,,"Single, GSM",,No,"<ul><li>Single, GSM</li><li>10 Megapixel</li><li>4.7 Inches</li><li>Android (KitKat)</li><li>16 GB</li></ul>","<ul><li>Single, GSM</li><li>10 Megapixel</li><li>4.7 Inches</li><li>Android (KitKat)</li><li>16 GB</li></ul>","<ul><li>Single, GSM</li><li>10 Megapixel</li><li>4.7 Inches</li><li>Android (KitKat)</li><li>16 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0,Moto X Style XT1572 (16GB White),simple,Moto X XT1052,0.2,,2.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,White,Yes,,2 GB,2200 mAh,,,,Disabled,"1.7 GHz, Quad Core",11.94 cm (4.7 Inches),,10 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,Android (KitKat),OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00207," Moto Turbo (Black, 64 GB)",/m/o/moto-turbo-black.jpg,/m/o/moto-turbo-black.jpg,/m/o/moto-turbo-black.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Motorola,,"Single, GSM",,No,"<ul><li>Single, GSM</li><li>21 Megapixel</li><li>5.2 Inches</li><li>Android (Lollipop)</li><li>64 GB</li></ul>","<ul><li>Single, GSM</li><li>21 Megapixel</li><li>5.2 Inches</li><li>Android (Lollipop)</li><li>64 GB</li></ul>","<ul><li>Single, GSM</li><li>21 Megapixel</li><li>5.2 Inches</li><li>Android (Lollipop)</li><li>64 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,0," Moto Turbo (Black, 64 GB)",simple,Moto Turbo XT1225,0.2,,2.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,Black,Yes,,3 GB,3900 mAh,,,Yes,Disabled,2.7 GHz Quad Core Processor ,13.21 cm (5.2 Inches),,21 Megapixel,64 GB,Smartphone,,6 Months Warranty.,Single sim,Android (Lollipop),OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00215,Samsung Galaxy A7 (A710F) 16GB Gold,/s/a/samsung-galaxy-a7-2016.jpg,/s/a/samsung-galaxy-a7-2016.jpg,/s/a/samsung-galaxy-a7-2016.jpg,"/Samsung-Galaxy-A7-SM-A700F-Champagne-Gold2.jpg,/Samsung-Galaxy-A7-SM-A700F-Champagne-Gold3.jpg,/Samsung-Galaxy-A7-SM-A700F-Champagne-Gold4.jpg",960 x 540 Pixels,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + LTE",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,Samsung Galaxy A7 (A710F) 16GB Gold,simple,A7 (2016),0.2,,5.0 Megapixel,Yes,,Yes,,,"GPRS, EDGE",,,USB 2.0,,3.5 mm,,,No,"Yes, 802.11 b/g/n",,Yes,,,,,151  x  76.2  x  6.3 mm,Gold,"Yes, v4.0",,2 GB,2600 mAh,Yes,,,Disabled,"1.5 Ghz, Quad Core",13.97 cm (5.5 Inches),,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (KitKat),OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Tablets,simple,"4,94",OPMBAS00201,"HP 7 VOICE TAB ( White,8GB)",/h/p/hp-7-voice-tab--white.jpg,/h/p/hp-7-voice-tab--white.jpg,/h/p/hp-7-voice-tab--white.jpg,"/hp-slate-7-voice-tab-2.jpg,/hp-slate-7-voice-tab-3.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,HP,,,,No,<ul><li>8 GB</li><li>Android (Jelly Bean)</li><li>7 inches Capacitive Touchscreen</li><li>2 Megapixel</li><li>5 Megapixel</li></ul>,<ul><li>8 GB</li><li>Android (Jelly Bean)</li><li>7 inches Capacitive Touchscreen</li><li>2 Megapixel</li><li>5 Megapixel</li></ul>,<ul><li>8 GB</li><li>Android (Jelly Bean)</li><li>7 inches Capacitive Touchscreen</li><li>2 Megapixel</li><li>5 Megapixel</li></ul>,0,0,1,0,0,1,1,1,0,1,0,"HP 7 VOICE TAB ( White,8GB)",simple,,0.2,,,"Yes, Full HD Recording at 1920 x 1080",,,,,,,,,,,Android,,,"Yes, 802.11 b/g/n",,,,,,,,,,"Proximity Sensor, G-Sensor, Gyro Sensor, eCompass, Automatic Light Sensor",,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,16 GB/Android (Jelly Bean)/7 inches Capacitive Touchscreen/2 Megapixel/5 Megapixel,IPS Display,Slate 7 Voice Tab 6102RA,Yes,1280 x 800 pixels,,"Yes , Full HD Playback",MP3,"v3, Supported Profiles(EDR)",189 x 115 x 9.5 mm,2 Megapixel,5 Megapixel,,"1.2 Ghz, Marvell PXA1088 Quad Core","Dual SIM, GSM + GSM, (Dual Standby)",1 GB,6 Months Warranty.,"Yes, 21 Mbps HSDPA; 5.76 Mbps HSUPA; HSPA+",7 inches Capacitive Touchscreen,"Wi-fi, 3 G, Voice calling",7 inches,8 GB,Android (Jelly Bean)
admin,base,Tablets,simple,"4,94",OPMBAS00194,APPLE IPAD AIR 2 MGKL2HN/A (64GB SPACE GREY),/a/p/apple-ipad-air2.jpeg,/a/p/apple-ipad-air2.jpeg,/a/p/apple-ipad-air2.jpeg,/Apple-ipad-Air-2-Cellular-Tablet-Gold2.jpg,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,APPLE IPAD AIR 2 MGKL2HN/A (64GB SPACE GREY),simple,,0.2,,,"Yes, Full HD",,,,,,,,,,,Safari,,,Yes,,,,,,,,,,,,,,,,Disabled,,,,,,Smartphone,,6 Months Warranty.,,,OPENMOBNTF,,,MGKL2HN/A,No,2048 x 1536 pixels,,,,,,1.2 Megapixel,8 Megapixels,SPACE GREY,M8 motion coprocessor,Single SIM,2 GB,1 Year Warranty,No,9.7 inches,Wi-fi,8.1 - 10 inches,64 GB,iOS 8.1
admin,base,Mobiles,simple,"4,94",OPMBAS00199,"Gionee A1 (Grey, 64 GB)",/g/i/gionee-a1-_grey_-64-gb_.jpg,/g/i/gionee-a1-_grey_-64-gb_.jpg,/g/i/gionee-a1-_grey_-64-gb_.jpg,"/Gionee-Pioneer-P6-Black2.jpg,/Gionee-Pioneer-P6-Black3.jpg,/Gionee-Pioneer-P6-Black4.jpg",1920 x 1080 Pixels,1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,0.00,0.2,"Catalog, Search",GST12,Gionee,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,"Gionee A1 (Grey, 64 GB)",simple,A1,0.2,,16 Megapixel,"Yes, Full HD",,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,"GSM - 850 / 900 / 1800 / 1900 MHz; WCDMA - 2100 MHz; 4G LTE (TDD) - B40, B41","Handset, Earphone, Travel Charger (2A), Data Cable, User Manual, Warranty Card",183 g,Grey,Yes,"G-sensor, Proximity Sensor, Light Sensor, Gyro Sensor",4 GB,4010 mAh,,,Yes,Disabled,Octa Core,13.97 cm (5.5 Inches),,13 Megapixel,64 GB,Smartphone,IPS,6 Months Warranty.,Dual sim,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00196,"Apple iPhone 5s (Space Grey, 16GB)",/a/p/apple-iphone-5s-space-grey-16gb1_3.jpg,/a/p/apple-iphone-5s-space-grey-16gb1_3.jpg,/a/p/apple-iphone-5s-space-grey-16gb1_3.jpg,"/Apple-iPhone-5s-Gold2.jpg,/Apple-iPhone-5s-Gold3.jpg",,1 Year Manufacturer Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,"Apple iPhone 5s (Space Grey, 16GB)",simple,iPhone 5S,0.2,Nano SIM,1.2 Megapixel,Yes,,Yes,,,Email,,,Yes,,3.5 mm,,,No,Yes,,Yes,10 hrs (3G),250 hrs (2G),,"iPhone 5s with iOS 7, Apple EarPods with Remote and Mic, Lightning to USB Cable and USB Power Adapter",58.6 x 123.8 x 7.6 mm,Space Grey,Yes,,1 GB,Li-Ion,No,,,Disabled,A7 Chip with 64-bit Architecture and M7 Motion Coprocessor,10.16 cm (4.0 Inches),,8.0 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,iOS 7,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00195,"Apple iPhone 5s ( Silver, 16GB )",/a/p/apple-iphone-5s-space-grey1_1_2_1.jpg,/a/p/apple-iphone-5s-space-grey1_1_2_1.jpg,/a/p/apple-iphone-5s-space-grey1_1_2_1.jpg,"/Apple-iPhone-5s-Gold2.jpg,/Apple-iPhone-5s-Gold3.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,"Apple iPhone 5s ( Silver, 16GB )",simple,iPhone 5S,0.2,Nano SIM,1.2 Megapixel,Yes,,Yes,,,Email,,,Yes,,3.5 mm,,,No,Yes,,Yes,,,,,58.6 x 123.8 x 7.6 mm,Space Grey,Yes,,1 GB,Li-Ion,No,,,Disabled,A7 Chip with 64-bit Architecture and M7 Motion Coprocessor,10.16 cm (4.0 Inches),,8.0 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,iOS 7,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Mobiles,simple,"4,94",OPMBAS00205,"Moto E3 Power (White, 16 GB) ",/m/o/motorola-moto-e3-power-black_1_3.jpg,/m/o/motorola-moto-e3-power-black_1_3.jpg,/m/o/motorola-moto-e3-power-black_1_3.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul><li>2 GB RAM</li><li>8 Megapixel</li><li>5 Megapixel</li><li>3500 mAh</li><li>16 GB</li></ul>,0,0,1,0,0,1,1,1,0,1,0,"Moto E3 Power (White, 16 GB) ",simple,Motorola Moto E3 Power,0.2,,5 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,White,Yes,,2 GB,3500 mAh,,,Yes,Disabled,1.0 GHz,12.7 cm (5 Inches),,8 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPENMOBNTF,,,,,,,,,,,,,,,,,,,,,,,
