sku,price
NEWNBK00058,0.00
NEWNBK00061,0.00
NEWNBK00062,0.00
NEWNBK00072,0.00
NEWNBK00076,0.00
NEWNBK00086,0.00
NEWNBK00088,0.00
NEWNBK00096,0.00
NEWNBK00109,0.00
NEWNBK00115,0.00
NEWNBK00169,0.00
OPTBNTF0002,0.00
QCNBB000731,0.00
QCNBB000827,0.00
QCNBB000828,0.00
QCNBB000829,0.00
QCNBB000830,0.00
QCNBB000831,0.00
QCNBB000832,0.00
QCNBB000833,0.00
QCNBB000834,0.00
QCNBB000835,0.00
QCNBB000836,0.00
QCNBB000837,0.00
QCNBB000838,0.00
QCNBB000878,0.00
QCNBB000879,0.00
QCNBB000880,0.00
QCNBB000882,0.00
QCNBB000883,0.00
QCNBB000884,0.00
QCNBB000885,0.00
QCNBB000886,0.00
QCNBB000887,0.00
QCNBB000889,0.00
QCNBB000891,0.00
QCNBB000892,0.00
QCNBB000893,0.00
QCNBB000894,0.00
QCNBB000895,0.00
QCNBB000896,0.00
QCNBB000897,0.00
QCNBB000898,0.00
QCNBB000899,0.00
QCNBB000900,0.00
QCNBB000901,0.00
QCNBB000902,0.00
QCNBB000903,0.00
QCNBB000904,0.00
QCNBB000906,0.00
QCNBB000908,0.00
QCNBB000909,0.00
QCNBB000910,0.00
QCNBB000911,0.00
QCNBB000912,0.00
QCNBB000913,0.00
QCNBB000914,0.00
QCNBB000915,0.00
QCNBB000917,0.00
QCNBB000918,0.00
QCNBB000919,0.00
QCNBB000920,0.00
QCNBB000921,0.00
QCNBB000922,0.00
QCNBB000923,0.00
QCNBB000925,0.00
QCNBB000926,0.00
QCNBB000927,0.00
QCNBB000928,0.00
QCNBB000929,0.00
QCNBB000930,0.00
QCNBB000931,0.00
QCNBB000932,0.00
QCNBB000933,0.00
QCNBB000935,0.00
QCNBB000936,0.00
QCNBB000939,0.00
QCNBB000966,0.00
QCNBB000988,0.00
QCNBB000989,0.00
QCNBB000993,0.00
QCNBB000997,0.00
QCNBB000998,0.00
QCNBB000999,0.00
QCNBB001001,0.00
QCNBB001004,0.00
QCNBB001005,0.00
QCNBB001006,0.00
QCNBB001016,0.00
QCNBB001041,0.00
QCNBB001043,0.00
QCNBB001044,0.00
QCNBB001045,0.00
QCNBB001046,0.00
QCNBB001047,0.00
QCNBB001048,0.00
QCNBB001049,0.00
QCNBB001050,0.00
QCNBB001052,0.00
QCNBB001053,0.00
QCNBB001066,0.00
QCNBB001071,0.00
QCNBB001079,0.00
QCNBB001089,0.00
QCNBB001098,0.00
QCNBB001128,0.00
QCNBB001129,0.00
QCNBB001180,0.00
QCNBB001395,0.00
QCNBB001396,0.00
QCNBB001397,0.00
QCNBB001398,0.00
QCNBB001399,0.00
QCNBB001400,0.00
QCNBB001401,0.00
QCNBB001402,0.00
QCNBB001403,0.00
QCNBB001404,0.00
QCNBB001405,0.00
QCNBB001406,0.00
QCNBB001407,0.00
QCNBB001408,0.00
QCNBB001409,0.00
QCNBB001410,0.00
QCNBB001411,0.00
QCNBB001412,0.00
QCNBB001413,0.00
QCNBB001414,0.00
QCNBB001415,0.00
QCNBB001416,0.00
QCNBB001417,0.00
QCNBB001418,0.00
QCNBB001419,0.00
QCNBB001420,0.00
QCNBB001421,0.00
QCNBB001422,0.00
QCNBB001423,0.00
QCNBB001424,0.00
QCNBB001425,0.00
QCNBB001426,0.00
QCNBB001427,0.00
QCNBB001428,0.00
QCNBB001429,0.00
QCNBB001430,0.00
QCNBB001431,0.00
QCNBB001432,0.00
QCNBB001433,0.00
QCNBB001434,0.00
QCNBB001435,0.00
QCNBB001436,0.00
QCNBB001437,0.00
QCNBB001438,0.00
QCNBB001439,0.00
QCNBB001440,0.00
QCNBB001441,0.00
QCNBB001442,0.00
QCNBB001443,0.00
QCNBB001444,0.00
QCNBB001445,0.00
QCNBB001446,0.00
QCNBB001447,0.00
QCNBB001448,0.00
QCNBB001449,0.00
QCNBB001450,0.00
QCNBB001451,0.00
QCNBB001452,0.00
QCNBB001544,0.00
QCNBB001562,0.00
SYGNBQB0014,0.00
SYGNBQB0015,0.00
SYGNBQB0137JPP,0.00
SYGNBQB0147,0.00
SYGNBQB0148,0.00
SYGNBQB0149,0.00
SYGNBQB0150,0.00
SYGNBQB0167,0.00
SYGNBQB0168,0.00
SYGNBQB0169,0.00
SYGNBQB0170,0.00
SYGNBQB0171,0.00
SYGNBQB0172,0.00
SYGNBQB0173,0.00
SYGNBQB0174,0.00
SYGNBQB0175,0.00
SYGNBQB0176,0.00
SYGNBQB0177,0.00
SYGNBQB0178,0.00
SYGNBQB0179,0.00
SYGNBQB0180,0.00
SYGNBQB0181,0.00
SYGNBQB0182,0.00
SYGNBQB0183,0.00
SYGNBQB0184,0.00
SYGNBQB0185,0.00
SYGNBQB0186,0.00
SYGNBQB0187,0.00
SYGNBQB0188,0.00
SYGNBQB0189,0.00
SYGNBQB0190,0.00
SYGNBQB0191,0.00
SYGNBQB0192,0.00
