store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_battery,price,mapped_status,color
admin,base,Laptops,simple,"3,11",QCNBB001879,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion Tx1200(AMD TL-64 2.20GHz/2GB/200GB 10"")CNF7245YS2",15 Days Testing Warranty.,Pavillion Tx1200,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion Tx1200(AMD TL-64 2.20GHz/2GB/200GB 10"")CNF7245YS2",simple,15 Days Testing Warranty.,No,7.2V--55WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001880,2,"Catalog, Search",GST0.36,Lenovo,,QCNBK-B,"Lenovo-Z570(Pentium P6200 2.13GHz/2GB/500GB 15.6"")CB05206643",15 Days Testing Warranty.,Z570,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Z570(Pentium P6200 2.13GHz/2GB/500GB 15.6"")CB05206643",simple,15 Days Testing Warranty.,No,10.8V--48WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001881,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-INSP 1525(Core 2 Duo 1.00GHz/2GB/160GB 15.4"")G4R92BS",15 Days Testing Warranty.,INSP 1525,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1525(Core 2 Duo 1.00GHz/2GB/160GB 15.4"")G4R92BS",simple,15 Days Testing Warranty.,No,11.1V--48Wh,0.00,No,Purple
admin,base,Laptops,simple,"3,11",QCNBB001882,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP N 5010(Core I5 M460 2.53GHz/4GB/500GB 15.6"")1CBZVQ1",15 Days Testing Warranty.,INSP N 5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N 5010(Core I5 M460 2.53GHz/4GB/500GB 15.6"")1CBZVQ1",simple,15 Days Testing Warranty.,No,11.1V--56Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001883,2,"Catalog, Search",GST0.36,Lenovo,Core i7,QCNBK-B,"Lenovo-Y510p(Core i7 4700M 2.40GHz/6GB/1TB 15.6"")YB00141329",15 Days Testing Warranty.,Y510p,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Y510p(Core i7 4700M 2.40GHz/6GB/1TB 15.6"")YB00141329",simple,15 Days Testing Warranty.,No,10.8V--62wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001884,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion G4-1303AU(AMD A4 3330 2.20GHz/2GB/500GB 14"")5CD33107R4",15 Days Testing Warranty.,Pavilion G4-1303AU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion G4-1303AU(AMD A4 3330 2.20GHz/2GB/500GB 14"")5CD33107R4",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001885,2,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-Aspire ES1-40L7(AMD A4 6210 1.8GHz/4GB/1TB 15.6"")NXG2KSI010550098003400",15 Days Testing Warranty.,Aspire ES1-40L7,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire ES1-40L7(AMD A4 6210 1.8GHz/4GB/1TB 15.6"")NXG2KSI010550098003400",simple,15 Days Testing Warranty.,No,In Build,0.00,No,Black 
admin,base,Laptops,simple,"3,11",QCNBB001886,2,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F1NLBC023461027",15 Days Testing Warranty.,X205TA,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-X205TA(Atom Z3735F 1.33GHz/2GB/32GB 10.0"")F1NLBC023461027",simple,15 Days Testing Warranty.,No,In Build,0.00,No,Blue
admin,base,Laptops,simple,"3,11",QCNBB001887,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion DV4-114NR(Core 2 Duo T5800 2.0GHz/3GB/160GB 14"")CND84104LW",15 Days Testing Warranty.,Pavilion DV4-114NR,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion DV4-114NR(Core 2 Duo T5800 2.0GHz/3GB/160GB 14"")CND84104LW",simple,15 Days Testing Warranty.,No,10.8V--4400mAh,0.00,No,Rose
admin,base,Laptops,simple,"3,11",QCNBB001888,2,"Catalog, Search",GST0.36,Compaq,,QCNBK-B,"Compaq-Presario C700-740TU(Core 2 Duo T5450 1.66GHz/512MB/160GB 14"")CND749278D",15 Days Testing Warranty.,Presario C700-740TU,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Compaq-Presario C700-740TU(Core 2 Duo T5450 1.66GHz/512MB/160GB 14"")CND749278D",simple,15 Days Testing Warranty.,No,10.8V--4700mAh,0.00,No,Black
