store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,battery_power,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,expandable_storage_capacity,sim_type,camera,mapped_status,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,mobile_4g,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type
admin,base,Mobiles,simple,"4,94",OPMBAS00243,Samsung Galaxy Core Prime (Silver),/s/a/samsung-galaxy-core-prime-_silver_.jpg,/s/a/samsung-galaxy-core-prime-_silver_.jpg,/s/a/samsung-galaxy-core-prime-_silver_.jpg,"/Samsung-Galaxy-Core-Prime-White2.jpg,/Samsung-Galaxy-Core-Prime-White3.jpg,/Samsung-Galaxy-Core-Prime-White4.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Galaxy Core Prime (Silver),simple,Core Prime,0.2,,2.0 Megapixel,Yes,Yes,,,Email,,,Yes,,3.5 mm,,,No,Yes,,,,,Charcoal Grey,Yes,,1 GB,2000 mAh,,,2,1.4 GHz octa-core processor,11.43 cm (4.5 Inches),,5.0 Megapixel,8 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00250,Samsung GURU FM Plus (B110E) Dark Blue,/s/a/samsung-guru-fm-plus-b110e--dark-blue.jpg,/s/a/samsung-guru-fm-plus-b110e--dark-blue.jpg,/s/a/samsung-guru-fm-plus-b110e--dark-blue.jpg,"/samsung-guru-1200-white2.jpg,/samsung-guru-1200-white3.jpg,/samsung-guru-1200-white4.jpg,/samsung-guru-1200-white5.jpg",,128 x 128 Pixels,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung GURU FM Plus (B110E) Dark Blue,simple,B110E,0.2,,No,,No,,,,,,micro USB,,Yes,,,,,,,,45x108x13.2 mm,Blue,,,,800 mAh,Yes,,2,,3.81 cm (1.5 Inches),,No,,Feature Phone,TFT,6 Months Warranty.,Dual sim,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00242,Samsung Galaxy Core 2 SM-G355H (Black),/s/a/samsung-galaxy-core-2-g355h-black1_1.jpg,/s/a/samsung-galaxy-core-2-g355h-black1_1.jpg,/s/a/samsung-galaxy-core-2-g355h-black1_1.jpg,"/samsung-galaxy-core-2-sm-g355h-black2.jpg,/samsung-galaxy-core-2-sm-g355h-black3.jpg,/samsung-galaxy-core-2-sm-g355h-black4.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Galaxy Core 2 SM-G355H (Black),simple,Galaxy Core 2 SM-G355H,0.2,Micro Sim,0.3 Megapixel,"Yes, HD",Yes,,,Email,,Yes,"Yes micro USB, v2",Wi-Fi hotspot,3.5 mm,,,No,Yes 802.11 a/b/g/n,,Yes 21.1 Mbps HSPA+,Upto 7 hrs (3G),68.0 x 130.3 x 9.8 mm,Black,"Yes v4.0, A2DP",,768 MB,2000 mAh,Yes,,2,"1.2, Quad Core",11.43 cm (4.5 Inches),,5.0 Megapixel,4 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (KitKat),OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00235,Lenovo Z2 Plus (64GB White),/l/e/lenovo-zuk-z1-space-grey1.jpg,/l/e/lenovo-zuk-z1-space-grey1.jpg,/l/e/lenovo-zuk-z1-space-grey1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Lenovo,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Lenovo Z2 Plus (64GB White),simple,Lenovo Z2 Plus ,0.2,,8 Megapixel,,Yes,,,,,,,,3.5 mm,,,,Yes,,,,,White,Yes,,4 RAM,3500 mAh,,Yes,2,,,,13 Megapixel,64 GB,Smartphone,,6 Months Warranty.,,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00249,"SAMSUNG Z2 (Black, 8 GB)",/s/a/samsung-z2-_black_-8-gb_.jpg,/s/a/samsung-z2-_black_-8-gb_.jpg,/s/a/samsung-z2-_black_-8-gb_.jpg,"/Samsung-Z1-Z130H-Black2.jpg,/Samsung-Z1-Z130H-Black3.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"SAMSUNG Z2 (Black, 8 GB)",simple,SM-Z200FZKDINS,0.2,,,Yes,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,Black,Yes,,1 GB,1500 mAh,,,2,"1.5, Quad Core",10.16 cm (4 Inches),,5 Megapixel,8 GB,Smartphone,,6 Months Warranty.,Dual sim,"Tizen OS, v2.3",OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00241,Samsung Galaxy C9 Pro (C900F) 64GB Black,/s/a/samsung-galaxy-c9-pro-c900f.jpg,/s/a/samsung-galaxy-c9-pro-c900f.jpg,/s/a/samsung-galaxy-c9-pro-c900f.jpg,/Samsung-Galaxy-A5-Champagne-Gold2.jpg,,1920 x 1080 Pixels,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Galaxy C9 Pro (C900F) 64GB Black,simple,Galaxy C9 Pro,0.2,,16 Megapixel,Yes,Yes,,,Email,,,"Yes, micro USB, v2",,3.5 mm,Android,"GLONASS, with Google Maps",,"Yes, 802.11 a/b/g/n/ac",,Yes,,76.8 x 158 x 5.9 mm,,"Yes, v4.1",,6 GB,4000 mAh,,Yes,2,,15.24 cm (6 Inches),,16 Megapixel,64 GB,Smartphone,Super AMOLED,6 Months Warranty.,Dual sim,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00225,"Apple iPhone 7 Plus (Black, 128 GB)",/a/p/apple-iphone-7-plus-jet-black.jpeg,/a/p/apple-iphone-7-plus-jet-black.jpeg,/a/p/apple-iphone-7-plus-jet-black.jpeg,"/apple-iphone-6-plus-space-grey2.jpg,/apple-iphone-6-plus-space-grey3.jpg,/apple-iphone-6-plus-space-grey4.jpg,/apple-iphone-6-plus-space-grey5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Apple iPhone 7 Plus (Black, 128 GB)",simple,iPhone 7 Plus 128GB,0.2,Nano Sim,7.0 Megapixel,"Yes, Full HD",Yes,,,Email,,Yes,Yes,Yes,3.5 mm,Safari,,N/A,Yes,N/A,Yes,,,Black,Yes,,3 GB,2900 mAh,N/A,Yes,2,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,13.97 cm (5.5 Inches),,12 Megapixel,128 GB,Smartphone,IPS,6 Months Warranty.,Single sim,iOS 10,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00252,TARA T103 PLUS (Black & Blue ),/t/a/tara-t103-plus-black.jpg,/t/a/tara-t103-plus-black.jpg,/t/a/tara-t103-plus-black.jpg,"/Micromax-Canvas-Juice-2-Silver2.jpg,/Micromax-Canvas-Juice-2-Silver3.jpg,/Micromax-Canvas-Juice-2-Silver4.jpg",,,1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,0.00,0.2,"Catalog, Search",GST12,Tara,upto 8 GB,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul><li>Dual Sim</li><li>1.8 QVGA Display</li><li></li><li>800 MAH</li><li>32 MB</li></ul><ul>,0,0,TARA T103 PLUS (Black & Blue ),simple,,0.2,,,,,,,,,,Yes,,3.5 mm,,,,,,,,,BLACK & BLUE,Yes,,,800 mAh,Yes,,2,,,,0.3 Megapixel,32 MB,Feature Phone,,1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,Dual sim,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00234,Lenovo Z2 Plus PA500016IN (Black 32 GB) (Open box) ,/l/e/lenovo-z2-plus-black-32-gb.jpg,/l/e/lenovo-z2-plus-black-32-gb.jpg,/l/e/lenovo-z2-plus-black-32-gb.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Lenovo,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Lenovo Z2 Plus PA500016IN (Black 32 GB) (Open box) ,simple,Lenovo Z2 Plus ,0.2,,8 Megapixel,,Yes,,,,,,,,3.5 mm,,,,Yes,,,,,,Yes,,3 RAM,3500 mAh,,Yes,2,,,,13 Megapixel,32 GB,Smartphone,,6 Months Warranty.,,,OPENMOBNTF
admin,base,Mobiles,simple,"4,94",OPMBAS00255,"Yu Yureka Note (Black, 16 GB)  (3 GB RAM)",/y/u/yu-yureka-note-_black_-16-gb_-_3-gb-ram_.jpg,/y/u/yu-yureka-note-_black_-16-gb_-_3-gb-ram_.jpg,/y/u/yu-yureka-note-_black_-16-gb_-_3-gb-ram_.jpg,"/Micromax-Canvas-Express-A99-Silver2.jpg,/Micromax-Canvas-Express-A99-Silver3.jpg,/Micromax-Canvas-Express-A99-Silver4.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,YU,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Yu Yureka Note (Black, 16 GB)  (3 GB RAM)",simple,,0.2,,8 Megapixel,Yes,Yes,,,,,,Yes,,,,,,,,,,,Black,,,3 RAM,4000  mAh,Yes,Yes,2,,,,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPENMOBNTF
