sku,description,short_description,imp_desc
NEWMOB00351,"<ul><li>32 GB ROM</li>
<li>4.7 inch Retina HD Display</li>
<li>8MP Rear Camera | 1.2MP Front Camera</li>
<li>Li-Ion Battery</li>
<li>A8 Chip with 64-bit Architecture</li>
<li>M8 Motion Co-processor</li></ul>","<ul><li>32 GB ROM</li>
<li>4.7 inch Retina HD Display</li>
<li>8MP Rear Camera | 1.2MP Front Camera</li>
<li>Li-Ion Battery</li>
<li>A8 Chip with 64-bit Architecture</li>
<li>M8 Motion Co-processor</li></ul>","<ul><li>32 GB ROM</li>
<li>4.7 inch Retina HD Display</li>
<li>8MP Rear Camera | 1.2MP Front Camera</li>
<li>Li-Ion Battery</li>
<li>A8 Chip with 64-bit Architecture</li>
<li>M8 Motion Co-processor</li></ul>"
NEWMOB00137,"<ul><li>3 GB RAM | 32 GB ROM | Expandable Upto 2 TB</li>
<li>5.0 inch Full HD Display</li>
<li>20MP Rear Camera | 2.0MP Front Camera</li>
<li>2840 mAh Battery</li>
<li>2.2GHz Processor</li></ul>","<ul><li>3 GB RAM | 32 GB ROM | Expandable Upto 2 TB</li>
<li>5.0 inch Full HD Display</li>
<li>20MP Rear Camera | 2.0MP Front Camera</li>
<li>2840 mAh Battery</li>
<li>2.2GHz Processor</li></ul>","<ul><li>3 GB RAM | 32 GB ROM | Expandable Upto 2 TB</li>
<li>5.0 inch Full HD Display</li>
<li>20MP Rear Camera | 2.0MP Front Camera</li>
<li>2840 mAh Battery</li>
<li>2.2GHz Processor</li></ul>"
NEWMOB00156,"<ul><li>Android OS, v4.0 (Ice Cream Sandwich)</li>
<li>Dual SIM (GSM +GSM)</li> 
<li>1 Ghz Processor</li>
<li>3 MP Rear camera </li>
<li>Front Digital Camera</li>
<li>1450mAh Battery</li></ul>
","<ul><li>Android OS, v4.0 (Ice Cream Sandwich)</li>
<li>Dual SIM (GSM +GSM)</li> 
<li>1 Ghz Processor</li>
<li>3 MP Rear camera </li>
<li>Front Digital Camera</li>
<li>1450mAh Battery</li></ul>
","<ul><li>Android OS, v4.0 (Ice Cream Sandwich)</li>
<li>Dual SIM (GSM +GSM)</li> 
<li>1 Ghz Processor</li>
<li>3 MP Rear camera </li>
<li>Front Digital Camera</li>
<li>1450mAh Battery</li></ul>
"
NEWMOB00123,"<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 32 GB</li>
<li>4.5 inch FWVGA Display</li>
<li>8MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>SC7731G Processor</li></ul>
","<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 32 GB</li>
<li>4.5 inch FWVGA Display</li>
<li>8MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>SC7731G Processor</li></ul>
","<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 32 GB</li>
<li>4.5 inch FWVGA Display</li>
<li>8MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>SC7731G Processor</li></ul>
"
NEWMOB00169,"<ul><li>256 MB RAM | 512 MB ROM | Expandable Upto 32 GB</li>
<li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera | 0.3MP Front Camera</li>
<li>1450 mAh Li-Ion Battery</li></ul>
","<ul><li>256 MB RAM | 512 MB ROM | Expandable Upto 32 GB</li>
<li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera | 0.3MP Front Camera</li>
<li>1450 mAh Li-Ion Battery</li></ul>
","<ul><li>256 MB RAM | 512 MB ROM | Expandable Upto 32 GB</li>
<li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera | 0.3MP Front Camera</li>
<li>1450 mAh Li-Ion Battery</li></ul>
"
NEWMOB00234,"<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
<li>5 inch HD Display
<li>8MP Rear Camera | 5MP Front Camera
<li>3200 mAh Li-Polymer Battery
<li>0 0 Quad Core 1.3GHz Processor</li></ul>
","<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
<li>5 inch HD Display
<li>8MP Rear Camera | 5MP Front Camera
<li>3200 mAh Li-Polymer Battery
<li>0 0 Quad Core 1.3GHz Processor</li></ul>
","<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
<li>5 inch HD Display
<li>8MP Rear Camera | 5MP Front Camera
<li>3200 mAh Li-Polymer Battery
<li>0 0 Quad Core 1.3GHz Processor</li></ul>
"
NEWMOB00252,"<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 128 GB</li>
<li>4.7 inch quarter HD Display</li>
<li>5MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>Exynos 3475 Quad Core 1.3GHz Processor</li></ul>
","<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 128 GB</li>
<li>4.7 inch quarter HD Display</li>
<li>5MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>Exynos 3475 Quad Core 1.3GHz Processor</li></ul>
","<ul><li>1 GB RAM | 8 GB ROM | Expandable Upto 128 GB</li>
<li>4.7 inch quarter HD Display</li>
<li>5MP Rear Camera | 2MP Front Camera</li>
<li>2000 mAh Battery</li>
<li>Exynos 3475 Quad Core 1.3GHz Processor</li></ul>
"
OPMBNTF0383,"<ul><li>4.5 inch FWVGA Display</li>
<li>1GB RAM | 8GB ROM | Expandable Upto 64GB</li>
<li>5MP Rear Camera | 5MP Selfie Camera</li>
<li>1.3 GHz Quad Core Processor</li>
<li>Android v6.0 (Marshmallow) OS</li>
<li>2000 mAh Lithium-ion Battery</li></ul>
","<ul><li>4.5 inch FWVGA Display</li>
<li>1GB RAM | 8GB ROM | Expandable Upto 64GB</li>
<li>5MP Rear Camera | 5MP Selfie Camera</li>
<li>1.3 GHz Quad Core Processor</li>
<li>Android v6.0 (Marshmallow) OS</li>
<li>2000 mAh Lithium-ion Battery</li></ul>
","<ul><li>4.5 inch FWVGA Display</li>
<li>1GB RAM | 8GB ROM | Expandable Upto 64GB</li>
<li>5MP Rear Camera | 5MP Selfie Camera</li>
<li>1.3 GHz Quad Core Processor</li>
<li>Android v6.0 (Marshmallow) OS</li>
<li>2000 mAh Lithium-ion Battery</li></ul>
"
OPMBNTF0619,"<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Li-Polymer Battery</li>
<li>Intel Intel Atom Z3560 Quad Core 1.8GHz Processor</li></ul>
","<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Li-Polymer Battery</li>
<li>Intel Intel Atom Z3560 Quad Core 1.8GHz Processor</li></ul>
","<ul><li>2 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5.5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Li-Polymer Battery</li>
<li>Intel Intel Atom Z3560 Quad Core 1.8GHz Processor</li></ul>
"
OPMBNTF0367,"<ul><li>3 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Battery</li>
<li>Kirin 920 Processor</li></ul>
","<ul><li>3 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Battery</li>
<li>Kirin 920 Processor</li></ul>
","<ul><li>3 GB RAM | 16 GB ROM | Expandable Upto 64 GB</li>
<li>5 inch Full HD Display</li>
<li>13MP Rear Camera | 5MP Front Camera</li>
<li>3000 mAh Battery</li>
<li>Kirin 920 Processor</li></ul>
"
