sku,laptop_remark
OPMBNTFB0457,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0616,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0702,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0001,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0003,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0004,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0006,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0008,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0011,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0013,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0014,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
OPMBNTFB0015,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty  6 months . Price  will be around 10% lesser than Open Box Grade A what we are selling currently.
