sku,status
QCNBB000371,1
QCNBB000820,1
QCNBB000660,1
QCNBB000727,1
SYGNBQB0036,1
QCNBB001027,1
QCNBB001087,1
QCNBB001526,1
QCNBB001530,1
QCNBB001538,1
QCNBB001641,1
QCNBB001652,1
QCNBB001655,1
QCNBB001656,1
QCNBB001663,1
QCNBB001671,1
QCNBB001674,1
QCNBB001675,1
QCNBB000220,1
QCNBB000515,1
QCNBB001054,1
QCNBB001078,1
QCNBB001195,1
QCNBB001196,1
QCNBB001204,1
QCNBB001514,1
QCNBB001651,1
QCNBB001653,1
QCNBB001665,1
QCNBB001673,1
QCNBB001251,1
QCNBB001254,1
QCNBB001259,1
QCNBB001269,1
QCNBB001270,1
QCNBB001276,1
QCNBB001313,1
QCNBB001334,1
QCNBB000940,1
QCNBB001139,1
QCNBB001339,1
QCNBB001390,1
QCNBB001238,1
QCNBB001248,1
QCNBB001260,1
QCNBB001261,1
QCNBB001265,1
QCNBB001284,1
QCNBB001287,1
QCNBB001290,1
QCNBB001291,1
QCNBB001293,1
QCNBB001305,1
QCNBB001306,1
QCNBB001318,1
QCNBB001330,1
QCNBB000225,1
QCNBB000949,1
QCNBB001198,1
QCNBB001345,1
QCNBB001348,1
QCNBB001372,1
QCNBB001374,1
QCNBB001378,1
QCNBB001389,1
QCNBB001513,1
QCNBB001519,1
QCNBB001520,1
QCNBB001531,1
QCNBB001536,1
QCNBB001605,1
QCNBB001607,1
QCNBB001356,1
QCNBB001359,1
QCNBB001361,1
QCNBB001342,1
QCNBB001245,1
QCNBB001246,1
QCNBB001247,1
QCNBB001249,1
QCNBB001268,1
QCNBB001275,1
QCNBB001295,1
QCNBB001300,1
QCNBB001308,1
QCNBB001309,1
QCNBB001314,1
QCNBB001317,1
QCNBB001324,1
QCNBB001327,1
QCNBB001336,1
QCNBB001337,1
QCNBB000097,1
QCNBB000434,1
QCNBB000708,1
QCNBB001340,1
QCNBB001362,1
QCNBB001367,1
QCNBB001371,1
SYGNBQB0061,1
SYGNBQB0101,1
QCNBB001347,1
QCNBB001344,1
QCNBB001351,1
QCNBB001358,1
QCNBB000150,1
QCNBB000205,1
QCNBB000513,1
QCNBB000530,1
QCNBB000809,1
QCNBB001353,1
QCNBB001352,1
QCNBB001256,1
SYGNBQB0069,1
SYGNBQB0070,1
SYGNBQB0075,1
SYGNBQB0115,1
QCNBB001123,1
QCNBB000115,1
QCNBB000314,1
SYGNBQB0083,1
QCNBB000817,1
QCNBB000525,1
QCNBB000213,1
QCNBB000336,1
QCNBB000337,1
QCNBB000328,1
QCNBB000415,1
QCNBB001122,1
SYGNBQB0029,1
QCNBB000587,1
QCNBB000036,1
QCNBB000603,1
SYGNBQB0125,1
SYGNBQB0126,1
QCNBB001393,1
QCNBB000235,1
QCNBB000049,1
SYGNBQB0228,1
SYGNBQB0230,1
SYGNBQB0119,1
QCNBB000504,1
SYGNBQB0251,1
QCNBB000329,1
QCPNBK00249,1
SYGNBQB0215,1
SYGNBQB0216,1
SYGNBQB0218,1
SYGNBQB0219,1
SYGNBQB0220,1
SYGNBQB0221,1
SYGNBQB0223,1
SYGNBQB0224,1
SYGNBQB0225,1
SYGNBQB0226,1
SYGNBQB0231,1
SYGNBQB0234,1
SYGNBQB0238,1
SYGNBQB0239,1
SYGNBQB0240,1
SYGNBQB0241,1
SYGNBQB0243,1
SYGNBQB0246,1
QCNBB000325,1
QCNBB001510,1
SYGNBQB0260,1
SYGNBQB0263,1
QCNBB000006,1
QCNBB000125,1
QCNBB000146,1
QCNBB000426,1
QCPNBK00245,1
SYGNBQB0235,1
QCNBB000577,1
QCNBB000003,1
QCNBB000064,1
QCNBB000667,1
SYGNBQB0043,1
SYGNBQB0133,1
QCNBB000343,1
SYGNBQB0137,1
SYGNBQB0138,1
SYGNBQB0140,1
SYGNBQB0141,1
SYGNBQB0142,1
SYGNBQB0143,1
SYGNBQB0144,1
SYGNBQB0145,1
SYGNBQB0120,1
