sku,status
NEWMOB00031,1
NEWMOB00055,1
NEWMOB00059,1
NEWMOB00069,1
NEWMOB00074,1
NEWMOB00076,1
NEWMOB00081,1
NEWMOB00084,1
NEWMOB00085,1
NEWMOB00101,1
NEWMOB00113,1
NEWMOB00129,1
NEWMOB00135,1
NEWMOB00181,1
NEWMOB00214,1
NEWMOB00220,1
NEWMOB00237,1
NEWMOB00238,1
NEWMOB00266,1
NEWMOB00282,1
NEWMOB00287,1
NEWMOB00294,1
NEWMOB00382,1
NEWMOB00126,1
NEWMOB00134,1
NEWMOB00241,1
NEWMOB00245,1
NEWMOB00250,1
NEWMOB00251,1
NEWMOB00257,1
NEWMOB00258,1
NEWMOB00292,1
NEWMOB00347,1
NEWMOB00356,1
NEWMOB00397,1
NEWMOB00455,1
NEWMOB00456,1
