sku,mapped_status
MOBBBQ10BK,No
MOBBBZ3PK,No
OPMBNTF0772,No
OPMBNTF0776,No
OPMBNTF0773,No
OPMBNTF0775,No
OPMBNTF0774,No
OPMBNTF0778,No
OPMBNTF0777,No
QCNBB001544,No
QCNBB001562,No
QCNBB001623,No
QCNBB001624,No
QCNBB001625,No
QCNBB001626,No
QCNBB001627,No
QCNBB001628,No
QCNBB001629,No
QCNBB001630,No
QCNBB001631,No
QCNBB001632,No
QCNBB001633,No
QCNBB001634,No
QCNBB001635,No
QCNBB001636,No
QCNBB001637,No
QCNBB001638,No
SYGNBQB0248,No
SYGNBQB0249,No
SYGNBQB0250,No
QCNBB001639,No
QCNBB001640,No
QCNBB001641,No
QCNBB001642,No
QCNBB001643,No
QCNBB001644,No
QCNBB001645,No
QCNBB001646,No
QCNBB001647,No
QCNBB001648,No
QCNBB001649,No
QCNBB001650,No
QCNBB001651,No
QCNBB001652,No
QCNBB001653,No
QCNBB001654,No
QCNBB001655,No
QCNBB001656,No
QCNBB001657,No
QCNBB001658,No
QCNBB001659,No
QCNBB001660,No
QCNBB001661,No
QCNBB001662,No
QCNBB001663,No
QCNBB001664,No
QCNBB001665,No
QCNBB001666,No
QCNBB001667,No
QCNBB001668,No
QCNBB001669,No
QCNBB001670,No
QCNBB001671,No
QCNBB001672,No
QCNBB001673,No
QCNBB001674,No
QCNBB001675,No
QCNBB001676,No
QCNBB001677,No
QCNBB001678,No
QCNBB001679,No
QCNBB001680,No
QCNBB001681,No
QCNBB001682,No
QCNBB001683,No
QCNBB001684,No
QCNBB001685,No
QCNBB001686,No
QCNBB001687,No
QCNBB001688,No
QCNBB001689,No
QCNBB001690,No
QCNBB001691,No
QCNBB001692,No
QCNBB001693,No
QCNBB001694,No
QCNBB001695,No
QCNBB001696,No
QCNBB001697,No
QCNBB001698,No
QCNBB001699,No
QCNBB001700,No
QCNBB001701,No
QCNBB001702,No
QCNBB001703,No
QCNBB001704,No
QCNBB001705,No
QCNBB001706,No
QCNBB001707,No
QCNBB001708,No
QCNBB001709,No
QCNBB001710,No
QCNBB001711,No
QCNBB001712,No
QCNBB001713,No
QCNBB001714,No
QCNBB001715,No
QCNBB001717,No
QCNBB001718,No
QCNBB001719,No
QCNBB001720,No
QCNBB001721,No
QCNBB001722,No
