sku,qty,is_in_stock
NEWMOB00003,1,1
NEWMOB00015,5,1
NEWMOB00020,9,1
NEWMOB00021,19,1
NEWMOB00028,8,1
NEWMOB00039,3,1
NEWMOB00045,17,1
NEWMOB00205,16,1
NEWMOB00331,7,1
NEWMOB00333,5,1
NEWMOB00368,1,1
NEWNBK00016,3,1
OPMBNTF0002,15,1
OPMBNTF0004,41,1
OPMBNTF0009,4,1
OPMBNTF0016,9,1
OPMBNTF0023,250,1
OPMBNTF0041,22,1
OPMBNTF0052,55,1
OPMBNTF0070,2,1
OPMBNTF0083,13,1
OPMBNTF0088,2,1
OPMBNTF0089,15,1
OPMBNTF0121,2,1
OPMBNTF0436,20,1
OPMBNTF0495,45,1
OPMBNTF0496,3,1
OPMBNTF0604,6,1
OPMBNTF0650,59,1
OPMBNTF0657,5,1
OPMBNTF0725,25,1
OPMBNTF0726,11,1
OPMBNTF0727,13,1
OPMBNTFB0019,17,1
OPMBNTFB0020,15,1
OPMBNTFB0035,5,1
OPNBNTF0009,1,1
OPNBNTF0011,2,1
OPNBNTF0115,5,1
OPNBNTF0127,6,1
OPNBNTF0139,4,1
QCMBB000004,12,1
QCMBB000158,13,1
REFDE00034,2,1
REFDE00081,19,1
REFDE00128,6,1
,,
