store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,is_superdeal,product_category_type,name,url_key,warrenty,model_no,laptop_remark,weight,description,short_description,imp_desc,price,qty,is_in_stock,product_name,laptop_warranty_summary,laptop_battery
admin,base,Laptops,simple,"3,11",ASNBB001071,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 5745 (Core I3 M350 2.27GHz/3GB/500GB 15.6"")-LXPTW0C0230240F1592500",acer-aspire-5745-lxptw0c0230240f1592500-asnbb001071,15 Days Testing Warranty.,Aspire 5745,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 5745 (Core I3 M350 2.27GHz/3GB/500GB 15.6"")-LXPTW0C0230240F1592500",15 Days Testing Warranty.,11.1V--4400mAh
admin,base,Laptops,simple,"3,11",ASNBB001072,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 4830T (Core I3 2330M 2.20GHz/4GB/500GB 14.0"")-LXRGP0100713202E061601 ",acer-aspire-4830t-lxrgp0100713202e061601-asnbb001072,15 Days Testing Warranty.,Aspire 4830T,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 4830T (Core I3 2330M 2.20GHz/4GB/500GB 14.0"")-LXRGP0100713202E061601 ",15 Days Testing Warranty.,In Build
admin,base,Laptops,simple,"3,11",ASNBB001073,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Travelmate P643 (Core I3 2370M 2.40GHz/4GB/320GB 14.0"")-NXV7HSI007230018C92000",acer-travelmate-p643-nxv7hsi007230018c92000-asnbb001073,15 Days Testing Warranty.,Travelmate P643,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Travelmate P643 (Core I3 2370M 2.40GHz/4GB/320GB 14.0"")-NXV7HSI007230018C92000",15 Days Testing Warranty.,11.1V--6000mAh
admin,base,Laptops,simple,"3,11",ASNBB001074,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 5830T (Core I3 2310M 2.10GHZ/2GB/500GB 15.6"")-LXRHM01001127175451601 ",acer-aspire-5830t-lxrhm01001127175451601-asnbb001074,15 Days Testing Warranty.,Aspire 5830T,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 5830T (Core I3 2310M 2.10GHZ/2GB/500GB 15.6"")-LXRHM01001127175451601 ",15 Days Testing Warranty.,In Build
admin,base,Laptops,simple,"3,11",ASNBB001075,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 4752 (Core I3 2350M 2.20GHz/4GB/500GB 14.0"")-NXRTHSI00121105E196600",acer-aspire-4752-nxrthsi00121105e196600-asnbb001075,15 Days Testing Warranty.,Aspire 4752,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 4752 (Core I3 2350M 2.20GHz/4GB/500GB 14.0"")-NXRTHSI00121105E196600",15 Days Testing Warranty.,11.1V--48Wh
admin,base,Laptops,simple,"3,11",ASNBB001076,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-E5-471 (Core I3 -4030U 1.97GHZ/4GB/120GB 15.6"")-NXMN6SI004433293D57600",acer-e5-471-nxmn6si004433293d57600-asnbb001076,15 Days Testing Warranty.,E5-471,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-E5-471 (Core I3 -4030U 1.97GHZ/4GB/120GB 15.6"")-NXMN6SI004433293D57600",15 Days Testing Warranty.,11.1V--56WH
admin,base,Laptops,simple,"3,11",ASNBB001077,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Traval Mate P643-M (Core I3 2370M 2.40GHz/4GB/320Gb 15.0"")-NXV7HSI007229108AF2000",acer-traval-mate-p643-m-nxv7hsi007229108af2000-asnbb001077,15 Days Testing Warranty.,Traval Mate P643-M,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Traval Mate P643-M (Core I3 2370M 2.40GHz/4GB/320Gb 15.0"")-NXV7HSI007229108AF2000",15 Days Testing Warranty.,11.1V--6000mAh
admin,base,Laptops,simple,"3,11",ASNBB001078,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Travelmate (Core I3 2310M 2.10GHz/2GB/320GB 14.1"")-LXV420101012719D4C2000",acer-travelmate-lxv420101012719d4c2000-asnbb001078,15 Days Testing Warranty.,Travelmate,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Travelmate (Core I3 2310M 2.10GHz/2GB/320GB 14.1"")-LXV420101012719D4C2000",15 Days Testing Warranty.,10.8V--4400mAh
admin,base,Laptops,simple,"3,11",ASNBB001079,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire E1-571 (Core I3 2350M 2.30GHz/2GB/500GB 15.6"")-NXM09SI00521509E651601",acer-aspire-e1-571-nxm09si00521509e651601-asnbb001079,15 Days Testing Warranty.,Aspire E1-571,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire E1-571 (Core I3 2350M 2.30GHz/2GB/500GB 15.6"")-NXM09SI00521509E651601",15 Days Testing Warranty.,10.8V--4400mAh
admin,base,Laptops,simple,"3,11",ASNBB001080,2,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,Core i3,No,QCNBK-B,"Acer-Aspire 5750 (Core I3 2330M 2.20GHz/2GB/500GB 15.6"")-LXRLY0C053131082A1601",acer-aspire-5750-lxrly0c053131082a1601-asnbb001080,15 Days Testing Warranty.,Aspire 5750,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,0,"Acer-Aspire 5750 (Core I3 2330M 2.20GHz/2GB/500GB 15.6"")-LXRLY0C053131082A1601",15 Days Testing Warranty.,11.1V--4400MAh
