order_id,order_status,order_state,payment_method
200101798,canceled,canceled,custompayment
200111826,canceled,canceled,billdesk_ccdc_net
200111827,shipped,complete,billdesk_ccdc_net
200111828,shipped,complete,billdesk_ccdc_net
200111829,shipped,complete,paytm_cc
200111830,canceled,canceled,billdesk_ccdc_net
200111831,billdeskpending,new,billdesk_ccdc_net
200111832,billdeskpending,new,billdesk_ccdc_net
200111833,canceled,canceled,paytm_cc
200111834,canceled,canceled,billdesk_ccdc_net
200111835,billdeskpending,new,billdesk_ccdc_net
200111836,out_for_delivery,out_for_delivery,cashondelivery
200111837,shipped,complete,banktransfer
200111838,shipped,complete,billdesk_ccdc_net
200111839,billdeskpending,new,billdesk_ccdc_net
200111840,custompayment,new,custompayment
200111841,shipped,complete,billdesk_ccdc_net
200111842,billdeskpending,new,billdesk_ccdc_net
200111843,shipped,complete,billdesk_ccdc_net
200111844,shipped,complete,billdesk_ccdc_net
200111845,shipped,complete,banktransfer
200111846,canceled,canceled,replace
200111847,out_for_delivery,out_for_delivery,cashondelivery
200111848,shipped,complete,billdesk_ccdc_net
200111849,out_for_delivery,out_for_delivery,cashondelivery
200111850,canceled,canceled,cashondelivery
200111851,out_for_delivery,out_for_delivery,cashondelivery
200111852,shipped,complete,banktransfer
200111853,shipped,complete,billdesk_ccdc_net
200111854,shipped,complete,banktransfer
200111855,shipped,complete,banktransfer
200111856,billdeskpending,new,billdesk_ccdc_net
200111857,shipped,complete,banktransfer
200111858,out_for_delivery,out_for_delivery,cashondelivery
200111859,billdeskpending,new,billdesk_ccdc_net
200111860,canceled,canceled,billdesk_ccdc_net
200111861,shipped,complete,billdesk_ccdc_net
200111862,billdeskpending,new,billdesk_ccdc_net
200111863,shipped,complete,banktransfer
200111864,shipped,complete,banktransfer
200111865,shipped,complete,custompayment
200111866,shipped,complete,custompayment
200111867,billdeskpending,new,billdesk_ccdc_net
200111868,shipped,complete,banktransfer
200111869,shipped,complete,banktransfer
200111870,delivered,complete,banktransfer
200111871,out_for_delivery,out_for_delivery,cashondelivery
200111872,shipped,complete,banktransfer
200111874,shipped,complete,custompayment
200111875,custompayment,new,custompayment
200111876,shipped,complete,billdesk_ccdc_net
200111877,billdeskpending,new,billdesk_ccdc_net
200111878,shipped,complete,banktransfer
200111879,shipped,complete,banktransfer
200111880,custompayment,new,custompayment
200111881,shipped,complete,billdesk_ccdc_net
200111882,shipped,complete,billdesk_ccdc_net
200111883,shipped,complete,custompayment
200111884,shipped,complete,custompayment
200111885,delivered,complete,banktransfer
200111886,shipped,complete,banktransfer
200111887,shipped,complete,billdesk_ccdc_net
200111888,canceled,canceled,billdesk_ccdc_net
200111889,shipped,complete,billdesk_ccdc_net
200111890,shipped,complete,banktransfer
200111891,shipped,complete,billdesk_ccdc_net
