Shipment Id,Shipping Carrier,Carrier Code,AWB Number
300082384,DHL,DHL,3674501
300082385,DHL,DHL,3688300
300082386,DHL,DHL,3674502
300082387,DHL,DHL,3674503
300082388,DHL,DHL,3674498
300082389,Bluedart,bluedart,57993027971
300082390,DHL,DHL,3674504
300082391,DHL,DHL,3674505
300082392,DHL,DHL,3674506
300082393,DHL,DHL,3674507
300082394,Bluedart,bluedart,57993034960
300082395,DHL,DHL,3674512
300082396,Bluedart,bluedart,53384417623
300082397,DHL,DHL,3674511
300082398,Bluedart,bluedart,53384418323
300082399,Bluedart,bluedart,53384418334
300082400,Bluedart,bluedart,57993046112
300082401,DHL,DHL,3674510
300082402,DHL,DHL,3674508
300082403,DHL,DHL,3674509
300082404,DHL,DHL,3674515
300082405,DHL,DHL,3674513
300082406,DHL,DHL,3674514
300082407,Bluedart,bluedart,57993058465
300082408,Ecom express,ecom_express,207742561
300082409,Ecom express,ecom_express,207742562
300082410,Ecom Express,ecom_express,207742567
300082411,DHL,DHL,3674517
300082412,DHL,DHL,3674516
300082413,Ecom express,ecom_express,207742563
300082414,DHL,DHL,3674518
300082415,Bluedart,bluedart,57993097400
300082416,DHL,DHL,3674519
300082417,DHL,DHL,3674520
300082418,Ecom express,ecom_express,207742564
300082419,Bluedart,bluedart,57993086653
300082420,DHL,DHL,3674522
300082421,DHL,DHL,3674535
300082422,DHL,DHL,3674521
300082423,DHL,DHL,3674534
300082424,DHL,DHL,3674526
300082425,Ecom express,ecom_express,207742565
300082426,Ecom express,ecom_express,207742566
300082427,Ecom,ecom,873250048
300082428,Bluedart,bluedart,57993097131
300082429,Bluedart,bluedart,57993097142
300082430,Bluedart,bluedart,57993097153
300082431,Bluedart,bluedart,53384450173
300082432,Bluedart,bluedart,57993097875
300082433,DHL,DHL,3674523
300082434,Bluedart,bluedart,57993107130
300082435,Bluedart,bluedart,57993109344
300082436,DHL,DHL,3674524
300082437,Bluedart,bluedart,53384458470
300082438,DHL,DHL,3674525
300082439,DHL,DHL,3674533
300082440,DHL,DHL,3674531
300082441,Bluedart,bluedart,57993118540
300082442,Bluedart,bluedart,53384466122
300082443,DHL,DHL,3674527
300082444,Bluedart,bluedart,53384466144
300082445,Bluedart,bluedart,53384466155
300082446,DHL,DHL,3674528
300082447,DHL,DHL,3674529
300082448,Bluedart,bluedart,57993121874
300082449,DHL,DHL,3674530
300082450,Ecom,ecom,873250049
300082451,DHL,DHL,3674532
300082452,Ecom,ecom,873250050
300082453,Ecom,ecom,873250051
300082454,Bluedart,bluedart,53384476445
300082455,Ecom,ecom,873250052
300082456,Bluedart,bluedart,53384476456
300082457,Ecom,ecom,873250053
300082458,Ecom,ecom,873250054
300082459,DHL,DHL,3674536
300082460,Ecom,ecom,873250055
300082461,Ecom,ecom,873250056
300082462,Ecom,ecom,873250057
300082463,DHL,DHL,3674537
300082464,Ecom,ecom,873250058
300082465,Bluedart,bluedart,57993128082
300082466,Ecom,ecom,873250059
300082467,Ecom express,ecom_express,207742568
300082468,Ecom,ecom,873250060
300082469,Bluedart,bluedart,57993128093
300082470,Ecom,ecom,873250061
300082471,Bluedart,bluedart,53384476460
300082472,Ecom,ecom,873250062
300082473,DHL,DHL,3674538
300082474,Ecom,ecom,873250063
300082475,Bluedart,bluedart,53384479971
300082476,Ecom,ecom,873250064
300082477,DHL,DHL,3674545
300082478,Bluedart,bluedart,53384479982
300082479,Bluedart,bluedart,53384480004
300082480,Ecom express,ecom_express,207742569
300082481,DHL,DHL,3674539
300082482,DHL,DHL,3674542
300082483,DHL,DHL,3674540
300082484,DHL,DHL,3674541
300082485,DHL,DHL,3674543
300082486,Ecom express,ecom_express,207742570
300082487,DHL,DHL,3674544
