store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,is_superdeal,mapped_status,product_category_type,name,image,small_image,thumbnail,gallery,url_key,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,gift_message_available,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,laptop_warranty_summary,laptop_ram,laptop_operating_system,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001458,2,No,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,,No,No,QCNBK-B,Dell-Vostro 2520(CORE I33120M / 2.50GHZ / 4GB / 500GB 15.6'') 2V9ZGY1,,,,,dell-vostro-2520-core-i33120m-2.50ghz-4gb-500gb-15.6-2v9zgy1-qcnbb001458,,,,,,,,No,15 Days Testing Warranty.,Vostro 2520,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Vostro 2520(CORE I33120M / 2.50GHZ / 4GB / 500GB 15.6'') 2V9ZGY1,0,simple,15 Days Testing Warranty.,,,No,No,11.1V 48WH,Grey 
admin,base,Laptops,simple,"3,11",QCNBB001459,2,No,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,,No,No,QCNBK-B,Dell-Insp N5010(CORE I3M350 / 2.27GHZ / 3GB / 320GB 15.6'') JZMP6BS,,,,,dell-insp-n5010-core-i3m350-2.27ghz-3gb-320gb-15.6-jzmp6bs-qcnbb001459,,,,,,,,No,15 Days Testing Warranty.,Insp N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Insp N5010(CORE I3M350 / 2.27GHZ / 3GB / 320GB 15.6'') JZMP6BS,0,simple,15 Days Testing Warranty.,,,No,No,11.1V 56WH,Blue
admin,base,Laptops,simple,"3,11",QCNBB001460,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,,No,No,QCNBK-B,"HP-Pavillion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"") 5CD2418515",,,,,hp-pavillion-g6-core-i5-3210m-2.50ghz-4gb-500gb-15.6-5cd2418515-qcnbb001460,,,,,,,,No,15 Days Testing Warranty.,Pavillion G6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"") 5CD2418515",0,simple,15 Days Testing Warranty.,,,No,No,10.8V4200mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001461,2,No,"Catalog, Search",GST0.36,LENOVO,Yes,Yes,Yes,,No,No,QCNBK-B,"Lenovo-2957(Atom N280 1.66GHz/1GB/80GB 10.1"") CBQ0638341",,,,,lenovo-2957-atom-n280-1.66ghz-1gb-80gb-10.1-cbq0638341-qcnbb001461,,,,,,,,No,15 Days Testing Warranty.,2957,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-2957(Atom N280 1.66GHz/1GB/80GB 10.1"") CBQ0638341",0,simple,15 Days Testing Warranty.,,,No,No,10.8V47Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001462,2,No,"Catalog, Search",GST0.36,HP,Yes,Yes,Yes,,No,No,QCNBK-B,"HP-Pavilion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"") 5CD2302V4C",,,,,hp-pavilion-g6-core-i5-3210m-2.50ghz-4gb-500gb-15.6-5cd2302v4c-qcnbb001462,,,,,,,,No,15 Days Testing Warranty.,Pavilion G6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavilion G6(Core I5 3210M 2.50GHz/4GB/500GB 15.6"") 5CD2302V4C",0,simple,15 Days Testing Warranty.,,,No,No,10.8V4400mAh,Black
admin,base,Laptops,simple,"3,11",QCNBB001463,2,No,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,,No,No,QCNBK-B,"Acer-Aspire One (Atom N570 1.66GHz/2GB/320GB 10.1"") LUSFY080291330227C7600",,,,,acer-aspire-one-atom-n570-1.66ghz-2gb-320gb-10.1-lusfy080291330227c7600-qcnbb001463,,,,,,,,No,15 Days Testing Warranty.,Aspire One ,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire One (Atom N570 1.66GHz/2GB/320GB 10.1"") LUSFY080291330227C7600",0,simple,15 Days Testing Warranty.,,,No,No,11.1V49Wh,Sky Blue / White
admin,base,Laptops,simple,"3,11",QCNBB001464,2,No,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,,No,No,QCNBK-B,"Acer-Aspire 5733Z(Pentium P6200 2.13GHz/2GB/500GB 15.6"") LXRJW0C03413427CAB1601",,,,,acer-aspire-5733z-pentium-p6200-2.13ghz-2gb-500gb-15.6-lxrjw0c03413427cab1601-qcnbb001464,,,,,,,,No,15 Days Testing Warranty.,Aspire 5733Z,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-Aspire 5733Z(Pentium P6200 2.13GHz/2GB/500GB 15.6"") LXRJW0C03413427CAB1601",0,simple,15 Days Testing Warranty.,,,No,No,10.8V4400mAh,Grey
admin,base,Laptops,simple,"3,11",QCNBB001465,2,No,"Catalog, Search",GST0.36,Asus,Yes,Yes,Yes,,No,No,QCNBK-B,"Asus-E200H(ATOM X5Z8300 1.44GHz/2GB/32GB 11"") G2NLCX03N21408B",,,,,asus-e200h-atom-x5z8300-1.44ghz-2gb-32gb-11-g2nlcx03n21408b-qcnbb001465,,,,,,,,No,15 Days Testing Warranty.,E200H,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-E200H(ATOM X5Z8300 1.44GHz/2GB/32GB 11"") G2NLCX03N21408B",0,simple,15 Days Testing Warranty.,,,No,No,In Build,White
admin,base,Laptops,simple,"3,11",QCNBB001466,2,No,"Catalog, Search",GST0.36,Asus,Yes,Yes,Yes,,No,No,QCNBK-B,"Asus-E200H(ATOM X5Z8300 1.44GHz/2GB/32GB 11"") G2NLCX03R99708B",,,,,asus-e200h-atom-x5z8300-1.44ghz-2gb-32gb-11-g2nlcx03r99708b-qcnbb001466,,,,,,,,No,15 Days Testing Warranty.,E200H,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-E200H(ATOM X5Z8300 1.44GHz/2GB/32GB 11"") G2NLCX03R99708B",0,simple,15 Days Testing Warranty.,,,No,No,In Build,Blue
admin,base,Laptops,simple,"3,11",QCNBB001467,2,No,"Catalog, Search",GST0.36,Asus,Yes,Yes,Yes,,No,No,QCNBK-B,"Asus-X205T(Atom Z3735 F 1.33GHz/2GB/32GB 11"") FBNLCX306247489",,,,,asus-x205t-atom-z3735-f-1.33ghz-2gb-32gb-11-fbnlcx306247489-qcnbb001467,,,,,,,,No,15 Days Testing Warranty.,X205T,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Asus-X205T(Atom Z3735 F 1.33GHz/2GB/32GB 11"") FBNLCX306247489",0,simple,15 Days Testing Warranty.,,,No,No,In Build,Blue
