sku,status
QCMBA000001,2
QCMBA000002,2
QCMBA000004,2
QCMBA000006,2
QCMBA000009,2
QCMBA000013,2
QCMBA000014,2
QCMBA000015,2
QCMBA000016,2
QCMBA000017,2
QCMBA000018,2
QCMBA000020,2
QCMBA000023,2
QCMBA000024,2
QCMBA000025,2
QCMBA000026,2
QCMBA000028,2
QCMBA000029,2
QCMBA000030,2
QCMBA000031,2
QCMBA000033,2
QCMBA000034,2
QCMBA000035,2
QCMBA000036,2
QCMBA000037,2
QCMBA000038,2
QCMBA000039,2
QCMBA000040,2
QCMBA000041,2
QCMBA000042,2
QCMBA000043,2
QCMBA000044,2
QCMBA000045,2
QCMBA000046,2
QCMBA000049,2
QCMBA000050,2
QCMBA000051,2
QCMBA000052,2
QCMBA000055,2
QCMBA000057,2
QCMBA000063,2
QCMBA000064,2
QCMBA000066,2
QCMBB000008,2
QCMBB000011,2
QCMBB000012,2
QCMBB000019,2
QCMBB000021,2
QCMBB000025,2
QCMBB000029,2
QCMBB000030,2
QCMBB000031,2
QCMBB000032,2
QCMBB000034,2
QCMBB000037,2
QCMBB000038,2
QCMBB000039,2
QCMBB000040,2
QCMBB000042,2
QCMBB000044,2
QCMBB000049,2
QCMBB000051,2
QCMBB000052,2
QCMBB000056,2
QCMBB000058,2
QCMBB000059,2
QCMBB000060,2
QCMBB000061,2
QCMBB000063,2
QCMBB000065,2
QCMBB000066,2
QCMBB000068,2
QCMBB000069,2
QCMBB000080,2
QCMBB000083,2
QCMBB000087,2
QCMBB000088,2
QCMBB000089,2
QCMBB000090,2
QCMBB000091,2
QCMBB000092,2
QCMBB000094,2
QCMBB000096,2
QCMBB000097,2
QCMBB000098,2
QCMBB000100,2
QCMBB000101,2
QCMBB000104,2
QCMBB000106,2
QCMBB000107,2
QCMBB000108,2
QCMBB000109,2
QCMBB000111,2
QCMBB000112,2
QCMBB000114,2
QCMBB000115,2
QCMBB000116,2
QCMBB000118,2
QCMBB000119,2
QCMBB000120,2
QCMBB000121,2
QCMBB000123,2
QCMBB000125,2
QCMBB000129,2
QCMBB000132,2
QCMBB000133,2
QCMBB000136,2
QCMBB000147,2
QCMBB000150,2
QCMBB000152,2
QCMBB000156,2
QCMBB000157,2
QCMBB000159,2
QCMBB000162,2
QCMBB000163,2
QCMBB000164,2
QCMBB000167,2
QCMBB000168,2
QCMBB000169,2
QCMBB000170,2
QCMBB000171,2
QCMBB000173,2
QCMBB000174,2
QCMBB000175,2
QCMBB000176,2
QCMBB000179,2
QCMBB000180,2
QCMBB000182,2
QCMBB000183,2
QCMBB000184,2
QCMBB000185,2
QCMBB000186,2
QCMBB000188,2
QCMBB000191,2
QCMBB000193,2
QCMBB000194,2
QCMBB000198,2
QCMBB000200,2
QCMBB000207,2
QCMBB000209,2
QCMBB000211,2
QCMBB000212,2
QCMBB000213,2
QCMBB000214,2
QCMBB000215,2
QCMBB000216,2
QCMBB000219,2
QCMBB000220,2
QCMBB000221,2
QCMBB000222,2
QCMBB000224,2
QCMBB000226,2
QCMBB000227,2
QCMBB000228,2
QCMBB000229,2
QCMBB000230,2
QCMBB000231,2
QCMBB000232,2
QCMBB000233,2
QCMBB000236,2
QCMBB000237,2
QCMBB000238,2
QCMBB000239,2
QCMBB000240,2
QCMBB000241,2
QCMBB000242,2
QCMBB000247,2
QCMBB000248,2
QCMBB000249,2
QCMBB000250,2
QCMBB000251,2
QCMBB000252,2
QCMBB000253,2
QCMBB000254,2
QCMBB000256,2
QCMBB000257,2
QCMBB000258,2
QCMBB000259,2
QCMBB000260,2
QCMBB000262,2
QCMBB000263,2
QCMBB000264,2
QCMBB000265,2
QCMBB000266,2
QCMBB000267,2
QCMBB000268,2
QCMBB000269,2
QCMBB000270,2
QCMBB000271,2
QCMBB000272,2
QCMBB000273,2
QCMBB000274,2
QCMBB000276,2
QCMBB000277,2
QCMBB000283,2
QCMBB000284,2
QCMBB000290,2
QCMBB000291,2
QCMBB000292,2
QCMBB000298,2
QCMBB000311,2
QCMBB000312,2
QCMBA000005,2
QCMBA000047,2
QCMBA000059,2
QCMBA000062,2
QCMBB000013,2
QCMBB000024,2
QCMBB000075,2
QCMBB000190,2
QCMBB000261,2
QCMBA000003,2
QCMBB000002,2
QCMBB000006,2
QCMBB000007,2
QCMBB000027,2
QCMBB000028,2
QCMBB000084,2
