sku,status
OPNBNTF0002,2
OPNBNTF0003,2
OPNBNTF0007,2
OPNBNTF0010,2
OPNBNTF0011,2
OPNBNTF0016,2
OPNBNTF0024,2
OPNBNTF0025,2
OPNBNTF0027,2
OPNBNTF0029,2
OPNBNTF0034,2
OPNBNTF0037,2
OPNBNTF0040,2
OPNBNTF0045,2
OPNBNTF0047,2
OPNBNTF0052,2
OPNBNTF0054,2
OPNBNTF0055,2
OPNBNTF0060,2
OPNBNTF0061,2
OPNBNTF0064,2
OPNBNTF0087,2
OPNBNTF0089,2
OPNBNTF0098,2
OPNBNTF0102,2
OPNBNTF0104,2
OPNBNTF0105,2
OPNBNTF0107,2
OPNBNTF0108,2
OPNBNTF0109,2
OPNBNTF0111,2
OPNBNTF0112,2
OPNBNTF0114,2
OPNBNTF0115,2
OPNBNTF0116,2
OPNBNTF0119,2
OPNBNTF0121,2
OPNBNTF0123,2
OPNBNTF0126,2
OPNBNTF0127,2
OPNBNTF0128,2
OPNBNTF0129,2
OPNBNTF0131,2
OPNBNTF0132,2
OPNBNTF0139,2
OPNBNTF0140,2
OPNBNTF0156,2
OPNBNTF0157,2
OPNBNTF0161,2
OPNBNTF0162,2
OPNBNTF0166,2
OPNBNTF0170,2
OPNBNTF0130,2
