sku,status
QCNBA000034,1
QCNBA000047,1
QCNBA000054,1
QCNBA000061,1
QCNBA000035,1
QCNBA000027,1
QCNBA000029,1
QCNBA000011,1
QCNBA000018,1
QCNBA000022,1
QCNBA000001,1
QCNBA000052,1
QCNBA000040,1
QCNBA000008,1
QCNBA000058,1
QCNBA000017,1
QCNBA000007,1
QCNBA000037,1
QCNBA000021,1
QCNBA000004,1
QCNBA000002,1
QCNBA000003,1
QCNBA000005,1
QCNBA000006,1
QCNBA000020,1
QCNBA000055,1
QCNBA000016,1
QCNBA000062,1
QCNBA000014,1
QCNBA000030,1
QCNBA000050,1
QCNBA000033,1
QCNBA000060,1
QCNBA000053,1
QCNBA000059,1
QCNBA000036,1
QCNBA000051,1
QCNBA000048,1
QCNBA000063,1
QCNBA000031,1
QCNBA000032,1
QCNBA000045,1
QCNBA000038,1
QCNBA000057,1
QCNBA000056,1
QCNBA000042,1
QCNBA000009,1
QCNBA000010,1
QCNBA000012,1
QCNBA000015,1
QCNBA000025,1
QCNBA000049,1
QCNBA000041,1
QCNBA000039,1
QCNBA000026,1
QCNBA000046,1
QCNBA000044,1
QCNBA000043,1
QCNBA000013,1
QCNBA000019,1
QCNBA000024,1
QCNBA000023,1
QCNBA000028,1
SYGNBQB0055,1
SYGNBQB0019,1
SYGNBQB0022,1
SYGNBQB0046,1
SYGNBQB0072,1
SYGNBQB0039,1
