sku,status
QCMBA000011,1
QCMBA000019,1
QCMBA000021,1
QCMBA000027,1
QCMBA000032,1
QCMBB000001,1
QCMBB000003,1
QCMBB000004,1
QCMBB000010,1
QCMBB000014,1
QCMBB000015,1
QCMBB000017,1
QCMBB000018,1
QCMBB000020,1
QCMBB000023,1
QCMBB000036,1
QCMBB000043,1
QCMBB000045,1
QCMBB000050,1
QCMBB000053,1
QCMBB000057,1
QCMBB000064,1
QCMBB000071,1
QCMBB000072,1
QCMBB000076,1
QCMBB000078,1
QCMBB000079,1
QCMBB000086,1
QCMBB000095,1
QCMBB000099,1
QCMBB000102,1
QCMBB000110,1
QCMBB000126,1
QCMBB000138,1
QCMBB000139,1
QCMBB000140,1
QCMBB000141,1
QCMBB000142,1
QCMBB000144,1
QCMBB000145,1
QCMBB000146,1
QCMBB000149,1
QCMBB000151,1
QCMBB000158,1
QCMBB000161,1
QCMBB000166,1
QCMBB000195,1
QCMBB000197,1
QCMBB000201,1
QCMBB000203,1
QCMBB000204,1
QCMBB000208,1
QCMBB000210,1
QCMBB000223,1
QCMBB000225,1
QCMBB000245,1
QCMBB000246,1
QCMBB000279,1
QCMBB000280,1
QCMBB000288,1
QCMBB000289,1
