sku,status
QCMBA000001,1
QCMBA000002,1
QCMBA000004,1
QCMBA000006,1
QCMBA000009,1
QCMBA000013,1
QCMBA000014,1
QCMBA000015,1
QCMBA000016,1
QCMBA000017,1
QCMBA000018,1
QCMBA000020,1
QCMBA000023,1
QCMBA000024,1
QCMBA000025,1
QCMBA000026,1
QCMBA000028,1
QCMBA000029,1
QCMBA000030,1
QCMBA000031,1
QCMBA000033,1
QCMBA000034,1
QCMBA000035,1
QCMBA000036,1
QCMBA000037,1
QCMBA000038,1
QCMBA000039,1
QCMBA000040,1
QCMBA000041,1
QCMBA000042,1
QCMBA000043,1
QCMBA000044,1
QCMBA000045,1
QCMBA000046,1
QCMBA000049,1
QCMBA000050,1
QCMBA000051,1
QCMBA000052,1
QCMBA000055,1
QCMBA000057,1
QCMBA000063,1
QCMBA000064,1
QCMBA000066,1
QCMBB000008,1
QCMBB000011,1
QCMBB000012,1
QCMBB000019,1
QCMBB000021,1
QCMBB000025,1
QCMBB000029,1
QCMBB000030,1
QCMBB000031,1
QCMBB000032,1
QCMBB000034,1
QCMBB000037,1
QCMBB000038,1
QCMBB000039,1
QCMBB000040,1
QCMBB000042,1
QCMBB000044,1
QCMBB000049,1
QCMBB000051,1
QCMBB000052,1
QCMBB000056,1
QCMBB000058,1
QCMBB000059,1
QCMBB000060,1
QCMBB000061,1
QCMBB000063,1
QCMBB000065,1
QCMBB000066,1
QCMBB000068,1
QCMBB000069,1
QCMBB000080,1
QCMBB000083,1
QCMBB000087,1
QCMBB000088,1
QCMBB000089,1
QCMBB000090,1
QCMBB000091,1
QCMBB000092,1
QCMBB000094,1
QCMBB000096,1
QCMBB000097,1
QCMBB000098,1
QCMBB000100,1
QCMBB000101,1
QCMBB000104,1
QCMBB000106,1
QCMBB000107,1
QCMBB000108,1
QCMBB000109,1
QCMBB000111,1
QCMBB000112,1
QCMBB000114,1
QCMBB000115,1
QCMBB000116,1
QCMBB000118,1
QCMBB000119,1
QCMBB000120,1
QCMBB000121,1
QCMBB000123,1
QCMBB000125,1
QCMBB000129,1
QCMBB000132,1
QCMBB000133,1
QCMBB000136,1
QCMBB000147,1
QCMBB000150,1
QCMBB000152,1
QCMBB000156,1
QCMBB000157,1
QCMBB000159,1
QCMBB000162,1
QCMBB000163,1
QCMBB000164,1
QCMBB000167,1
QCMBB000168,1
QCMBB000169,1
QCMBB000170,1
QCMBB000171,1
QCMBB000173,1
QCMBB000174,1
QCMBB000175,1
QCMBB000176,1
QCMBB000179,1
QCMBB000180,1
QCMBB000182,1
QCMBB000183,1
QCMBB000184,1
QCMBB000185,1
QCMBB000186,1
QCMBB000188,1
QCMBB000191,1
QCMBB000193,1
QCMBB000194,1
QCMBB000198,1
QCMBB000200,1
QCMBB000207,1
QCMBB000209,1
QCMBB000211,1
QCMBB000212,1
QCMBB000213,1
QCMBB000214,1
QCMBB000215,1
QCMBB000216,1
QCMBB000219,1
QCMBB000220,1
QCMBB000221,1
QCMBB000222,1
QCMBB000224,1
QCMBB000226,1
QCMBB000227,1
QCMBB000228,1
QCMBB000229,1
QCMBB000230,1
QCMBB000231,1
QCMBB000232,1
QCMBB000233,1
QCMBB000236,1
QCMBB000237,1
QCMBB000238,1
QCMBB000239,1
QCMBB000240,1
QCMBB000241,1
QCMBB000242,1
QCMBB000247,1
QCMBB000248,1
QCMBB000249,1
QCMBB000250,1
QCMBB000251,1
QCMBB000252,1
QCMBB000253,1
QCMBB000254,1
QCMBB000256,1
QCMBB000257,1
QCMBB000258,1
QCMBB000259,1
QCMBB000260,1
QCMBB000262,1
QCMBB000263,1
QCMBB000264,1
QCMBB000265,1
QCMBB000266,1
QCMBB000267,1
QCMBB000268,1
QCMBB000269,1
QCMBB000270,1
QCMBB000271,1
QCMBB000272,1
QCMBB000273,1
QCMBB000274,1
QCMBB000276,1
QCMBB000277,1
QCMBB000283,1
QCMBB000284,1
QCMBB000290,1
QCMBB000291,1
QCMBB000292,1
QCMBB000298,1
QCMBB000311,1
QCMBB000312,1
