sku,status
OPNBNTF0002,1
OPNBNTF0003,1
OPNBNTF0007,1
OPNBNTF0010,1
OPNBNTF0011,1
OPNBNTF0016,1
OPNBNTF0024,1
OPNBNTF0025,1
OPNBNTF0027,1
OPNBNTF0029,1
OPNBNTF0034,1
OPNBNTF0037,1
OPNBNTF0040,1
OPNBNTF0045,1
OPNBNTF0047,1
OPNBNTF0052,1
OPNBNTF0054,1
OPNBNTF0055,1
OPNBNTF0060,1
OPNBNTF0061,1
OPNBNTF0064,1
OPNBNTF0087,1
OPNBNTF0089,1
OPNBNTF0098,1
OPNBNTF0102,1
OPNBNTF0104,1
OPNBNTF0105,1
OPNBNTF0107,1
OPNBNTF0108,1
OPNBNTF0109,1
OPNBNTF0111,1
OPNBNTF0112,1
OPNBNTF0114,1
OPNBNTF0115,1
OPNBNTF0116,1
OPNBNTF0119,1
OPNBNTF0121,1
OPNBNTF0123,1
OPNBNTF0126,1
OPNBNTF0127,1
OPNBNTF0128,1
OPNBNTF0129,1
OPNBNTF0131,1
OPNBNTF0132,1
OPNBNTF0139,1
OPNBNTF0140,1
OPNBNTF0156,1
OPNBNTF0157,1
OPNBNTF0161,1
OPNBNTF0162,1
OPNBNTF0166,1
OPNBNTF0170,1
OPNBNTF0130,1
