sku,image,small_image,thumbnail
NEWMOB00340,+/Asus-Zenfone-2-ZE550KL-Black-left.jpg,+/Asus-Zenfone-2-ZE550KL-Black-left.jpg,+/Asus-Zenfone-2-ZE550KL-Black-left.jpg
NEWMOB00104,+/BlackBerry-Z30-(White)-right.jpg,+/BlackBerry-Z30-(White)-right.jpg,+/BlackBerry-Z30-(White)-right.jpg
NEWMOB00202,"+/Micromax Canvas Evok (Black, 16 GB).jpg","+/Micromax Canvas Evok (Black, 16 GB).jpg","+/Micromax Canvas Evok (Black, 16 GB).jpg"
ASMBA000030,+/Samsung-Galaxy-Mega-5.8-8GB-right.jpg,+/Samsung-Galaxy-Mega-5.8-8GB-right.jpg,+/Samsung-Galaxy-Mega-5.8-8GB-right.jpg
QCMBB000127,+/Samsung-Galaxy-Note-3-Jet-Black.jpg,+/Samsung-Galaxy-Note-3-Jet-Black.jpg,+/Samsung-Galaxy-Note-3-Jet-Black.jpg
OPMBNTF0005,"+/Samsung-Galaxy-On7-(Gold,-8-GB)-left.jpg","+/Samsung-Galaxy-On7-(Gold,-8-GB)-left.jpg","+/Samsung-Galaxy-On7-(Gold,-8-GB)-left.jpg"
QCNBB000823,+/SONY-PCG-71811W.jpg,+/SONY-PCG-71811W.jpg,+/SONY-PCG-71811W.jpg
GF-UC-3-ROSEGOLD,+/Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Rose Gold).jpg,+/Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Rose Gold).jpg,+/Albright GF-UC-3 Metal Fabric Cable for iPhone 5 & 6 (Rose Gold).jpg
GF-UC-31-BLACK,+/Albright GF-UC-32 Silk Braided Metal Cable for Android Phones (Black).jpg,+/Albright GF-UC-32 Silk Braided Metal Cable for Android Phones (Black).jpg,+/Albright GF-UC-32 Silk Braided Metal Cable for Android Phones (Black).jpg
OPMBNTF0334,"+/Apple-iPhone-6S-Plus-(Space-Grey,-64-GB)-right.jpg","+/Apple-iPhone-6S-Plus-(Space-Grey,-64-GB)-right.jpg","+/Apple-iPhone-6S-Plus-(Space-Grey,-64-GB)-right.jpg"
OPNBNTF0010,+/Notion-Ink-Cain-CN895553G-Laptop-(Atom-Z3735F-2GB-64GB-Intel-HD-Graphics-Win-10-10.1-Touch).jpg,+/Notion-Ink-Cain-CN895553G-Laptop-(Atom-Z3735F-2GB-64GB-Intel-HD-Graphics-Win-10-10.1-Touch).jpg,+/Notion-Ink-Cain-CN895553G-Laptop-(Atom-Z3735F-2GB-64GB-Intel-HD-Graphics-Win-10-10.1-Touch).jpg
SYG/HTC/ONEM8E,+/One-M8-Eye-left.jpg,+/One-M8-Eye-left.jpg,+/One-M8-Eye-left.jpg
