sku,status
OPMBNTFB0018,1
OPMBNTFB0028,1
OPMBNTFB0038,1
OPMBNTFB0026,1
OPMBNTFB0035,1
OPMBNTFB0093,1
OPMBNTFB0017,1
OPMBNTFB0037,1
OPMBNTFB0023,1
OPMBNTFB0021,1
OPMBNTFB0020,1
OPMBNTFB0058,1
OPMBNTFB0001,1
OPMBNTFB0019,1
OPMBNTFB0006,1
OPMBNTFB0272,1
OPMBNTFB0067,1
OPMBNTFB0648,1
OPMBNTFB0761,1
OPMBNTFB0036,1
OPMBNTFB0436,1
OPMBNTFB0031,1
OPMBNTFB0465,1
OPMBNTFB0555,1
OPMBNTFB0004,1
OPMBNTFB0012,1
OPMBNTFB0040,1
OPMBNTFB0609,1
OPMBNTFB0022,1
OPMBNTFB0048,1
opmbntfb0053,1
OPMBNTFB0059,1
OPMBNTFB0103,1
OPMBNTFB0598,1
OPMBNTFB0003,1
OPMBNTFB0033,1
OPMBNTF0083,1
OPMBNTFB0016,1
OPMBNTFB0052,1
OPMBNTFB0065,1
OPMBNTFB0204,1
OPMBNTFB0570,1
OPMBNTF0304,1
OPMBNTFB0015,1
OPMBNTFB0041,1
OPMBNTFB0063,1
OPMBNTFB0081,1
OPMBNTFB0086,1
OPMBNTFB0099,1
OPMBNTFB0113,1
OPMBNTFB0118,1
OPMBNTFB0120,1
OPMBNTFB0153,1
OPMBNTFB0185,1
OPMBNTFB0566,1
OPMBNTFB0603,1
OPMBNTFB0643,1
OPMBNTFB0662,1
OPMBNTFB0670,1
OPMBNTFB0704,1
