sku,qty,is_in_stock
OPMBNTF0018,466,
OPMBNTF0019,493,
OPMBNTF0020,317,
OPMBNTF0035,12,
OPMBNTF0557,24,
OPMBNTFB0557,4,1
OPMBNTF0604,3,1
OPMBNTFB0018,119,1
OPMBNTFB0019,333,1
OPMBNTFB0020,142,1
OPMBNTFB0035,35,1
OPMBNTF0017,1,1
OPMBNTF0021,5,1
OPMBNTF0023,15,1
OPMBNTF0026,1,1
OPMBNTF0028,157,1
OPMBNTF0029,52,1
OPMBNTF0037,12,1
OPMBNTF0038,89,1
OPMBNTFB0017,709,1
OPMBNTFB0021,239,1
OPMBNTFB0023,457,1
OPMBNTFB0026,60,1
OPMBNTFB0028,162,1
OPMBNTFB0029,80,1
OPMBNTFB0037,98,1
OPMBNTFB0038,76,1
,4161,
