SKU,qty
REFDE00289,1
REFDE00290,1
REFDE00291,1
REFDE00292,1
REFDE00299,1
REFDE00302,2
REFDE00303,1
REFDE00307,1
REFDE00312,1
REFDE00313,1
REFDE00001,1
REFDE00002,1
REFDE00003,1
REFDE00004,2
REFDE00005,1
REFDE00006,1
REFDE00007,3
REFDE00008,4
REFDE00011,6
REFDE00013,1
REFDE00014,3
REFDE00015,3
REFDE00017,4
REFDE00025,1
REFDE00027,2
REFDE00028,5
REFDE00029,1
REFDE00030,1
REFDE00032,1
REFDE00033,1
REFDE00034,1
REFDE00036,1
REFDE00040,1
REFDE00042,11
REFDE00043,3
REFDE00048,1
REFDE00051,1
REFDE00052,2
REFDE00055,1
REFDE00056,2
REFDE00059,5
REFDE00067,1
REFDE00073,2
REFDE00077,7
REFDE00086,1
REFDE00090,1
REFDE00091,3
REFDE00092,1
REFDE00093,5
REFDE00096,1
REFDE00097,5
REFDE00098,15
REFDE00099,4
REFDE00100,5
REFDE00101,5
REFDE00105,10
REFDE00106,2
REFDE00108,24
REFDE00109,25
REFDE00110,7
REFDE00111,6
REFDE00113,2
REFDE00114,6
REFDE00116,2
REFDE00117,4
REFDE00118,2
REFDE00119,2
REFDE00121,4
REFDE00122,6
REFDE00124,1
REFDE00125,3
REFDE00126,2
REFDE00127,3
REFDE00128,6
REFDE00129,12
REFDE00137,1
REFDE00139,1
REFDE00141,2
REFDE00142,1
REFDE00143,1
REFDE00146,1
REFDE00147,1
REFDE00148,2
REFDE00150,2
REFDE00151,5
REFDE00152,5
REFDE00155,1
REFDE00157,3
REFDE00159,1
REFDE00161,9
REFDE00162,67
REFDE00166,1
REFDE00168,1
REFDE00170,1
REFDE00174,19
REFDE00175,3
REFDE00182,2
REFDE00187,11
REFDE00192,1
REFDE00194,3
REFDE00196,6
REFDE00197,1
REFDE00198,2
REFDE00199,1
REFDE00200,3
REFDE00201,3
REFDE00202,6
REFDE00203,2
REFDE00204,1
REFDE00205,1
REFDE00206,2
REFDE00208,1
REFDE00209,2
REFDE00210,1
REFDE00211,1
REFDE00212,1
REFDE00213,1
REFDE00215,2
REFDE00216,4
REFDE00217,1
REFDE00218,4
REFDE00219,2
REFDE00221,1
REFDE00222,1
REFDE00223,3
REFDE00225,1
REFDE00226,2
REFDE00227,1
REFDE00228,5
REFDE00229,1
REFDE00230,0
REFDE00232,3
REFDE00234,1
REFDE00235,1
REFDE00237,1
REFDE00238,2
REFDE00245,1
REFDE00246,1
REFDE00248,1
REFDE00254,1
REFDE00258,8
REFDE00261,1
REFDE00262,4
REFDE00263,2
REFDE00265,0
REFDE00268,1
REFDE00273,1
REFDE00274,1
REFDE00275,1
REFDE00276,1
REFDE00282,3
REFDE00286,2
REFDE00288,3
REFDE00301,1
REFDE00304,6
REFDE00309,4
REFDE00310,2
REFDE00320,28
REFDE00321,2
REFDE00337,9
REFDE00338,3
REFDE00340,1
REFDE00342,2
REFDE00343,2
REFDE00345,1
REFDE00346,1
REFDE00009,1
REFDE00020,1
REFDE00041,1
REFDE00044,1
REFDE00047,1
REFDE00053,1
REFDE00058,12
REFDE00062,4
REFDE00066,2
REFDE00069,1
REFDE00075,2
REFDE00079,2
REFDE00080,1
REFDE00083,4
REFDE00084,5
REFDE00095,1
REFDE00104,1
REFDE00115,1
REFDE00140,1
REFDE00177,16
REFDE00179,2
REFDE00184,1
REFDE00186,1
REFDE00193,1
REFDE00214,1
REFDE00249,4
REFDE00251,3
REFDE00256,2
REFDE00270,7
REFDE00271,1
REFDE00272,1
REFDE00277,1
REFDE00285,3
REFDE00308,6
REFDE00316,1
,672
