sku,qty,status
OPMBNTF0001,12,2
OPMBNTF0003,4,2
OPMBNTF0007,1,2
OPMBNTF0016,0,2
OPMBNTF0017,35,2
OPMBNTF0018,393,2
OPMBNTF0019,418,2
OPMBNTF0020,210,2
OPMBNTF0021,17,2
OPMBNTF0022,27,2
OPMBNTF0023,7,2
OPMBNTF0025,24,2
OPMBNTF0027,33,2
OPMBNTF0028,181,2
OPMBNTF0029,81,2
OPMBNTF0030,36,2
OPMBNTF0031,42,2
OPMBNTF0032,29,2
OPMBNTF0033,9,2
OPMBNTF0034,26,2
OPMBNTF0035,14,2
OPMBNTF0036,2,2
OPMBNTF0037,1,2
OPMBNTF0038,118,2
OPMBNTF0041,1,2
OPMBNTF0042,51,2
OPMBNTF0043,1,2
OPMBNTF0044,40,2
OPMBNTF0045,11,2
OPMBNTF0047,1,2
OPMBNTF0048,38,2
OPMBNTF0049,1,2
OPMBNTF0050,20,2
OPMBNTF0051,24,2
OPMBNTF0052,43,2
OPMBNTF0053,3,2
OPMBNTF0055,1,2
OPMBNTF0057,6,2
OPMBNTF0058,30,2
OPMBNTF0060,2,2
OPMBNTF0061,2,2
OPMBNTF0062,14,2
OPMBNTF0063,37,2
OPMBNTF0064,3,2
OPMBNTF0065,5,2
OPMBNTF0066,3,2
OPMBNTF0071,5,2
OPMBNTF0078,9,2
OPMBNTF0082,2,2
OPMBNTF0083,5,2
OPMBNTF0084,1,2
OPMBNTF0085,1,2
OPMBNTF0086,3,2
OPMBNTF0087,9,2
OPMBNTF0088,1,2
OPMBNTF0089,6,2
OPMBNTF0093,68,2
OPMBNTF0097,11,2
OPMBNTF0098,4,2
OPMBNTF0099,33,2
OPMBNTF0103,6,2
OPMBNTF0107,54,2
OPMBNTF0112,7,2
OPMBNTF0113,7,2
OPMBNTF0114,1,2
OPMBNTF0115,15,2
OPMBNTF0118,3,2
OPMBNTF0119,4,2
OPMBNTF0120,2,2
OPMBNTF0123,3,2
OPMBNTF0129,24,2
OPMBNTF0130,2,2
OPMBNTF0132,7,2
