sku,qty
REFDE00005,1
REFDE00008,4
REFDE00009,1
REFDE00020,1
REFDE00027,2
REFDE00033,1
REFDE00058,2
REFDE00062,4
REFDE00077,1
REFDE00098,18
REFDE00101,5
REFDE00109,25
REFDE00111,8
REFDE00122,6
REFDE00125,3
REFDE00126,2
REFDE00129,17
REFDE00146,1
REFDE00151,5
REFDE00157,3
REFDE00161,9
REFDE00162,67
REFDE00174,35
REFDE00175,3
REFDE00177,16
REFDE00187,21
REFDE00200,3
REFDE00201,3
REFDE00202,6
REFDE00203,2
REFDE00218,4
REFDE00249,5
REFDE00251,4
REFDE00258,8
REFDE00261,1
REFDE00262,4
REFDE00263,2
REFDE00270,0
REFDE00277,1
REFDE00285,0
REFDE00288,3
REFDE00307,1
REFDE00320,15
REFDE00324,1
REFDE00331,0
REFDE00335,1
REFDE00336,2
REFDE00337,9
