store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,expandable_storage_capacity,sim_type,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,laptop_remark,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type
admin,base,Mobiles,simple,"4,144",OPMBNTFB0294,LENOVO A1000  ( 8GB BLACK) (B Grade),/l/e/lenovo-a2010-black1.jpg,/l/e/lenovo-a2010-black1.jpg,/l/e/lenovo-a2010-black1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Lenovo,Yes,Yes,Yes,,,"<ul><li>Dual, GSM + LTE</li><li>8 Megapixel</li><li>4 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>","<ul><li>Dual, GSM + LTE</li><li>8 Megapixel</li><li>4 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>","<ul><li>Dual, GSM + LTE</li><li>8 Megapixel</li><li>4 Inches</li><li>Android (Lollipop)</li><li>8 GB</li></ul>",0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,LENOVO A1000  ( 8GB BLACK) (B Grade),simple,A1000,0.2,,0.3 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Black,Yes,,1 GB,2000 mAh,,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,"1 GHz, Quad Core",10.16 cm (4 Inches),,8 Megapixel,8 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0082,"MOTO E (2nd GEN) XT1506 (White, 8GB) (B Grade)",/m/o/moto-e-2nd-generation-black1_2_2.jpg,/m/o/moto-e-2nd-generation-black1_2_2.jpg,/m/o/moto-e-2nd-generation-black1_2_2.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Motorola,Yes,Yes,Yes,,,"<ul><li>Dual, GSM+UMTS</li><li>5 Megapixel</li><li>4.5 Inches</li><li>Android (Lollipop)</li></ul>","<ul><li>Dual, GSM+UMTS</li><li>5 Megapixel</li><li>4.5 Inches</li><li>Android (Lollipop)</li></ul>","<ul><li>Dual, GSM + LTE</li><li>5 Megapixel</li><li>4.5 Inches</li><li>Android (Lollipop)</li></ul>",0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"MOTO E (2nd GEN) XT1506 (White, 8GB) (B Grade)",simple,XT1506,0.2,,0.3 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes    ,,,,,,White,Yes,,1 GB,2390 mAh,Yes,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,1.2 MHz,11.43 cm (4.5 Inches),,5.0 Megapixel,8 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0272,"Apple iPhone 6S (Space Grey, 64 GB) (B Grade)",/a/p/apple-iphone-6s-_space-grey_-64-gb_.jpg,/a/p/apple-iphone-6s-_space-grey_-64-gb_.jpg,/a/p/apple-iphone-6s-_space-grey_-64-gb_.jpg,"/apple-iphone-6-plus-silver2.jpg,/apple-iphone-6-plus-silver3.jpg,/apple-iphone-6-plus-silver4.jpg,/apple-iphone-6-plus-silver5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Apple,Yes,Yes,Yes,,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Apple iPhone 6S (Space Grey, 64 GB) (B Grade)",simple,iPhone 6S,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,,,Email,,Yes,Yes,Yes,3.5 mm,Safari,,N/A,Yes 802.11 a/b/g/n,N/A,Yes,14 hrs (3G),250 hrs (2G),,Charger,67 x 138.1 x 6.9 mm,Space Grey,"Yes, v4.0",,2 GB,Lithium-ion,N/A,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,11.94 cm (4.7 Inches),,12 Megapixel,64 GB,Smartphone,IPS LCD,6 Months Warranty.,Single sim,iOS 8,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0118,Karbonn Smart A12 Star (Black & Silver) (B Grade),/k/a/karbonn-smart-a12-star-black-_-silver.jpg,/k/a/karbonn-smart-a12-star-black-_-silver.jpg,/k/a/karbonn-smart-a12-star-black-_-silver.jpg,"/Infocus-M808-Silver2.jpg,/Infocus-M808-Silver3.jpg,/Infocus-M808-Silver4.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Karbonn,Yes,Yes,Yes,,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,Karbonn Smart A12 Star (Black & Silver) (B Grade),simple,mart A12 Star,0.2,,0.3 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,,Yes,,512 MB,,,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,,10.16 cm (4 Inches),,5 Megapixel,4 GB,Smartphone,,6 Months Warranty.,,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0117,"Apple iPhone 7 Plus (Jet Black, 128 GB) (B Grade)",/a/p/apple-iphone-7-plus-_jet-black_-128-gb_.jpg,/a/p/apple-iphone-7-plus-_jet-black_-128-gb_.jpg,/a/p/apple-iphone-7-plus-_jet-black_-128-gb_.jpg,"/apple-iphone-6-plus-space-grey2.jpg,/apple-iphone-6-plus-space-grey3.jpg,/apple-iphone-6-plus-space-grey4.jpg,/apple-iphone-6-plus-space-grey5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Apple,Yes,Yes,Yes,,"Single, GSM",<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Apple iPhone 7 Plus (Jet Black, 128 GB) (B Grade)",simple,iPhone 7 Plus ,0.2,Nano Sim,7.0 Megapixel,"Yes, Full HD",,Yes,,,Email,,Yes,Yes,Yes,3.5 mm,Safari,,N/A,Yes,N/A,Yes,,,,,,Jet Black,Yes,,3 GB,2900 mAh,N/A,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,13.97 cm (5.5 Inches),,12 Megapixel,128 GB,Smartphone,IPS,6 Months Warranty.,Single sim,iOS 10,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0234,"Apple iPhone 6S (Silver, 32 GB) (B Grade)",/a/p/apple-iphone-6s-_silver-_-16-gb_.jpg,/a/p/apple-iphone-6s-_silver-_-16-gb_.jpg,/a/p/apple-iphone-6s-_silver-_-16-gb_.jpg,"/apple-iphone-6-plus-space-grey2.jpg,/apple-iphone-6-plus-space-grey3.jpg,/apple-iphone-6-plus-space-grey4.jpg,/apple-iphone-6-plus-space-grey5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Apple,Yes,Yes,Yes,,"Single, GSM",<ul></ul>,<ul></ul>,"<ul><li>Single, GSM</li><li>12 Megapixel</li><li>11.94 cm (4.7 Inches)</li><li>iOS v9</li></ul>",0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Apple iPhone 6S (Silver, 32 GB) (B Grade)",simple,Apple iPhone 6S,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,,,Email,,Yes,Yes,Yes,3.5 mm,Safari,,N/A,Yes,N/A,Yes,,,,,,Silver,Yes,,2 GB,1715 mAh,N/A,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,A9 Chip with 64-bit Architecture and M9 Motion Co-processor Processor,11.94 cm (4.7 Inches),,12 Megapixel,32 GB,Smartphone,IPS,6 Months Warranty.,Single sim,iOS v9,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0604,"Moto G5 Plus (Lunar Grey, 16 GB) (B Grade)",/m/o/moto-g5-plus-lunar-grey.jpg,/m/o/moto-g5-plus-lunar-grey.jpg,/m/o/moto-g5-plus-lunar-grey.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Motorola,Yes,Yes,Yes,,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Moto G5 Plus (Lunar Grey, 16 GB) (B Grade)",simple,Moto G5 Plus,0.2,,5 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Lunar Grey,Yes,,3 GB,3000 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,"2.0 GHz, Octa Core",13.21 cm (5.2 Inches),,12 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0557,"Moto G5 Plus (Fine Gold, 16 GB)  (B Grade)",/m/o/moto-g5-plus-fine-gold.jpg,/m/o/moto-g5-plus-fine-gold.jpg,/m/o/moto-g5-plus-fine-gold.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Motorola,Yes,Yes,Yes,upto 128 GB,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Moto G5 Plus (Fine Gold, 16 GB)  (B Grade)",simple,Moto G5 Plus,0.2,,5 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,Fine Gold,Yes,,3 GB,3000 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,"2.0 GHz, Octa Core",13.97 cm (5.5 Inches),,12 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0220,Oppo A37 2GB  (Gold 16 GB) (B Grade),,,,,,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Oppo,Yes,Yes,Yes,,,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,Oppo A37 2GB  (Gold 16 GB) (B Grade),simple,A37 ,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,,,,,,,,6 Months Warranty.,,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0012,"Apple iPhone 6S (Rose Gold, 16 GB) (B Grade)",/a/p/apple-iphone-6s-rose-gold1_3_2_3.jpg,/a/p/apple-iphone-6s-rose-gold1_3_2_3.jpg,/a/p/apple-iphone-6s-rose-gold1_3_2_3.jpg,"/apple-iphone-6-plus-silver2.jpg,/apple-iphone-6-plus-silver3.jpg,/apple-iphone-6-plus-silver4.jpg,/apple-iphone-6-plus-silver5.jpg",,6 Months Warranty.,0,0.2,"Catalog, Search",GST12,Apple,Yes,Yes,Yes,,"Single, LTE","<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>","<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>","<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>",0,0,1,0,0,1,1,1,0,1,2,1,0,1,1,1,0,1,0,0,1,1,"Apple iPhone 6S (Rose Gold, 16 GB) (B Grade)",simple,iPhone 6S,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,,,Email,Yes,Yes,Yes,,3.5 mm,Safari,"A-GPS, GLONASS, with Google Maps",Yes,"Yes, 802.11 a/b/g/n/ac",,Yes,14 hrs (3G),250 hrs (2G),"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",67.1x138.3x7.1 mm,Rose Gold,"Yes, v4.2","Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",2 GB,1715 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty ,2,"1.84 GHz + A9 Chip with 64-bit Architecture and M9 Motion Co-processor, Dual Core",11.94 cm (4.7 Inches),,12 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,iOS v9,OPMOBNTF-B
